Date,CPHC_stock_Open_average,CPHC_stock_Open_max,CPHC_stock_Open_min,CPHC_stock_Open_volatility,CPHC_stock_Open_change,CPHC_stock_High_average,CPHC_stock_High_max,CPHC_stock_High_min,CPHC_stock_High_volatility,CPHC_stock_High_change,CPHC_stock_Low_average,CPHC_stock_Low_max,CPHC_stock_Low_min,CPHC_stock_Low_volatility,CPHC_stock_Low_change,CPHC_stock_Close_average,CPHC_stock_Close_max,CPHC_stock_Close_min,CPHC_stock_Close_volatility,CPHC_stock_Close_change,CPHC_stock_Volume_average,CPHC_stock_Volume_max,CPHC_stock_Volume_min,CPHC_stock_Volume_volatility,CPHC_stock_Volume_change
2016-01-03,10.138,10.59,9.8,0.7899999999999991,-0.5800000000000001,10.206,10.59,9.8,0.7899999999999991,-0.34999999999999964,9.99,10.23,9.8,0.4299999999999997,-0.3800000000000008,10.036,10.3,9.8,0.5,-0.3000000000000007,3241,7723,6,7717,-4547
2016-01-10,9.866,10.0,9.61,0.39000000000000057,-0.1899999999999995,9.868,10.0,9.61,0.39000000000000057,-0.1899999999999995,9.832,9.99,9.61,0.3800000000000008,-0.17999999999999972,9.868,10.0,9.61,0.39000000000000057,-0.1899999999999995,1582,3035,254,2781,-2680
2016-01-17,9.93,10.14,9.69,0.45000000000000107,0.10999999999999943,10.08,10.15,9.89,0.2599999999999998,0.2599999999999998,9.905000000000001,10.14,9.65,0.4900000000000002,0.049999999999998934,9.9925,10.14,9.89,0.25,0.049999999999998934,2159,5307,1,5306,5244
2016-01-24,9.972,10.02,9.85,0.16999999999999993,0.0,10.186,10.48,9.98,0.5,-0.4299999999999997,9.972,10.02,9.85,0.16999999999999993,0.0,10.129999999999999,10.45,9.98,0.46999999999999886,-0.4299999999999997,843,2255,39,2216,162
2016-01-31,9.996,10.48,9.7,0.7800000000000011,-0.14000000000000057,10.056,10.48,9.7,0.7800000000000011,-0.23999999999999844,9.985999999999999,10.48,9.7,0.7800000000000011,-0.08999999999999986,10.044,10.48,9.7,0.7800000000000011,-0.29999999999999893,946,2831,73,2758,-1672
2016-02-07,9.624,9.8,9.43,0.370000000000001,-0.370000000000001,9.658,9.8,9.5,0.3000000000000007,-0.3000000000000007,9.61,9.8,9.43,0.370000000000001,-0.370000000000001,9.646,9.8,9.49,0.3100000000000005,-0.3100000000000005,827,1724,8,1716,951
2016-02-14,9.906666666666666,10.0,9.72,0.27999999999999936,0.27999999999999936,9.906666666666666,10.0,9.72,0.27999999999999936,0.27999999999999936,9.8,10.0,9.4,0.5999999999999996,0.5999999999999996,9.85,10.0,9.55,0.4499999999999993,0.4499999999999993,136,246,42,204,204
2016-02-21,9.93,10.0,9.82,0.17999999999999972,-0.0600000000000005,9.974,10.01,9.9,0.10999999999999943,-0.09999999999999964,9.902000000000001,9.97,9.8,0.16999999999999993,-0.16000000000000014,9.964,10.0,9.9,0.09999999999999964,-0.09999999999999964,3094,6664,1014,5650,96
2016-02-28,10.075,10.12,9.98,0.1399999999999988,-0.019999999999999574,10.1125,10.25,9.98,0.2699999999999996,0.13000000000000078,10.055,10.12,9.98,0.1399999999999988,-0.06999999999999851,10.105,10.25,9.98,0.2699999999999996,0.13000000000000078,1437,4490,195,4295,4295
2016-03-06,10.074,10.25,10.01,0.2400000000000002,-0.2400000000000002,10.144,10.25,10.08,0.16999999999999993,-0.09999999999999964,10.03,10.07,10.01,0.0600000000000005,-0.0600000000000005,10.03,10.07,10.01,0.0600000000000005,-0.0600000000000005,2805,5067,1279,3788,291
2016-03-13,10.038,10.21,9.79,0.4200000000000017,0.16000000000000014,10.284,10.61,10.06,0.5499999999999989,0.5499999999999989,9.782,10.01,9.7,0.3100000000000005,-0.2599999999999998,10.129999999999999,10.61,9.7,0.9100000000000001,0.5800000000000001,10249,29231,3738,25493,23801
2016-03-20,10.42,10.8,9.92,0.8800000000000008,-0.3200000000000003,10.59,10.8,10.48,0.3200000000000003,-0.3200000000000003,10.342500000000001,10.49,9.92,0.5700000000000003,-0.009999999999999787,10.4975,10.52,10.48,0.03999999999999915,-0.02999999999999936,801,2075,163,1912,-1912
2016-03-27,10.31,10.48,9.93,0.5500000000000007,0.40000000000000036,10.592,10.8,10.48,0.3200000000000003,-0.2400000000000002,10.266,10.36,9.93,0.4299999999999997,0.40000000000000036,10.454,10.72,10.35,0.370000000000001,-0.2400000000000002,753,1233,427,806,567
2016-04-03,10.4525,10.5,10.38,0.11999999999999922,0.030000000000001137,10.6225,10.75,10.5,0.25,-0.16999999999999993,10.282499999999999,10.5,9.92,0.5800000000000001,-0.4299999999999997,10.379999999999999,10.66,10.01,0.6500000000000004,-0.33999999999999986,5405,18073,101,17972,15408
2016-04-10,10.344,10.44,10.28,0.16000000000000014,0.08000000000000007,10.436,10.57,10.32,0.25,0.16999999999999993,10.3,10.33,10.25,0.08000000000000007,0.05000000000000071,10.322000000000001,10.33,10.32,0.009999999999999787,0.009999999999999787,3610,7514,803,6711,-1647
2016-04-17,10.478,10.6,10.32,0.27999999999999936,0.27999999999999936,10.556,10.75,10.44,0.3100000000000005,0.16999999999999993,10.456,10.6,10.29,0.3100000000000005,0.3100000000000005,10.533999999999999,10.75,10.37,0.3800000000000008,0.2400000000000002,2580,5607,301,5306,-3954
2016-04-24,10.604,10.7,10.46,0.23999999999999844,0.16000000000000014,10.703999999999999,10.75,10.62,0.13000000000000078,-0.05000000000000071,10.552,10.7,10.46,0.23999999999999844,0.17999999999999972,10.602,10.74,10.47,0.2699999999999996,-0.040000000000000924,444,1360,28,1332,-1094
2016-05-01,10.552,10.7,10.46,0.23999999999999844,-0.23999999999999844,10.554,10.7,10.46,0.23999999999999844,-0.23999999999999844,10.482,10.6,10.37,0.23000000000000043,-0.15000000000000036,10.51,10.65,10.38,0.2699999999999996,-0.2699999999999996,2587,6742,59,6683,-3596
