Date,ARCB_stock_Open_average,ARCB_stock_Open_max,ARCB_stock_Open_min,ARCB_stock_Open_volatility,ARCB_stock_Open_change,ARCB_stock_High_average,ARCB_stock_High_max,ARCB_stock_High_min,ARCB_stock_High_volatility,ARCB_stock_High_change,ARCB_stock_Low_average,ARCB_stock_Low_max,ARCB_stock_Low_min,ARCB_stock_Low_volatility,ARCB_stock_Low_change,ARCB_stock_Close_average,ARCB_stock_Close_max,ARCB_stock_Close_min,ARCB_stock_Close_volatility,ARCB_stock_Close_change,ARCB_stock_Volume_average,ARCB_stock_Volume_max,ARCB_stock_Volume_min,ARCB_stock_Volume_volatility,ARCB_stock_Volume_change
2016-01-03,20.348,20.97,19.25,1.7199999999999989,-1.6000000000000014,20.604,21.16,19.43,1.7300000000000004,-1.6799999999999997,19.788,20.44,18.58,1.860000000000003,-1.7800000000000011,20.138,21.14,18.67,2.469999999999999,-2.229999999999997,396569,567005,201286,365719,256462
2016-01-10,18.242,18.88,17.36,1.5199999999999996,-1.3000000000000007,18.746000000000002,19.37,18.14,1.2300000000000004,-0.7300000000000004,17.716,18.34,17.13,1.2100000000000009,-1.2100000000000009,18.189999999999998,18.7,17.74,0.9600000000000009,-0.6799999999999997,298436,432515,227384,205131,25840
2016-01-17,18.0125,18.74,17.22,1.5199999999999996,0.4799999999999969,18.93,20.03,18.26,1.7699999999999996,1.7699999999999996,17.525,18.63,16.43,2.1999999999999993,1.3200000000000003,18.185,18.99,17.67,1.3199999999999967,1.3199999999999967,288540,326863,255615,71248,28793
2016-01-24,19.398,20.24,18.5,1.7399999999999984,0.5700000000000003,20.468,20.8,19.94,0.8599999999999994,-0.240000000000002,18.638,19.44,18.09,1.3500000000000014,1.120000000000001,19.662,20.53,18.37,2.16,2.16,247825,275329,204903,70426,-16085
2016-01-31,19.178,20.6,17.79,2.8100000000000023,-1.9200000000000017,20.036,21.13,18.84,2.289999999999999,-2.1799999999999997,18.61,20.23,17.25,2.9800000000000004,-2.0,19.282,21.01,17.63,3.3800000000000026,-2.5199999999999996,559790,1067672,269710,797962,89506
2016-02-07,18.663999999999998,19.48,17.97,1.5100000000000016,0.8000000000000007,19.27,19.91,18.69,1.2199999999999989,0.6199999999999974,18.25,19.08,17.77,1.3099999999999987,0.5500000000000007,19.018,19.5,18.56,0.9400000000000013,0.6099999999999994,323757,457112,250925,206187,-184985
2016-02-14,19.755,20.0,19.56,0.4400000000000013,0.19000000000000128,20.2175,20.59,19.85,0.7399999999999984,-0.7399999999999984,19.1025,19.45,18.71,0.7399999999999984,0.18999999999999773,19.697499999999998,19.87,19.49,0.38000000000000256,-0.3200000000000003,300081,400642,186564,214078,-214078
2016-02-21,19.948333333333334,20.48,19.6,0.879999999999999,-0.120000000000001,20.251666666666665,20.74,19.75,0.9899999999999984,-0.4800000000000004,19.605,20.08,19.0,1.0799999999999983,-0.029999999999997584,19.939999999999998,20.43,19.49,0.9400000000000013,-0.379999999999999,228992,355896,177753,178143,-178143
2016-02-28,20.902,22.11,19.7,2.41,2.120000000000001,21.692,23.12,20.14,2.9800000000000004,2.9800000000000004,20.682,22.01,19.48,2.530000000000001,2.530000000000001,21.334,22.21,19.57,2.6400000000000006,2.6400000000000006,358036,465944,226635,239309,87519
2016-03-06,21.882,22.4,21.43,0.9699999999999989,-0.3000000000000007,22.312,22.84,21.71,1.129999999999999,-0.2699999999999996,21.386,21.89,20.85,1.0399999999999991,0.08000000000000185,21.878,22.59,21.25,1.3399999999999999,-0.05999999999999872,294949,407774,236422,171352,-171352
