Date,SPDR S&P HomebuildersEtf_Open_average,SPDR S&P HomebuildersEtf_Open_max,SPDR S&P HomebuildersEtf_Open_min,SPDR S&P HomebuildersEtf_Open_volatility,SPDR S&P HomebuildersEtf_Open_change,SPDR S&P HomebuildersEtf_High_average,SPDR S&P HomebuildersEtf_High_max,SPDR S&P HomebuildersEtf_High_min,SPDR S&P HomebuildersEtf_High_volatility,SPDR S&P HomebuildersEtf_High_change,SPDR S&P HomebuildersEtf_Low_average,SPDR S&P HomebuildersEtf_Low_max,SPDR S&P HomebuildersEtf_Low_min,SPDR S&P HomebuildersEtf_Low_volatility,SPDR S&P HomebuildersEtf_Low_change,SPDR S&P HomebuildersEtf_Close_average,SPDR S&P HomebuildersEtf_Close_max,SPDR S&P HomebuildersEtf_Close_min,SPDR S&P HomebuildersEtf_Close_volatility,SPDR S&P HomebuildersEtf_Close_change
2016-01-03,31.7,31.7,31.7,0.0,0.0,31.89,31.89,31.89,0.0,0.0,30.99,30.99,30.99,0.0,0.0,31.06,31.06,31.06,0.0,0.0
2016-01-10,29.32,29.32,29.32,0.0,0.0,29.96,29.96,29.96,0.0,0.0,29.13,29.13,29.13,0.0,0.0,29.73,29.73,29.73,0.0,0.0
2016-01-17,29.89,29.89,29.89,0.0,0.0,30.75,30.75,30.75,0.0,0.0,29.82,29.82,29.82,0.0,0.0,30.25,30.25,30.25,0.0,0.0
2016-01-24,29.83,29.83,29.83,0.0,0.0,30.57,30.57,30.57,0.0,0.0,29.83,29.83,29.83,0.0,0.0,30.52,30.52,30.52,0.0,0.0
2016-01-31,29.76,29.76,29.76,0.0,0.0,30.02,30.02,30.02,0.0,0.0,29.03,29.03,29.03,0.0,0.0,29.12,29.12,29.12,0.0,0.0
2016-02-07,28.23,28.23,28.23,0.0,0.0,28.77,28.77,28.77,0.0,0.0,28.19,28.19,28.19,0.0,0.0,28.72,28.72,28.72,0.0,0.0
2016-02-14,29.66,29.66,29.66,0.0,0.0,29.99,29.99,29.99,0.0,0.0,29.57,29.57,29.57,0.0,0.0,29.92,29.92,29.92,0.0,0.0
2016-02-21,31.16,31.16,31.16,0.0,0.0,31.36,31.36,31.36,0.0,0.0,30.98,30.98,30.98,0.0,0.0,31.23,31.23,31.23,0.0,0.0
2016-02-28,32.19,32.19,32.19,0.0,0.0,32.36,32.36,32.36,0.0,0.0,31.95,31.95,31.95,0.0,0.0,32.18,32.18,32.18,0.0,0.0
2016-03-06,32.09,32.09,32.09,0.0,0.0,32.54,32.54,32.54,0.0,0.0,32.0,32.0,32.0,0.0,0.0,32.49,32.49,32.49,0.0,0.0
2016-03-13,33.01,33.01,33.01,0.0,0.0,33.65,33.65,33.65,0.0,0.0,33.0,33.0,33.0,0.0,0.0,33.46,33.46,33.46,0.0,0.0
2016-03-20,32.66,32.66,32.66,0.0,0.0,32.79,32.79,32.79,0.0,0.0,32.5,32.5,32.5,0.0,0.0,32.78,32.78,32.78,0.0,0.0
2016-03-27,33.63,33.63,33.63,0.0,0.0,34.12,34.12,34.12,0.0,0.0,33.55,33.55,33.55,0.0,0.0,34.09,34.09,34.09,0.0,0.0
2016-04-03,34.12,34.12,34.12,0.0,0.0,34.18,34.18,34.18,0.0,0.0,33.83,33.83,33.83,0.0,0.0,33.9,33.9,33.9,0.0,0.0
2016-04-10,34.75,34.75,34.75,0.0,0.0,34.84,34.84,34.84,0.0,0.0,34.6,34.6,34.6,0.0,0.0,34.84,34.84,34.84,0.0,0.0
2016-04-17,34.87,34.87,34.87,0.0,0.0,34.96,34.96,34.96,0.0,0.0,34.59,34.59,34.59,0.0,0.0,34.74,34.74,34.74,0.0,0.0
2016-04-24,33.73,33.73,33.73,0.0,0.0,33.82,33.82,33.82,0.0,0.0,33.33,33.33,33.33,0.0,0.0,33.66,33.66,33.66,0.0,0.0
2016-05-01,33.12,33.12,33.12,0.0,0.0,33.57,33.57,33.57,0.0,0.0,33.12,33.12,33.12,0.0,0.0,33.5,33.5,33.5,0.0,0.0
2016-05-08,33.03,33.03,33.03,0.0,0.0,33.32,33.32,33.32,0.0,0.0,32.79,32.79,32.79,0.0,0.0,32.82,32.82,32.82,0.0,0.0
2016-05-15,32.98,32.98,32.98,0.0,0.0,33.26,33.26,33.26,0.0,0.0,32.94,32.94,32.94,0.0,0.0,33.23,33.23,33.23,0.0,0.0
2016-05-22,33.96,33.96,33.96,0.0,0.0,34.37,34.37,34.37,0.0,0.0,33.96,33.96,33.96,0.0,0.0,34.29,34.29,34.29,0.0,0.0
2016-05-29,34.25,34.25,34.25,0.0,0.0,34.29,34.29,34.29,0.0,0.0,33.82,33.82,33.82,0.0,0.0,34.2,34.2,34.2,0.0,0.0
2016-06-05,34.14,34.14,34.14,0.0,0.0,34.15,34.15,34.15,0.0,0.0,33.65,33.65,33.65,0.0,0.0,33.7,33.7,33.7,0.0,0.0
2016-06-12,33.19,33.19,33.19,0.0,0.0,33.53,33.53,33.53,0.0,0.0,33.0,33.0,33.0,0.0,0.0,33.38,33.38,33.38,0.0,0.0
2016-06-19,32.7,32.7,32.7,0.0,0.0,33.18,33.18,33.18,0.0,0.0,32.6,32.6,32.6,0.0,0.0,32.64,32.64,32.64,0.0,0.0
2016-06-26,33.61,33.61,33.61,0.0,0.0,34.07,34.07,34.07,0.0,0.0,33.33,33.33,33.33,0.0,0.0,33.75,33.75,33.75,0.0,0.0
2016-07-03,34.34,34.34,34.34,0.0,0.0,34.95,34.95,34.95,0.0,0.0,34.32,34.32,34.32,0.0,0.0,34.88,34.88,34.88,0.0,0.0
2016-07-10,35.24,35.24,35.24,0.0,0.0,35.32,35.32,35.32,0.0,0.0,35.04,35.04,35.04,0.0,0.0,35.17,35.17,35.17,0.0,0.0
2016-07-17,35.4,35.4,35.4,0.0,0.0,35.68,35.68,35.68,0.0,0.0,35.19,35.19,35.19,0.0,0.0,35.63,35.63,35.63,0.0,0.0
2016-07-24,36.19,36.19,36.19,0.0,0.0,36.44,36.44,36.44,0.0,0.0,36.01,36.01,36.01,0.0,0.0,36.08,36.08,36.08,0.0,0.0
2016-07-31,35.9,35.9,35.9,0.0,0.0,36.21,36.21,36.21,0.0,0.0,35.89,35.89,35.89,0.0,0.0,36.15,36.15,36.15,0.0,0.0
2016-08-07,35.96,35.96,35.96,0.0,0.0,36.16,36.16,36.16,0.0,0.0,35.9,35.9,35.9,0.0,0.0,36.07,36.07,36.07,0.0,0.0
2016-08-14,35.65,35.65,35.65,0.0,0.0,35.87,35.87,35.87,0.0,0.0,35.58,35.58,35.58,0.0,0.0,35.78,35.78,35.78,0.0,0.0
2016-08-21,36.22,36.22,36.22,0.0,0.0,36.51,36.51,36.51,0.0,0.0,35.77,35.77,35.77,0.0,0.0,35.97,35.97,35.97,0.0,0.0
