Date,Victory CEMP US EQ Income Enhanced Volatility WeigEtf_Open_average,Victory CEMP US EQ Income Enhanced Volatility WeigEtf_Open_max,Victory CEMP US EQ Income Enhanced Volatility WeigEtf_Open_min,Victory CEMP US EQ Income Enhanced Volatility WeigEtf_Open_volatility,Victory CEMP US EQ Income Enhanced Volatility WeigEtf_Open_change,Victory CEMP US EQ Income Enhanced Volatility WeigEtf_High_average,Victory CEMP US EQ Income Enhanced Volatility WeigEtf_High_max,Victory CEMP US EQ Income Enhanced Volatility WeigEtf_High_min,Victory CEMP US EQ Income Enhanced Volatility WeigEtf_High_volatility,Victory CEMP US EQ Income Enhanced Volatility WeigEtf_High_change,Victory CEMP US EQ Income Enhanced Volatility WeigEtf_Low_average,Victory CEMP US EQ Income Enhanced Volatility WeigEtf_Low_max,Victory CEMP US EQ Income Enhanced Volatility WeigEtf_Low_min,Victory CEMP US EQ Income Enhanced Volatility WeigEtf_Low_volatility,Victory CEMP US EQ Income Enhanced Volatility WeigEtf_Low_change,Victory CEMP US EQ Income Enhanced Volatility WeigEtf_Close_average,Victory CEMP US EQ Income Enhanced Volatility WeigEtf_Close_max,Victory CEMP US EQ Income Enhanced Volatility WeigEtf_Close_min,Victory CEMP US EQ Income Enhanced Volatility WeigEtf_Close_volatility,Victory CEMP US EQ Income Enhanced Volatility WeigEtf_Close_change
2016-01-03,34.28,34.28,34.28,0.0,0.0,34.28,34.28,34.28,0.0,0.0,33.74,33.74,33.74,0.0,0.0,33.76,33.76,33.76,0.0,0.0
2016-01-10,33.15,33.15,33.15,0.0,0.0,33.38,33.38,33.38,0.0,0.0,32.94,32.94,32.94,0.0,0.0,33.33,33.33,33.33,0.0,0.0
2016-01-17,33.43,33.43,33.43,0.0,0.0,33.75,33.75,33.75,0.0,0.0,33.43,33.43,33.43,0.0,0.0,33.74,33.74,33.74,0.0,0.0
2016-01-24,34.4,34.4,34.4,0.0,0.0,34.7,34.7,34.7,0.0,0.0,34.35,34.35,34.35,0.0,0.0,34.7,34.7,34.7,0.0,0.0
2016-01-31,34.77,34.77,34.77,0.0,0.0,34.82,34.82,34.82,0.0,0.0,34.69,34.69,34.69,0.0,0.0,34.69,34.69,34.69,0.0,0.0
2016-02-07,34.28,34.28,34.28,0.0,0.0,34.36,34.36,34.36,0.0,0.0,34.11,34.11,34.11,0.0,0.0,34.36,34.36,34.36,0.0,0.0
2016-02-14,35.13,35.13,35.13,0.0,0.0,35.25,35.25,35.25,0.0,0.0,35.08,35.08,35.08,0.0,0.0,35.21,35.21,35.21,0.0,0.0
2016-02-21,35.94,35.94,35.94,0.0,0.0,35.95,35.95,35.95,0.0,0.0,35.58,35.58,35.58,0.0,0.0,35.65,35.65,35.65,0.0,0.0
2016-02-28,36.26,36.26,36.26,0.0,0.0,36.7,36.7,36.7,0.0,0.0,36.25,36.25,36.25,0.0,0.0,36.61,36.61,36.61,0.0,0.0
2016-03-06,36.5,36.5,36.5,0.0,0.0,37.18,37.18,37.18,0.0,0.0,36.5,36.5,36.5,0.0,0.0,37.1,37.1,37.1,0.0,0.0
2016-03-13,37.95,37.95,37.95,0.0,0.0,37.95,37.95,37.95,0.0,0.0,37.66,37.66,37.66,0.0,0.0,37.71,37.71,37.71,0.0,0.0
2016-03-20,37.39,37.39,37.39,0.0,0.0,37.39,37.39,37.39,0.0,0.0,37.16,37.16,37.16,0.0,0.0,37.38,37.38,37.38,0.0,0.0
2016-03-27,37.97,37.97,37.97,0.0,0.0,37.98,37.98,37.98,0.0,0.0,37.54,37.54,37.54,0.0,0.0,37.97,37.97,37.97,0.0,0.0
2016-04-03,37.29,37.29,37.29,0.0,0.0,37.39,37.39,37.39,0.0,0.0,37.04,37.04,37.04,0.0,0.0,37.04,37.04,37.04,0.0,0.0
