Date,ProShares Ultra Bloomberg Crude Oil_etf_Open_average,ProShares Ultra Bloomberg Crude Oil_etf_Open_max,ProShares Ultra Bloomberg Crude Oil_etf_Open_min,ProShares Ultra Bloomberg Crude Oil_etf_Open_volatility,ProShares Ultra Bloomberg Crude Oil_etf_Open_change,ProShares Ultra Bloomberg Crude Oil_etf_High_average,ProShares Ultra Bloomberg Crude Oil_etf_High_max,ProShares Ultra Bloomberg Crude Oil_etf_High_min,ProShares Ultra Bloomberg Crude Oil_etf_High_volatility,ProShares Ultra Bloomberg Crude Oil_etf_High_change,ProShares Ultra Bloomberg Crude Oil_etf_Low_average,ProShares Ultra Bloomberg Crude Oil_etf_Low_max,ProShares Ultra Bloomberg Crude Oil_etf_Low_min,ProShares Ultra Bloomberg Crude Oil_etf_Low_volatility,ProShares Ultra Bloomberg Crude Oil_etf_Low_change,ProShares Ultra Bloomberg Crude Oil_etf_Close_average,ProShares Ultra Bloomberg Crude Oil_etf_Close_max,ProShares Ultra Bloomberg Crude Oil_etf_Close_min,ProShares Ultra Bloomberg Crude Oil_etf_Close_volatility,ProShares Ultra Bloomberg Crude Oil_etf_Close_change
2016-01-03,516.0,516.0,516.0,0.0,0.0,520.5,520.5,520.5,0.0,0.0,491.0,491.0,491.0,0.0,0.0,499.0,499.0,499.0,0.0,0.0
2016-01-10,399.5,399.5,399.5,0.0,0.0,408.75,408.75,408.75,0.0,0.0,385.0,385.0,385.0,0.0,0.0,399.5,399.5,399.5,0.0,0.0
2016-01-17,423.0,423.0,423.0,0.0,0.0,440.0,440.0,440.0,0.0,0.0,412.5,412.5,412.5,0.0,0.0,438.65,438.65,438.65,0.0,0.0
2016-01-24,484.0,484.0,484.0,0.0,0.0,494.0,494.0,494.0,0.0,0.0,446.0,446.0,446.0,0.0,0.0,473.0,473.0,473.0,0.0,0.0
2016-01-31,409.0,409.0,409.0,0.0,0.0,426.5,426.5,426.5,0.0,0.0,387.5,387.5,387.5,0.0,0.0,397.5,397.5,397.5,0.0,0.0
2016-02-07,334.5,334.5,334.5,0.0,0.0,361.5,361.5,361.5,0.0,0.0,325.0,325.0,325.0,0.0,0.0,346.0,346.0,346.0,0.0,0.0
2016-02-14,357.0,357.0,357.0,0.0,0.0,359.0,359.0,359.0,0.0,0.0,342.0,342.0,342.0,0.0,0.0,357.0,357.0,357.0,0.0,0.0
2016-02-21,405.0,405.0,405.0,0.0,0.0,406.5,406.5,406.5,0.0,0.0,370.0,370.0,370.0,0.0,0.0,375.5,375.5,375.5,0.0,0.0
2016-02-28,417.0,417.0,417.0,0.0,0.0,449.5,449.5,449.5,0.0,0.0,408.5,408.5,408.5,0.0,0.0,449.5,449.5,449.5,0.0,0.0
2016-03-06,498.5,498.5,498.5,0.0,0.0,505.0,505.0,505.0,0.0,0.0,484.0,484.0,484.0,0.0,0.0,496.0,496.0,496.0,0.0,0.0
2016-03-13,545.0,545.0,545.0,0.0,0.0,553.7,553.7,553.7,0.0,0.0,517.0,517.0,517.0,0.0,0.0,521.5,521.5,521.5,0.0,0.0
2016-03-20,453.0,453.0,453.0,0.0,0.0,483.0,483.0,483.0,0.0,0.0,449.5,449.5,449.5,0.0,0.0,479.0,479.0,479.0,0.0,0.0
2016-03-27,418.5,418.5,418.5,0.0,0.0,422.5,422.5,422.5,0.0,0.0,410.5,410.5,410.5,0.0,0.0,411.5,411.5,411.5,0.0,0.0
2016-04-03,468.0,468.0,468.0,0.0,0.0,479.5,479.5,479.5,0.0,0.0,464.0,464.0,464.0,0.0,0.0,473.0,473.0,473.0,0.0,0.0
2016-04-10,492.0,492.0,492.0,0.0,0.0,499.0,499.0,499.0,0.0,0.0,478.5,478.5,478.5,0.0,0.0,490.0,490.0,490.0,0.0,0.0
2016-04-17,536.25,536.25,536.25,0.0,0.0,554.0,554.0,554.0,0.0,0.0,532.0,532.0,532.0,0.0,0.0,537.0,537.0,537.0,0.0,0.0
2016-04-24,604.0,604.0,604.0,0.0,0.0,611.5,611.5,611.5,0.0,0.0,572.5,572.5,572.5,0.0,0.0,589.5,589.5,589.5,0.0,0.0
2016-05-01,537.0,537.0,537.0,0.0,0.0,570.0,570.0,570.0,0.0,0.0,533.52,533.52,533.52,0.0,0.0,553.0,553.0,553.0,0.0,0.0
2016-05-08,591.0,591.0,591.0,0.0,0.0,599.3,599.3,599.3,0.0,0.0,582.5,582.5,582.5,0.0,0.0,593.5,593.5,593.5,0.0,0.0
2016-05-15,637.0,637.0,637.0,0.0,0.0,644.0,644.0,644.0,0.0,0.0,618.0,618.0,618.0,0.0,0.0,631.0,631.0,631.0,0.0,0.0
2016-05-22,643.0,643.0,643.0,0.0,0.0,658.0,658.0,658.0,0.0,0.0,637.0,637.0,637.0,0.0,0.0,656.5,656.5,656.5,0.0,0.0
2016-05-29,646.0,646.0,646.0,0.0,0.0,646.5,646.5,646.5,0.0,0.0,627.25,627.25,627.25,0.0,0.0,639.5,639.5,639.5,0.0,0.0
2016-06-05,661.5,661.5,661.5,0.0,0.0,669.45,669.45,669.45,0.0,0.0,640.0,640.0,640.0,0.0,0.0,644.5,644.5,644.5,0.0,0.0
2016-06-12,598.5,598.5,598.5,0.0,0.0,621.0,621.0,621.0,0.0,0.0,593.0,593.0,593.0,0.0,0.0,619.5,619.5,619.5,0.0,0.0
2016-06-19,592.5,592.5,592.5,0.0,0.0,612.5,612.5,612.5,0.0,0.0,590.0,590.0,590.0,0.0,0.0,593.5,593.5,593.5,0.0,0.0
2016-06-26,604.0,604.0,604.0,0.0,0.0,630.5,630.5,630.5,0.0,0.0,602.5,602.5,602.5,0.0,0.0,629.5,629.5,629.5,0.0,0.0
2016-07-03,540.0,540.0,540.0,0.0,0.0,543.5,543.5,543.5,0.0,0.0,520.88,520.88,520.88,0.0,0.0,531.5,531.5,531.5,0.0,0.0
2016-07-10,545.5,545.5,545.5,0.0,0.0,554.02,554.02,554.02,0.0,0.0,536.55,536.55,536.55,0.0,0.0,545.5,545.5,545.5,0.0,0.0
2016-07-17,497.0,497.0,497.0,0.0,0.0,498.5,498.5,498.5,0.0,0.0,479.0,479.0,479.0,0.0,0.0,490.0,490.0,490.0,0.0,0.0
2016-07-24,418.5,418.5,418.5,0.0,0.0,433.5,433.5,433.5,0.0,0.0,411.5,411.5,411.5,0.0,0.0,429.0,429.0,429.0,0.0,0.0
2016-07-31,433.0,433.0,433.0,0.0,0.0,437.0,437.0,437.0,0.0,0.0,419.26,419.26,419.26,0.0,0.0,437.0,437.0,437.0,0.0,0.0
2016-08-07,473.5,473.5,473.5,0.0,0.0,491.0,491.0,491.0,0.0,0.0,470.0,470.0,470.0,0.0,0.0,491.0,491.0,491.0,0.0,0.0
