Date,DHIL_stock_Open_average,DHIL_stock_Open_max,DHIL_stock_Open_min,DHIL_stock_Open_volatility,DHIL_stock_Open_change,DHIL_stock_High_average,DHIL_stock_High_max,DHIL_stock_High_min,DHIL_stock_High_volatility,DHIL_stock_High_change,DHIL_stock_Low_average,DHIL_stock_Low_max,DHIL_stock_Low_min,DHIL_stock_Low_volatility,DHIL_stock_Low_change,DHIL_stock_Close_average,DHIL_stock_Close_max,DHIL_stock_Close_min,DHIL_stock_Close_volatility,DHIL_stock_Close_change,DHIL_stock_Volume_average,DHIL_stock_Volume_max,DHIL_stock_Volume_min,DHIL_stock_Volume_volatility,DHIL_stock_Volume_change
2016-01-03,180.638,187.24,176.55,10.689999999999998,-4.240000000000009,184.912,190.2,180.65,9.549999999999983,2.9599999999999795,176.508,182.36,172.68,9.680000000000007,5.860000000000014,180.638,182.77,178.01,4.760000000000019,4.350000000000023,16685,30941,4340,26601,-3283
2016-01-10,168.016,182.24,151.95,30.29000000000002,-30.29000000000002,169.828,182.24,158.54,23.700000000000017,-23.700000000000017,159.34199999999998,177.17,142.69,34.47999999999999,-34.47999999999999,163.434,177.36,154.88,22.480000000000018,-22.480000000000018,24705,39891,12364,27527,27527
2016-01-17,155.4325,157.44,152.86,4.579999999999984,2.6599999999999966,159.325,162.28,157.37,4.909999999999997,4.909999999999997,150.76,157.44,140.98,16.460000000000008,3.569999999999993,157.65,160.01,154.21,5.799999999999983,5.799999999999983,11277,16030,4936,11094,7056
2016-01-24,161.994,164.37,160.0,4.3700000000000045,4.3700000000000045,166.01000000000002,172.61,162.24,10.370000000000005,7.030000000000001,159.766,164.37,155.89,8.480000000000018,8.480000000000018,163.482,169.05,161.7,7.350000000000023,6.590000000000003,12322,16828,6198,10630,-1707
2016-01-31,172.90200000000002,176.4,167.71,8.689999999999998,8.689999999999998,176.532,179.0,170.14,8.860000000000014,8.860000000000014,171.326,175.03,166.3,8.72999999999999,7.359999999999985,173.87,176.4,168.67,7.730000000000018,6.390000000000015,14982,25036,7676,17360,17187
2016-02-07,175.732,178.11,173.31,4.800000000000011,3.0600000000000023,180.284,185.29,178.11,7.179999999999978,5.949999999999989,173.918,176.87,168.58,8.289999999999992,3.230000000000018,178.596,184.4,175.59,8.810000000000002,5.730000000000018,15839,21025,11028,9997,-7405
2016-02-14,188.2325,192.0,184.45,7.550000000000011,5.530000000000001,191.39249999999998,195.09,187.24,7.849999999999994,2.7399999999999807,183.54500000000002,188.18,179.0,9.180000000000007,1.5,188.76999999999998,192.91,185.54,7.3700000000000045,-1.1100000000000136,15392,20277,7423,12854,8208
2016-02-21,179.59666666666666,185.62,170.88,14.740000000000009,-14.740000000000009,181.29666666666665,192.47,170.88,21.590000000000003,-21.590000000000003,175.67333333333335,185.6,170.02,15.579999999999984,-14.719999999999999,176.70166666666665,186.8,170.19,16.610000000000014,-15.920000000000016,13749,18949,9743,9206,-6501
2016-02-28,171.162,173.63,169.43,4.199999999999989,2.6299999999999955,173.54,178.91,170.19,8.719999999999999,7.310000000000002,169.36,173.63,167.81,5.819999999999993,5.329999999999984,172.5,178.0,169.0,9.0,9.0,17103,32862,10568,22294,-22294
2016-03-06,177.632,178.75,176.28,2.469999999999999,0.7400000000000091,179.874,181.12,178.39,2.730000000000018,-0.539999999999992,176.13,177.96,175.15,2.8100000000000023,-1.0300000000000011,178.15,179.99,176.02,3.969999999999999,0.8300000000000125,10488,14678,6322,8356,1603
