Date,Vanguard Small-Cap_etf_Open_average,Vanguard Small-Cap_etf_Open_max,Vanguard Small-Cap_etf_Open_min,Vanguard Small-Cap_etf_Open_volatility,Vanguard Small-Cap_etf_Open_change,Vanguard Small-Cap_etf_High_average,Vanguard Small-Cap_etf_High_max,Vanguard Small-Cap_etf_High_min,Vanguard Small-Cap_etf_High_volatility,Vanguard Small-Cap_etf_High_change,Vanguard Small-Cap_etf_Low_average,Vanguard Small-Cap_etf_Low_max,Vanguard Small-Cap_etf_Low_min,Vanguard Small-Cap_etf_Low_volatility,Vanguard Small-Cap_etf_Low_change,Vanguard Small-Cap_etf_Close_average,Vanguard Small-Cap_etf_Close_max,Vanguard Small-Cap_etf_Close_min,Vanguard Small-Cap_etf_Close_volatility,Vanguard Small-Cap_etf_Close_change
2016-01-03,104.77,104.77,104.77,0.0,0.0,105.25,105.25,105.25,0.0,0.0,102.79,102.79,102.79,0.0,0.0,102.97,102.97,102.97,0.0,0.0
2016-01-10,98.49,98.49,98.49,0.0,0.0,99.36,99.36,99.36,0.0,0.0,97.08,97.08,97.08,0.0,0.0,99.22,99.22,99.22,0.0,0.0
2016-01-17,99.69,99.69,99.69,0.0,0.0,100.69,100.69,100.69,0.0,0.0,99.38,99.38,99.38,0.0,0.0,100.47,100.47,100.47,0.0,0.0
2016-01-24,99.64,99.64,99.64,0.0,0.0,102.29,102.29,102.29,0.0,0.0,99.64,99.64,99.64,0.0,0.0,102.29,102.29,102.29,0.0,0.0
2016-01-31,100.59,100.59,100.59,0.0,0.0,100.59,100.59,100.59,0.0,0.0,98.51,98.51,98.51,0.0,0.0,98.63,98.63,98.63,0.0,0.0
2016-02-07,95.76,95.76,95.76,0.0,0.0,96.76,96.76,96.76,0.0,0.0,95.24,95.24,95.24,0.0,0.0,96.65,96.65,96.65,0.0,0.0
2016-02-14,99.85,99.85,99.85,0.0,0.0,100.47,100.47,100.47,0.0,0.0,99.19,99.19,99.19,0.0,0.0,100.44,100.44,100.44,0.0,0.0
2016-02-21,103.43,103.43,103.43,0.0,0.0,103.77,103.77,103.77,0.0,0.0,103.0,103.0,103.0,0.0,0.0,103.48,103.48,103.48,0.0,0.0
2016-02-28,107.73,107.73,107.73,0.0,0.0,108.86,108.86,108.86,0.0,0.0,107.36,107.36,107.36,0.0,0.0,108.28,108.28,108.28,0.0,0.0
2016-03-06,107.7,107.7,107.7,0.0,0.0,109.02,109.02,109.02,0.0,0.0,107.61,107.61,107.61,0.0,0.0,108.96,108.96,108.96,0.0,0.0
