Date,ProShares UltraShort FinancialsEtf_Open_average,ProShares UltraShort FinancialsEtf_Open_max,ProShares UltraShort FinancialsEtf_Open_min,ProShares UltraShort FinancialsEtf_Open_volatility,ProShares UltraShort FinancialsEtf_Open_change,ProShares UltraShort FinancialsEtf_High_average,ProShares UltraShort FinancialsEtf_High_max,ProShares UltraShort FinancialsEtf_High_min,ProShares UltraShort FinancialsEtf_High_volatility,ProShares UltraShort FinancialsEtf_High_change,ProShares UltraShort FinancialsEtf_Low_average,ProShares UltraShort FinancialsEtf_Low_max,ProShares UltraShort FinancialsEtf_Low_min,ProShares UltraShort FinancialsEtf_Low_volatility,ProShares UltraShort FinancialsEtf_Low_change,ProShares UltraShort FinancialsEtf_Close_average,ProShares UltraShort FinancialsEtf_Close_max,ProShares UltraShort FinancialsEtf_Close_min,ProShares UltraShort FinancialsEtf_Close_volatility,ProShares UltraShort FinancialsEtf_Close_change
2016-01-03,50.18,50.18,50.18,0.0,0.0,52.91,52.91,52.91,0.0,0.0,50.15,50.15,50.15,0.0,0.0,52.83,52.83,52.83,0.0,0.0
2016-01-10,55.26,55.26,55.26,0.0,0.0,57.2,57.2,57.2,0.0,0.0,55.26,55.26,55.26,0.0,0.0,55.88,55.88,55.88,0.0,0.0
2016-01-17,56.86,56.86,56.86,0.0,0.0,57.05,57.05,57.05,0.0,0.0,55.9,55.9,55.9,0.0,0.0,56.19,56.19,56.19,0.0,0.0
2016-01-24,56.69,56.69,56.69,0.0,0.0,56.69,56.69,56.69,0.0,0.0,53.74,53.74,53.74,0.0,0.0,53.86,53.86,53.86,0.0,0.0
2016-01-31,55.66,55.66,55.66,0.0,0.0,57.7,57.7,57.7,0.0,0.0,55.44,55.44,55.44,0.0,0.0,57.45,57.45,57.45,0.0,0.0
2016-02-07,62.24,62.24,62.24,0.0,0.0,62.77,62.77,62.77,0.0,0.0,59.55,59.55,59.55,0.0,0.0,59.59,59.59,59.59,0.0,0.0
2016-02-14,57.59,57.59,57.59,0.0,0.0,57.59,57.59,57.59,0.0,0.0,56.15,56.15,56.15,0.0,0.0,56.45,56.45,56.45,0.0,0.0
2016-02-21,54.5,54.5,54.5,0.0,0.0,54.9,54.9,54.9,0.0,0.0,53.67,53.67,53.67,0.0,0.0,54.5,54.5,54.5,0.0,0.0
2016-02-28,49.77,49.77,49.77,0.0,0.0,50.53,50.53,50.53,0.0,0.0,49.45,49.45,49.45,0.0,0.0,49.94,49.94,49.94,0.0,0.0
2016-03-06,50.79,50.79,50.79,0.0,0.0,50.79,50.79,50.79,0.0,0.0,48.9,48.9,48.9,0.0,0.0,48.93,48.93,48.93,0.0,0.0
2016-03-13,47.78,47.78,47.78,0.0,0.0,47.88,47.88,47.88,0.0,0.0,47.05,47.05,47.05,0.0,0.0,47.45,47.45,47.45,0.0,0.0
2016-03-20,49.34,49.34,49.34,0.0,0.0,49.82,49.82,49.82,0.0,0.0,49.05,49.05,49.05,0.0,0.0,49.06,49.06,49.06,0.0,0.0
2016-03-27,48.14,48.14,48.14,0.0,0.0,48.58,48.58,48.58,0.0,0.0,46.94,46.94,46.94,0.0,0.0,47.04,47.04,47.04,0.0,0.0
2016-04-03,49.1,49.1,49.1,0.0,0.0,49.68,49.68,49.68,0.0,0.0,48.56,48.56,48.56,0.0,0.0,49.45,49.45,49.45,0.0,0.0
2016-04-10,45.71,45.71,45.71,0.0,0.0,46.09,46.09,46.09,0.0,0.0,45.6,45.6,45.6,0.0,0.0,45.89,45.89,45.89,0.0,0.0
2016-04-17,44.69,44.69,44.69,0.0,0.0,44.71,44.71,44.71,0.0,0.0,43.87,43.87,43.87,0.0,0.0,43.96,43.96,43.96,0.0,0.0
2016-04-24,44.78,44.78,44.78,0.0,0.0,45.56,45.56,45.56,0.0,0.0,44.49,44.49,44.49,0.0,0.0,44.98,44.98,44.98,0.0,0.0
2016-05-01,46.28,46.28,46.28,0.0,0.0,46.28,46.28,46.28,0.0,0.0,45.16,45.16,45.16,0.0,0.0,45.2,45.2,45.2,0.0,0.0
2016-05-08,44.97,44.97,44.97,0.0,0.0,46.1,46.1,46.1,0.0,0.0,44.62,44.62,44.62,0.0,0.0,45.95,45.95,45.95,0.0,0.0
2016-05-15,45.15,45.15,45.15,0.0,0.0,45.15,45.15,45.15,0.0,0.0,44.44,44.44,44.44,0.0,0.0,44.83,44.83,44.83,0.0,0.0
2016-05-22,42.96,42.96,42.96,0.0,0.0,42.98,42.98,42.98,0.0,0.0,42.53,42.53,42.53,0.0,0.0,42.56,42.56,42.56,0.0,0.0
2016-05-29,43.3,43.3,43.3,0.0,0.0,44.09,44.09,44.09,0.0,0.0,43.15,43.15,43.15,0.0,0.0,43.26,43.26,43.26,0.0,0.0
2016-06-05,44.01,44.01,44.01,0.0,0.0,44.63,44.63,44.63,0.0,0.0,44.01,44.01,44.01,0.0,0.0,44.38,44.38,44.38,0.0,0.0
2016-06-12,45.95,45.95,45.95,0.0,0.0,46.48,46.48,46.48,0.0,0.0,45.71,45.71,45.71,0.0,0.0,46.07,46.07,46.07,0.0,0.0
2016-06-19,48.16,48.16,48.16,0.0,0.0,48.16,48.16,48.16,0.0,0.0,45.94,45.94,45.94,0.0,0.0,47.69,47.69,47.69,0.0,0.0
2016-06-26,44.64,44.64,44.64,0.0,0.0,45.0,45.0,45.0,0.0,0.0,44.35,44.35,44.35,0.0,0.0,44.87,44.87,44.87,0.0,0.0
2016-07-03,44.51,44.51,44.51,0.0,0.0,44.64,44.64,44.64,0.0,0.0,44.0,44.0,44.0,0.0,0.0,44.13,44.13,44.13,0.0,0.0
