Date,ProShares Ultra FTSE China 50_etf_Open_average,ProShares Ultra FTSE China 50_etf_Open_max,ProShares Ultra FTSE China 50_etf_Open_min,ProShares Ultra FTSE China 50_etf_Open_volatility,ProShares Ultra FTSE China 50_etf_Open_change,ProShares Ultra FTSE China 50_etf_High_average,ProShares Ultra FTSE China 50_etf_High_max,ProShares Ultra FTSE China 50_etf_High_min,ProShares Ultra FTSE China 50_etf_High_volatility,ProShares Ultra FTSE China 50_etf_High_change,ProShares Ultra FTSE China 50_etf_Low_average,ProShares Ultra FTSE China 50_etf_Low_max,ProShares Ultra FTSE China 50_etf_Low_min,ProShares Ultra FTSE China 50_etf_Low_volatility,ProShares Ultra FTSE China 50_etf_Low_change,ProShares Ultra FTSE China 50_etf_Close_average,ProShares Ultra FTSE China 50_etf_Close_max,ProShares Ultra FTSE China 50_etf_Close_min,ProShares Ultra FTSE China 50_etf_Close_volatility,ProShares Ultra FTSE China 50_etf_Close_change
2016-01-03,40.24,40.24,40.24,0.0,0.0,40.24,40.24,40.24,0.0,0.0,38.61,38.61,38.61,0.0,0.0,38.65,38.65,38.65,0.0,0.0
2016-01-10,33.86,33.86,33.86,0.0,0.0,34.51,34.51,34.51,0.0,0.0,33.1,33.1,33.1,0.0,0.0,34.3,34.3,34.3,0.0,0.0
2016-01-17,35.9,35.9,35.9,0.0,0.0,36.24,36.24,36.24,0.0,0.0,35.54,35.54,35.54,0.0,0.0,36.22,36.22,36.22,0.0,0.0
2016-01-24,36.56,36.56,36.56,0.0,0.0,37.37,37.37,37.37,0.0,0.0,36.46,36.46,36.46,0.0,0.0,37.31,37.31,37.31,0.0,0.0
2016-01-31,34.92,34.92,34.92,0.0,0.0,34.92,34.92,34.92,0.0,0.0,33.58,33.58,33.58,0.0,0.0,33.66,33.66,33.66,0.0,0.0
2016-02-07,31.12,31.12,31.12,0.0,0.0,32.34,32.34,32.34,0.0,0.0,31.12,31.12,31.12,0.0,0.0,32.25,32.25,32.25,0.0,0.0
2016-02-14,35.38,35.38,35.38,0.0,0.0,35.72,35.72,35.72,0.0,0.0,35.14,35.14,35.14,0.0,0.0,35.45,35.45,35.45,0.0,0.0
2016-02-21,36.0,36.0,36.0,0.0,0.0,36.0,36.0,36.0,0.0,0.0,35.18,35.18,35.18,0.0,0.0,35.18,35.18,35.18,0.0,0.0
2016-02-28,39.99,39.99,39.99,0.0,0.0,41.52,41.52,41.52,0.0,0.0,39.65,39.65,39.65,0.0,0.0,41.27,41.27,41.27,0.0,0.0
2016-03-06,39.86,39.86,39.86,0.0,0.0,40.94,40.94,40.94,0.0,0.0,39.86,39.86,39.86,0.0,0.0,40.91,40.91,40.91,0.0,0.0
2016-03-13,43.09,43.09,43.09,0.0,0.0,43.4,43.4,43.4,0.0,0.0,42.83,42.83,42.83,0.0,0.0,42.95,42.95,42.95,0.0,0.0
2016-03-20,39.99,39.99,39.99,0.0,0.0,40.47,40.47,40.47,0.0,0.0,39.67,39.67,39.67,0.0,0.0,40.47,40.47,40.47,0.0,0.0
2016-03-27,41.05,41.05,41.05,0.0,0.0,42.98,42.98,42.98,0.0,0.0,40.85,40.85,40.85,0.0,0.0,42.74,42.74,42.74,0.0,0.0
2016-04-03,41.28,41.28,41.28,0.0,0.0,41.38,41.38,41.38,0.0,0.0,40.55,40.55,40.55,0.0,0.0,40.65,40.65,40.65,0.0,0.0
2016-04-10,45.2,45.2,45.2,0.0,0.0,45.42,45.42,45.42,0.0,0.0,44.75,44.75,44.75,0.0,0.0,44.92,44.92,44.92,0.0,0.0
2016-04-17,44.64,44.64,44.64,0.0,0.0,45.23,45.23,45.23,0.0,0.0,44.16,44.16,44.16,0.0,0.0,44.47,44.47,44.47,0.0,0.0
2016-04-24,42.71,42.71,42.71,0.0,0.0,42.8,42.8,42.8,0.0,0.0,41.8,41.8,41.8,0.0,0.0,42.36,42.36,42.36,0.0,0.0
2016-05-01,38.5,38.5,38.5,0.0,0.0,39.23,39.23,39.23,0.0,0.0,38.5,38.5,38.5,0.0,0.0,38.81,38.81,38.81,0.0,0.0
2016-05-08,37.49,37.49,37.49,0.0,0.0,37.49,37.49,37.49,0.0,0.0,36.3,36.3,36.3,0.0,0.0,36.57,36.57,36.57,0.0,0.0
2016-05-15,37.57,37.57,37.57,0.0,0.0,37.74,37.74,37.74,0.0,0.0,37.55,37.55,37.55,0.0,0.0,37.55,37.55,37.55,0.0,0.0
2016-05-22,40.66,40.66,40.66,0.0,0.0,40.77,40.77,40.77,0.0,0.0,40.2,40.2,40.2,0.0,0.0,40.2,40.2,40.2,0.0,0.0
2016-05-29,42.62,42.62,42.62,0.0,0.0,43.04,43.04,43.04,0.0,0.0,42.28,42.28,42.28,0.0,0.0,42.73,42.73,42.73,0.0,0.0
2016-06-05,42.34,42.34,42.34,0.0,0.0,42.46,42.46,42.46,0.0,0.0,41.98,41.98,41.98,0.0,0.0,42.34,42.34,42.34,0.0,0.0
2016-06-12,40.18,40.18,40.18,0.0,0.0,40.49,40.49,40.49,0.0,0.0,39.94,39.94,39.94,0.0,0.0,40.37,40.37,40.37,0.0,0.0
2016-06-19,40.59,40.59,40.59,0.0,0.0,42.05,42.05,42.05,0.0,0.0,39.81,39.81,39.81,0.0,0.0,40.13,40.13,40.13,0.0,0.0
