Date,Star Global Buy-Write_etf_Open_average,Star Global Buy-Write_etf_Open_max,Star Global Buy-Write_etf_Open_min,Star Global Buy-Write_etf_Open_volatility,Star Global Buy-Write_etf_Open_change,Star Global Buy-Write_etf_High_average,Star Global Buy-Write_etf_High_max,Star Global Buy-Write_etf_High_min,Star Global Buy-Write_etf_High_volatility,Star Global Buy-Write_etf_High_change,Star Global Buy-Write_etf_Low_average,Star Global Buy-Write_etf_Low_max,Star Global Buy-Write_etf_Low_min,Star Global Buy-Write_etf_Low_volatility,Star Global Buy-Write_etf_Low_change,Star Global Buy-Write_etf_Close_average,Star Global Buy-Write_etf_Close_max,Star Global Buy-Write_etf_Close_min,Star Global Buy-Write_etf_Close_volatility,Star Global Buy-Write_etf_Close_change
2016-01-03,25.2,25.2,25.2,0.0,0.0,25.2,25.2,25.2,0.0,0.0,25.2,25.2,25.2,0.0,0.0,25.2,25.2,25.2,0.0,0.0
2016-01-10,24.16,24.16,24.16,0.0,0.0,24.25,24.25,24.25,0.0,0.0,24.16,24.16,24.16,0.0,0.0,24.25,24.25,24.25,0.0,0.0
2016-01-17,24.58,24.58,24.58,0.0,0.0,24.58,24.58,24.58,0.0,0.0,24.32,24.32,24.32,0.0,0.0,24.32,24.32,24.32,0.0,0.0
2016-01-24,24.85,24.85,24.85,0.0,0.0,24.85,24.85,24.85,0.0,0.0,24.85,24.85,24.85,0.0,0.0,24.85,24.85,24.85,0.0,0.0
2016-01-31,24.4,24.4,24.4,0.0,0.0,24.4,24.4,24.4,0.0,0.0,24.4,24.4,24.4,0.0,0.0,24.4,24.4,24.4,0.0,0.0
2016-02-07,23.65,23.65,23.65,0.0,0.0,23.82,23.82,23.82,0.0,0.0,23.65,23.65,23.65,0.0,0.0,23.82,23.82,23.82,0.0,0.0
2016-02-14,24.77,24.77,24.77,0.0,0.0,24.77,24.77,24.77,0.0,0.0,24.77,24.77,24.77,0.0,0.0,24.77,24.77,24.77,0.0,0.0
2016-02-21,25.08,25.08,25.08,0.0,0.0,25.27,25.27,25.27,0.0,0.0,25.07,25.07,25.07,0.0,0.0,25.27,25.27,25.27,0.0,0.0
2016-02-28,25.56,25.56,25.56,0.0,0.0,25.71,25.71,25.71,0.0,0.0,25.55,25.55,25.55,0.0,0.0,25.55,25.55,25.55,0.0,0.0
2016-03-06,25.64,25.64,25.64,0.0,0.0,25.74,25.74,25.74,0.0,0.0,25.64,25.64,25.64,0.0,0.0,25.74,25.74,25.74,0.0,0.0
2016-03-13,25.99,25.99,25.99,0.0,0.0,25.99,25.99,25.99,0.0,0.0,25.97,25.97,25.97,0.0,0.0,25.97,25.97,25.97,0.0,0.0
2016-03-20,26.09,26.09,26.09,0.0,0.0,26.11,26.11,26.11,0.0,0.0,25.98,25.98,25.98,0.0,0.0,25.98,25.98,25.98,0.0,0.0
2016-03-27,26.08,26.08,26.08,0.0,0.0,26.08,26.08,26.08,0.0,0.0,26.07,26.07,26.07,0.0,0.0,26.07,26.07,26.07,0.0,0.0
2016-04-03,25.93,25.93,25.93,0.0,0.0,26.03,26.03,26.03,0.0,0.0,25.93,25.93,25.93,0.0,0.0,26.03,26.03,26.03,0.0,0.0
2016-04-10,26.45,26.45,26.45,0.0,0.0,26.45,26.45,26.45,0.0,0.0,26.45,26.45,26.45,0.0,0.0,26.45,26.45,26.45,0.0,0.0
2016-04-17,26.36,26.36,26.36,0.0,0.0,26.52,26.52,26.52,0.0,0.0,26.35,26.35,26.35,0.0,0.0,26.38,26.38,26.38,0.0,0.0
2016-04-24,26.1,26.1,26.1,0.0,0.0,26.15,26.15,26.15,0.0,0.0,26.1,26.1,26.1,0.0,0.0,26.14,26.14,26.14,0.0,0.0
2016-05-01,26.05,26.05,26.05,0.0,0.0,26.05,26.05,26.05,0.0,0.0,26.05,26.05,26.05,0.0,0.0,26.05,26.05,26.05,0.0,0.0
