Date,PGNXStock_Open_average,PGNXStock_Open_max,PGNXStock_Open_min,PGNXStock_Open_volatility,PGNXStock_Open_change,PGNXStock_High_average,PGNXStock_High_max,PGNXStock_High_min,PGNXStock_High_volatility,PGNXStock_High_change,PGNXStock_Low_average,PGNXStock_Low_max,PGNXStock_Low_min,PGNXStock_Low_volatility,PGNXStock_Low_change,PGNXStock_Close_average,PGNXStock_Close_max,PGNXStock_Close_min,PGNXStock_Close_volatility,PGNXStock_Close_change,PGNXStock_Volume_average,PGNXStock_Volume_max,PGNXStock_Volume_min,PGNXStock_Volume_volatility,PGNXStock_Volume_change
2016-01-03,5.632,6.0,5.19,0.8099999999999996,-0.8099999999999996,5.754,6.13,5.31,0.8200000000000003,-0.8200000000000003,5.376,5.75,4.9,0.8499999999999996,-0.8499999999999996,5.4559999999999995,5.81,4.94,0.8699999999999992,-0.8699999999999992,918719,1374851,572021,802830,446418
2016-01-10,4.598,4.95,4.2,0.75,-0.75,4.808,5.33,4.34,0.9900000000000002,-0.9900000000000002,4.274,4.49,4.07,0.41999999999999993,-0.40000000000000036,4.498,4.75,4.29,0.45999999999999996,-0.33000000000000007,1140335,1476707,874550,602157,-423688
2016-01-17,4.1125,4.3,3.95,0.34999999999999964,-0.22999999999999954,4.32,4.43,4.24,0.1899999999999995,-0.09999999999999964,3.8925,3.98,3.74,0.23999999999999977,0.06000000000000005,4.1125,4.32,3.95,0.3700000000000001,0.28000000000000025,1168255,1551951,747483,804468,-342885
2016-01-24,4.212,4.35,4.0,0.34999999999999964,-0.2699999999999996,4.354,4.48,4.2,0.28000000000000025,-0.28000000000000025,4.046,4.16,3.93,0.22999999999999998,-0.20000000000000018,4.178,4.36,4.0,0.3600000000000003,-0.040000000000000036,890932,1187722,730923,456799,-363994
2016-01-31,4.218,4.25,4.15,0.09999999999999964,0.08999999999999986,4.38,4.57,4.3,0.27000000000000046,0.040000000000000036,4.108,4.2,4.04,0.16000000000000014,0.08000000000000007,4.256,4.29,4.21,0.08000000000000007,-0.05999999999999961,1000236,1234887,650310,584577,412620
2016-02-07,3.99,4.13,3.85,0.2799999999999998,0.019999999999999574,4.156,4.35,4.02,0.33000000000000007,-0.07000000000000028,3.816,3.91,3.61,0.30000000000000027,0.0900000000000003,3.988,4.07,3.85,0.2200000000000002,0.05999999999999961,1063994,1392858,808491,584367,101400
2016-02-14,4.625,4.91,4.1,0.8100000000000005,0.6100000000000003,4.87,4.95,4.76,0.1900000000000004,0.08000000000000007,4.505,4.68,4.1,0.5800000000000001,0.4800000000000004,4.775,4.88,4.73,0.14999999999999947,-0.009999999999999787,949597,1156438,579939,576499,-466594
2016-02-21,4.59,4.83,4.4,0.4299999999999997,-0.25,4.713333333333333,4.87,4.58,0.29000000000000004,-0.29000000000000004,4.446666666666666,4.64,4.29,0.34999999999999964,-0.05999999999999961,4.5633333333333335,4.71,4.37,0.33999999999999986,-0.1299999999999999,628987,934801,0,934801,-758599
2016-02-28,4.588,4.75,4.45,0.2999999999999998,0.08000000000000007,4.766,4.97,4.53,0.4399999999999995,0.15000000000000036,4.458,4.67,4.26,0.41000000000000014,0.20999999999999996,4.606,4.74,4.41,0.33000000000000007,0.2599999999999998,944813,1004729,866413,138316,9215
2016-03-06,4.672,4.87,4.55,0.3200000000000003,-0.10000000000000053,4.8,4.93,4.62,0.3099999999999996,-0.3099999999999996,4.4639999999999995,4.67,4.22,0.4500000000000002,-0.33999999999999986,4.632000000000001,4.9,4.44,0.45999999999999996,-0.3100000000000005,850614,988247,701476,286771,54167
2016-03-13,4.366,4.76,4.09,0.6699999999999999,-0.4800000000000004,4.474,4.92,4.15,0.7699999999999996,-0.75,4.112,4.53,3.8,0.7300000000000004,-0.6500000000000004,4.304,4.84,4.05,0.79,-0.7199999999999998,1371001,2106710,902355,1204355,1196216
