Date,EGHT_stock_Open_average,EGHT_stock_Open_max,EGHT_stock_Open_min,EGHT_stock_Open_volatility,EGHT_stock_Open_change,EGHT_stock_High_average,EGHT_stock_High_max,EGHT_stock_High_min,EGHT_stock_High_volatility,EGHT_stock_High_change,EGHT_stock_Low_average,EGHT_stock_Low_max,EGHT_stock_Low_min,EGHT_stock_Low_volatility,EGHT_stock_Low_change,EGHT_stock_Close_average,EGHT_stock_Close_max,EGHT_stock_Close_min,EGHT_stock_Close_volatility,EGHT_stock_Close_change,EGHT_stock_Volume_average,EGHT_stock_Volume_max,EGHT_stock_Volume_min,EGHT_stock_Volume_volatility,EGHT_stock_Volume_change
2016-01-03,10.876,11.17,10.55,0.6199999999999992,-0.6199999999999992,11.102,11.28,10.8,0.47999999999999865,-0.47999999999999865,10.672,10.96,10.42,0.5400000000000009,-0.33999999999999986,10.798,11.19,10.43,0.7599999999999998,-0.3800000000000008,693942,1356825,441249,915576,-915576
2016-01-10,10.74,11.1,10.5,0.5999999999999996,0.33000000000000007,11.074,11.41,10.57,0.8399999999999999,0.4299999999999997,10.468,10.7,10.22,0.47999999999999865,0.3899999999999988,10.844,11.15,10.33,0.8200000000000003,0.6099999999999994,779460,944963,401691,543272,426797
2016-01-17,11.344999999999999,12.65,10.69,1.9600000000000009,1.6100000000000012,11.775,13.65,11.04,2.610000000000001,2.610000000000001,10.9425,11.91,10.32,1.5899999999999999,1.17,11.385,12.5,10.86,1.6400000000000006,1.6400000000000006,2213321,6297090,714565,5582525,5582525
2016-01-24,12.598,12.81,12.15,0.6600000000000001,-0.35999999999999943,12.896,13.09,12.61,0.4800000000000004,-0.23000000000000043,12.334,12.76,11.98,0.7799999999999994,-0.2599999999999998,12.562,12.91,12.06,0.8499999999999996,-0.1899999999999995,1106568,1481847,843813,638034,-488710
2016-01-31,12.518,12.6,12.46,0.1399999999999988,-0.06999999999999851,12.674,12.78,12.47,0.3099999999999987,-0.3099999999999987,12.088000000000001,12.3,11.56,0.7400000000000002,-0.7400000000000002,12.338,12.68,11.62,1.0600000000000005,-1.0600000000000005,761158,1027544,573777,453767,453767
2016-02-07,10.682,11.27,10.08,1.1899999999999995,-0.34999999999999964,11.018,11.49,10.81,0.6799999999999997,-0.4900000000000002,10.144,10.39,9.79,0.6000000000000014,-0.20000000000000107,10.636000000000001,10.86,10.3,0.5599999999999987,0.009999999999999787,1113651,1426742,612960,813782,-101575
2016-02-14,10.8775,10.98,10.69,0.2900000000000009,-0.23000000000000043,11.14,11.31,11.02,0.2900000000000009,0.21000000000000085,10.7525,10.83,10.68,0.15000000000000036,-0.120000000000001,10.879999999999999,11.04,10.7,0.33999999999999986,0.20999999999999908,749658,782021,671382,110639,-99316
2016-02-21,11.171666666666667,11.51,10.79,0.7200000000000006,0.41000000000000014,11.383333333333333,11.74,11.09,0.6500000000000004,0.16999999999999993,11.03,11.51,10.7,0.8100000000000005,0.5099999999999998,11.248333333333333,11.54,10.88,0.6599999999999984,0.4499999999999993,632506,749228,476343,272885,122694
2016-02-28,11.632,11.89,11.43,0.46000000000000085,-0.10999999999999943,11.788,12.01,11.44,0.5700000000000003,-0.39000000000000057,11.354000000000001,11.56,11.06,0.5,-0.4299999999999997,11.572000000000001,11.88,11.28,0.6000000000000014,-0.3500000000000014,551130,686646,436476,250170,70007
2016-03-06,10.906,11.26,10.32,0.9399999999999995,-0.9399999999999995,11.076,11.5,10.56,0.9399999999999995,-0.9399999999999995,10.568,11.07,10.13,0.9399999999999995,-0.8300000000000001,10.735999999999999,11.18,10.29,0.8900000000000006,-0.6899999999999995,621806,762541,468864,293677,65090
2016-03-13,10.03,10.48,9.33,1.1500000000000004,-1.1500000000000004,10.145999999999999,10.65,9.61,1.040000000000001,-1.040000000000001,9.674,10.2,9.01,1.1899999999999995,-1.1899999999999995,9.862,10.48,9.3,1.1799999999999997,-0.9000000000000004,967602,1748423,544691,1203732,1091089
2016-03-20,9.3975,9.53,9.24,0.28999999999999915,-0.14999999999999858,9.5925,9.71,9.44,0.27000000000000135,0.02000000000000135,9.23,9.41,9.03,0.3800000000000008,-0.1999999999999993,9.4125,9.52,9.29,0.23000000000000043,-0.049999999999998934,740807,1178582,432033,746549,61026
2016-03-27,9.73,10.11,9.3,0.8099999999999987,0.5,10.028,10.37,9.57,0.7999999999999989,0.7999999999999989,9.6,9.9,9.18,0.7200000000000006,0.6600000000000001,9.888,10.19,9.35,0.8399999999999999,0.8399999999999999,730010,992773,418529,574244,379250
