Date,WisdomTree Europe Hedged EquityEtf_Open_average,WisdomTree Europe Hedged EquityEtf_Open_max,WisdomTree Europe Hedged EquityEtf_Open_min,WisdomTree Europe Hedged EquityEtf_Open_volatility,WisdomTree Europe Hedged EquityEtf_Open_change,WisdomTree Europe Hedged EquityEtf_High_average,WisdomTree Europe Hedged EquityEtf_High_max,WisdomTree Europe Hedged EquityEtf_High_min,WisdomTree Europe Hedged EquityEtf_High_volatility,WisdomTree Europe Hedged EquityEtf_High_change,WisdomTree Europe Hedged EquityEtf_Low_average,WisdomTree Europe Hedged EquityEtf_Low_max,WisdomTree Europe Hedged EquityEtf_Low_min,WisdomTree Europe Hedged EquityEtf_Low_volatility,WisdomTree Europe Hedged EquityEtf_Low_change,WisdomTree Europe Hedged EquityEtf_Close_average,WisdomTree Europe Hedged EquityEtf_Close_max,WisdomTree Europe Hedged EquityEtf_Close_min,WisdomTree Europe Hedged EquityEtf_Close_volatility,WisdomTree Europe Hedged EquityEtf_Close_change
2016-01-03,51.07,51.07,51.07,0.0,0.0,51.23,51.23,51.23,0.0,0.0,49.85,49.85,49.85,0.0,0.0,49.98,49.98,49.98,0.0,0.0
2016-01-10,48.63,48.63,48.63,0.0,0.0,49.17,49.17,49.17,0.0,0.0,48.24,48.24,48.24,0.0,0.0,48.74,48.74,48.74,0.0,0.0
2016-01-17,50.82,50.82,50.82,0.0,0.0,51.08,51.08,51.08,0.0,0.0,50.56,50.56,50.56,0.0,0.0,51.01,51.01,51.01,0.0,0.0
2016-01-24,51.06,51.06,51.06,0.0,0.0,52.02,52.02,52.02,0.0,0.0,51.06,51.06,51.06,0.0,0.0,51.99,51.99,51.99,0.0,0.0
2016-01-31,49.97,49.97,49.97,0.0,0.0,50.03,50.03,50.03,0.0,0.0,49.21,49.21,49.21,0.0,0.0,49.35,49.35,49.35,0.0,0.0
2016-02-07,46.83,46.83,46.83,0.0,0.0,47.15,47.15,47.15,0.0,0.0,46.42,46.42,46.42,0.0,0.0,47.14,47.14,47.14,0.0,0.0
2016-02-14,49.26,49.26,49.26,0.0,0.0,49.41,49.41,49.41,0.0,0.0,48.92,48.92,48.92,0.0,0.0,49.32,49.32,49.32,0.0,0.0
2016-02-21,50.2,50.2,50.2,0.0,0.0,50.37,50.37,50.37,0.0,0.0,49.88,49.88,49.88,0.0,0.0,49.94,49.94,49.94,0.0,0.0
2016-02-28,51.97,51.97,51.97,0.0,0.0,52.09,52.09,52.09,0.0,0.0,51.56,51.56,51.56,0.0,0.0,51.81,51.81,51.81,0.0,0.0
2016-03-06,52.21,52.21,52.21,0.0,0.0,52.5,52.5,52.5,0.0,0.0,51.96,51.96,51.96,0.0,0.0,52.5,52.5,52.5,0.0,0.0
