Date,ProShares UltraShort Russell2000Etf_Open_average,ProShares UltraShort Russell2000Etf_Open_max,ProShares UltraShort Russell2000Etf_Open_min,ProShares UltraShort Russell2000Etf_Open_volatility,ProShares UltraShort Russell2000Etf_Open_change,ProShares UltraShort Russell2000Etf_High_average,ProShares UltraShort Russell2000Etf_High_max,ProShares UltraShort Russell2000Etf_High_min,ProShares UltraShort Russell2000Etf_High_volatility,ProShares UltraShort Russell2000Etf_High_change,ProShares UltraShort Russell2000Etf_Low_average,ProShares UltraShort Russell2000Etf_Low_max,ProShares UltraShort Russell2000Etf_Low_min,ProShares UltraShort Russell2000Etf_Low_volatility,ProShares UltraShort Russell2000Etf_Low_change,ProShares UltraShort Russell2000Etf_Close_average,ProShares UltraShort Russell2000Etf_Close_max,ProShares UltraShort Russell2000Etf_Close_min,ProShares UltraShort Russell2000Etf_Close_volatility,ProShares UltraShort Russell2000Etf_Close_change
2016-01-03,44.24,44.24,44.24,0.0,0.0,46.1,46.1,46.1,0.0,0.0,43.76,43.76,43.76,0.0,0.0,46.0,46.0,46.0,0.0,0.0
2016-01-10,50.18,50.18,50.18,0.0,0.0,51.64,51.64,51.64,0.0,0.0,49.06,49.06,49.06,0.0,0.0,49.27,49.27,49.27,0.0,0.0
2016-01-17,48.6,48.6,48.6,0.0,0.0,49.13,49.13,49.13,0.0,0.0,47.64,47.64,47.64,0.0,0.0,47.84,47.84,47.84,0.0,0.0
2016-01-24,48.98,48.98,48.98,0.0,0.0,49.03,49.03,49.03,0.0,0.0,46.03,46.03,46.03,0.0,0.0,46.08,46.08,46.08,0.0,0.0
2016-01-31,48.43,48.43,48.43,0.0,0.0,50.71,50.71,50.71,0.0,0.0,48.36,48.36,48.36,0.0,0.0,50.68,50.68,50.68,0.0,0.0
2016-02-07,53.09,53.09,53.09,0.0,0.0,53.59,53.59,53.59,0.0,0.0,51.84,51.84,51.84,0.0,0.0,52.05,52.05,52.05,0.0,0.0
2016-02-14,48.85,48.85,48.85,0.0,0.0,49.25,49.25,49.25,0.0,0.0,47.86,47.86,47.86,0.0,0.0,48.0,48.0,48.0,0.0,0.0
2016-02-21,45.47,45.47,45.47,0.0,0.0,45.8,45.8,45.8,0.0,0.0,45.14,45.14,45.14,0.0,0.0,45.38,45.38,45.38,0.0,0.0
2016-02-28,42.08,42.08,42.08,0.0,0.0,42.36,42.36,42.36,0.0,0.0,41.08,41.08,41.08,0.0,0.0,41.6,41.6,41.6,0.0,0.0
2016-03-06,42.13,42.13,42.13,0.0,0.0,42.24,42.24,42.24,0.0,0.0,40.91,40.91,40.91,0.0,0.0,41.03,41.03,41.03,0.0,0.0
2016-03-13,40.5,40.5,40.5,0.0,0.0,40.54,40.54,40.54,0.0,0.0,39.62,39.62,39.62,0.0,0.0,39.8,39.8,39.8,0.0,0.0
2016-03-20,42.12,42.12,42.12,0.0,0.0,42.51,42.51,42.51,0.0,0.0,41.35,41.35,41.35,0.0,0.0,41.35,41.35,41.35,0.0,0.0
2016-03-27,39.42,39.42,39.42,0.0,0.0,39.53,39.53,39.53,0.0,0.0,38.35,38.35,38.35,0.0,0.0,38.43,38.43,38.43,0.0,0.0
2016-04-03,39.41,39.41,39.41,0.0,0.0,40.1,40.1,40.1,0.0,0.0,39.05,39.05,39.05,0.0,0.0,39.76,39.76,39.76,0.0,0.0
2016-04-10,37.68,37.68,37.68,0.0,0.0,37.75,37.75,37.75,0.0,0.0,37.24,37.24,37.24,0.0,0.0,37.32,37.32,37.32,0.0,0.0
2016-04-17,36.98,36.98,36.98,0.0,0.0,36.98,36.98,36.98,0.0,0.0,36.2,36.2,36.2,0.0,0.0,36.25,36.25,36.25,0.0,0.0
