Date,FlexShares Credit-Scored US Long Corporate BondEtf_Open_average,FlexShares Credit-Scored US Long Corporate BondEtf_Open_max,FlexShares Credit-Scored US Long Corporate BondEtf_Open_min,FlexShares Credit-Scored US Long Corporate BondEtf_Open_volatility,FlexShares Credit-Scored US Long Corporate BondEtf_Open_change,FlexShares Credit-Scored US Long Corporate BondEtf_High_average,FlexShares Credit-Scored US Long Corporate BondEtf_High_max,FlexShares Credit-Scored US Long Corporate BondEtf_High_min,FlexShares Credit-Scored US Long Corporate BondEtf_High_volatility,FlexShares Credit-Scored US Long Corporate BondEtf_High_change,FlexShares Credit-Scored US Long Corporate BondEtf_Low_average,FlexShares Credit-Scored US Long Corporate BondEtf_Low_max,FlexShares Credit-Scored US Long Corporate BondEtf_Low_min,FlexShares Credit-Scored US Long Corporate BondEtf_Low_volatility,FlexShares Credit-Scored US Long Corporate BondEtf_Low_change,FlexShares Credit-Scored US Long Corporate BondEtf_Close_average,FlexShares Credit-Scored US Long Corporate BondEtf_Close_max,FlexShares Credit-Scored US Long Corporate BondEtf_Close_min,FlexShares Credit-Scored US Long Corporate BondEtf_Close_volatility,FlexShares Credit-Scored US Long Corporate BondEtf_Close_change
2016-01-03,49.44,49.44,49.44,0.0,0.0,49.52,49.52,49.52,0.0,0.0,49.42,49.42,49.42,0.0,0.0,49.42,49.42,49.42,0.0,0.0
2016-01-10,49.26,49.26,49.26,0.0,0.0,49.46,49.46,49.46,0.0,0.0,49.26,49.26,49.26,0.0,0.0,49.46,49.46,49.46,0.0,0.0
2016-01-17,49.26,49.26,49.26,0.0,0.0,49.32,49.32,49.32,0.0,0.0,49.21,49.21,49.21,0.0,0.0,49.32,49.32,49.32,0.0,0.0
2016-01-24,49.01,49.01,49.01,0.0,0.0,49.07,49.07,49.07,0.0,0.0,49.01,49.01,49.01,0.0,0.0,49.07,49.07,49.07,0.0,0.0
2016-01-31,48.67,48.67,48.67,0.0,0.0,48.84,48.84,48.84,0.0,0.0,48.67,48.67,48.67,0.0,0.0,48.84,48.84,48.84,0.0,0.0
2016-02-07,48.55,48.55,48.55,0.0,0.0,48.62,48.62,48.62,0.0,0.0,48.55,48.55,48.55,0.0,0.0,48.62,48.62,48.62,0.0,0.0
2016-02-14,48.94,48.94,48.94,0.0,0.0,48.95,48.95,48.95,0.0,0.0,48.85,48.85,48.85,0.0,0.0,48.95,48.95,48.95,0.0,0.0
2016-02-21,48.91,48.91,48.91,0.0,0.0,49.27,49.27,49.27,0.0,0.0,48.91,48.91,48.91,0.0,0.0,49.27,49.27,49.27,0.0,0.0
2016-02-28,49.45,49.45,49.45,0.0,0.0,49.56,49.56,49.56,0.0,0.0,49.45,49.45,49.45,0.0,0.0,49.56,49.56,49.56,0.0,0.0
2016-03-06,50.38,50.38,50.38,0.0,0.0,50.42,50.42,50.42,0.0,0.0,50.38,50.38,50.38,0.0,0.0,50.42,50.42,50.42,0.0,0.0
2016-03-13,51.53,51.53,51.53,0.0,0.0,51.54,51.54,51.54,0.0,0.0,51.53,51.53,51.53,0.0,0.0,51.54,51.54,51.54,0.0,0.0
2016-03-20,52.25,52.25,52.25,0.0,0.0,52.25,52.25,52.25,0.0,0.0,51.86,51.86,51.86,0.0,0.0,51.86,51.86,51.86,0.0,0.0
2016-03-27,52.15,52.15,52.15,0.0,0.0,52.15,52.15,52.15,0.0,0.0,52.15,52.15,52.15,0.0,0.0,52.15,52.15,52.15,0.0,0.0
2016-04-03,52.87,52.87,52.87,0.0,0.0,53.01,53.01,53.01,0.0,0.0,52.85,52.85,52.85,0.0,0.0,53.01,53.01,53.01,0.0,0.0
2016-04-10,53.79,53.79,53.79,0.0,0.0,53.79,53.79,53.79,0.0,0.0,53.79,53.79,53.79,0.0,0.0,53.79,53.79,53.79,0.0,0.0
2016-04-17,53.04,53.04,53.04,0.0,0.0,53.13,53.13,53.13,0.0,0.0,53.04,53.04,53.04,0.0,0.0,53.13,53.13,53.13,0.0,0.0
2016-04-24,53.32,53.32,53.32,0.0,0.0,53.32,53.32,53.32,0.0,0.0,53.32,53.32,53.32,0.0,0.0,53.32,53.32,53.32,0.0,0.0
2016-05-01,53.4,53.4,53.4,0.0,0.0,53.52,53.52,53.52,0.0,0.0,53.36,53.36,53.36,0.0,0.0,53.52,53.52,53.52,0.0,0.0
2016-05-08,53.31,53.31,53.31,0.0,0.0,53.31,53.31,53.31,0.0,0.0,53.31,53.31,53.31,0.0,0.0,53.31,53.31,53.31,0.0,0.0
2016-05-15,52.61,52.61,52.61,0.0,0.0,52.66,52.66,52.66,0.0,0.0,52.51,52.51,52.51,0.0,0.0,52.66,52.66,52.66,0.0,0.0
2016-05-22,53.11,53.11,53.11,0.0,0.0,53.11,53.11,53.11,0.0,0.0,53.11,53.11,53.11,0.0,0.0,53.11,53.11,53.11,0.0,0.0
2016-05-29,53.81,53.81,53.81,0.0,0.0,53.81,53.81,53.81,0.0,0.0,53.81,53.81,53.81,0.0,0.0,53.81,53.81,53.81,0.0,0.0
2016-06-05,54.3,54.3,54.3,0.0,0.0,54.32,54.32,54.32,0.0,0.0,54.19,54.19,54.19,0.0,0.0,54.27,54.27,54.27,0.0,0.0
2016-06-12,54.39,54.39,54.39,0.0,0.0,54.48,54.48,54.48,0.0,0.0,54.13,54.13,54.13,0.0,0.0,54.13,54.13,54.13,0.0,0.0
2016-06-19,54.47,54.47,54.47,0.0,0.0,54.47,54.47,54.47,0.0,0.0,53.96,53.96,53.96,0.0,0.0,53.96,53.96,53.96,0.0,0.0
2016-06-26,55.25,55.25,55.25,0.0,0.0,55.25,55.25,55.25,0.0,0.0,55.25,55.25,55.25,0.0,0.0,55.25,55.25,55.25,0.0,0.0
2016-07-03,56.23,56.23,56.23,0.0,0.0,56.23,56.23,56.23,0.0,0.0,56.23,56.23,56.23,0.0,0.0,56.23,56.23,56.23,0.0,0.0
2016-07-10,55.79,55.79,55.79,0.0,0.0,55.79,55.79,55.79,0.0,0.0,55.61,55.61,55.61,0.0,0.0,55.61,55.61,55.61,0.0,0.0
2016-07-17,55.67,55.67,55.67,0.0,0.0,56.0,56.0,56.0,0.0,0.0,55.67,55.67,55.67,0.0,0.0,56.0,56.0,56.0,0.0,0.0
2016-07-24,55.98,55.98,55.98,0.0,0.0,56.31,56.31,56.31,0.0,0.0,55.98,55.98,55.98,0.0,0.0,56.28,56.28,56.28,0.0,0.0
2016-07-31,55.48,55.48,55.48,0.0,0.0,55.48,55.48,55.48,0.0,0.0,55.48,55.48,55.48,0.0,0.0,55.48,55.48,55.48,0.0,0.0
2016-08-07,55.61,55.61,55.61,0.0,0.0,55.91,55.91,55.91,0.0,0.0,55.61,55.61,55.61,0.0,0.0,55.91,55.91,55.91,0.0,0.0
2016-08-14,55.9,55.9,55.9,0.0,0.0,56.09,56.09,56.09,0.0,0.0,55.89,55.89,55.89,0.0,0.0,56.03,56.03,56.03,0.0,0.0
2016-08-21,56.46,56.46,56.46,0.0,0.0,56.46,56.46,56.46,0.0,0.0,56.07,56.07,56.07,0.0,0.0,56.07,56.07,56.07,0.0,0.0
2016-08-28,55.88,55.88,55.88,0.0,0.0,55.88,55.88,55.88,0.0,0.0,55.88,55.88,55.88,0.0,0.0,55.88,55.88,55.88,0.0,0.0
2016-09-04,54.96,54.96,54.96,0.0,0.0,55.0,55.0,55.0,0.0,0.0,54.81,54.81,54.81,0.0,0.0,54.96,54.96,54.96,0.0,0.0
2016-09-11,54.21,54.21,54.21,0.0,0.0,54.38,54.38,54.38,0.0,0.0,54.21,54.21,54.21,0.0,0.0,54.38,54.38,54.38,0.0,0.0
2016-09-18,55.54,55.54,55.54,0.0,0.0,55.54,55.54,55.54,0.0,0.0,55.53,55.53,55.53,0.0,0.0,55.53,55.53,55.53,0.0,0.0
2016-09-25,55.86,55.86,55.86,0.0,0.0,56.2,56.2,56.2,0.0,0.0,55.86,55.86,55.86,0.0,0.0,56.2,56.2,56.2,0.0,0.0
2016-10-02,55.19,55.19,55.19,0.0,0.0,55.35,55.35,55.35,0.0,0.0,55.19,55.19,55.19,0.0,0.0,55.35,55.35,55.35,0.0,0.0
2016-10-09,55.38,55.38,55.38,0.0,0.0,55.39,55.39,55.39,0.0,0.0,55.05,55.05,55.05,0.0,0.0,55.05,55.05,55.05,0.0,0.0
2016-10-16,55.73,55.73,55.73,0.0,0.0,55.73,55.73,55.73,0.0,0.0,55.65,55.65,55.65,0.0,0.0,55.65,55.65,55.65,0.0,0.0
2016-10-23,54.53,54.53,54.53,0.0,0.0,54.53,54.53,54.53,0.0,0.0,54.53,54.53,54.53,0.0,0.0,54.53,54.53,54.53,0.0,0.0
2016-10-30,54.55,54.55,54.55,0.0,0.0,54.55,54.55,54.55,0.0,0.0,54.48,54.48,54.48,0.0,0.0,54.48,54.48,54.48,0.0,0.0
2016-11-06,52.88,52.88,52.88,0.0,0.0,52.88,52.88,52.88,0.0,0.0,52.88,52.88,52.88,0.0,0.0,52.88,52.88,52.88,0.0,0.0
2016-11-13,52.64,52.64,52.64,0.0,0.0,52.64,52.64,52.64,0.0,0.0,52.17,52.17,52.17,0.0,0.0,52.17,52.17,52.17,0.0,0.0
2016-11-20,51.74,51.74,51.74,0.0,0.0,51.74,51.74,51.74,0.0,0.0,51.74,51.74,51.74,0.0,0.0,51.74,51.74,51.74,0.0,0.0
2016-11-27,51.47,51.47,51.47,0.0,0.0,51.47,51.47,51.47,0.0,0.0,51.33,51.33,51.33,0.0,0.0,51.33,51.33,51.33,0.0,0.0
2016-12-04,51.11,51.11,51.11,0.0,0.0,51.11,51.11,51.11,0.0,0.0,50.85,50.85,50.85,0.0,0.0,50.85,50.85,50.85,0.0,0.0
2016-12-11,51.26,51.26,51.26,0.0,0.0,51.75,51.75,51.75,0.0,0.0,51.14,51.14,51.14,0.0,0.0,51.75,51.75,51.75,0.0,0.0
2016-12-18,50.94,50.94,50.94,0.0,0.0,50.94,50.94,50.94,0.0,0.0,50.32,50.32,50.32,0.0,0.0,50.32,50.32,50.32,0.0,0.0
2016-12-25,49.91,49.91,49.91,0.0,0.0,50.11,50.11,50.11,0.0,0.0,49.9,49.9,49.9,0.0,0.0,50.04,50.04,50.04,0.0,0.0
2017-01-01,51.46,51.46,51.46,0.0,0.0,51.46,51.46,51.46,0.0,0.0,51.46,51.46,51.46,0.0,0.0,51.46,51.46,51.46,0.0,0.0
2017-01-08,51.0,51.0,51.0,0.0,0.0,51.31,51.31,51.31,0.0,0.0,51.0,51.0,51.0,0.0,0.0,51.31,51.31,51.31,0.0,0.0
2017-01-15,49.9,49.9,49.9,0.0,0.0,50.8,50.8,50.8,0.0,0.0,49.9,49.9,49.9,0.0,0.0,50.8,50.8,50.8,0.0,0.0
2017-01-22,50.51,50.51,50.51,0.0,0.0,50.51,50.51,50.51,0.0,0.0,50.51,50.51,50.51,0.0,0.0,50.51,50.51,50.51,0.0,0.0
2017-01-29,50.43,50.43,50.43,0.0,0.0,50.43,50.43,50.43,0.0,0.0,50.13,50.13,50.13,0.0,0.0,50.23,50.23,50.23,0.0,0.0
2017-02-05,49.93,49.93,49.93,0.0,0.0,50.25,50.25,50.25,0.0,0.0,49.93,49.93,49.93,0.0,0.0,50.14,50.14,50.14,0.0,0.0
2017-02-12,50.34,50.34,50.34,0.0,0.0,50.34,50.34,50.34,0.0,0.0,50.33,50.33,50.33,0.0,0.0,50.33,50.33,50.33,0.0,0.0
2017-02-19,50.41,50.41,50.41,0.0,0.0,50.58,50.58,50.58,0.0,0.0,50.41,50.41,50.41,0.0,0.0,50.57,50.57,50.57,0.0,0.0
2017-02-26,49.99,49.99,49.99,0.0,0.0,50.1,50.1,50.1,0.0,0.0,49.99,49.99,49.99,0.0,0.0,50.06,50.06,50.06,0.0,0.0
2017-03-05,49.1,49.1,49.1,0.0,0.0,49.11,49.11,49.11,0.0,0.0,48.83,48.83,48.83,0.0,0.0,48.99,48.99,48.99,0.0,0.0
