Date,iShares Short Treasury BondEtf_Open_average,iShares Short Treasury BondEtf_Open_max,iShares Short Treasury BondEtf_Open_min,iShares Short Treasury BondEtf_Open_volatility,iShares Short Treasury BondEtf_Open_change,iShares Short Treasury BondEtf_High_average,iShares Short Treasury BondEtf_High_max,iShares Short Treasury BondEtf_High_min,iShares Short Treasury BondEtf_High_volatility,iShares Short Treasury BondEtf_High_change,iShares Short Treasury BondEtf_Low_average,iShares Short Treasury BondEtf_Low_max,iShares Short Treasury BondEtf_Low_min,iShares Short Treasury BondEtf_Low_volatility,iShares Short Treasury BondEtf_Low_change,iShares Short Treasury BondEtf_Close_average,iShares Short Treasury BondEtf_Close_max,iShares Short Treasury BondEtf_Close_min,iShares Short Treasury BondEtf_Close_volatility,iShares Short Treasury BondEtf_Close_change
2016-01-03,110.22,110.22,110.22,0.0,0.0,110.25,110.25,110.25,0.0,0.0,110.22,110.22,110.22,0.0,0.0,110.23,110.23,110.23,0.0,0.0
2016-01-10,110.25,110.25,110.25,0.0,0.0,110.27,110.27,110.27,0.0,0.0,110.25,110.25,110.25,0.0,0.0,110.26,110.26,110.26,0.0,0.0
2016-01-17,110.31,110.31,110.31,0.0,0.0,110.31,110.31,110.31,0.0,0.0,110.28,110.28,110.28,0.0,0.0,110.29,110.29,110.29,0.0,0.0
2016-01-24,110.28,110.28,110.28,0.0,0.0,110.3,110.3,110.3,0.0,0.0,110.28,110.28,110.28,0.0,0.0,110.3,110.3,110.3,0.0,0.0
2016-01-31,110.31,110.31,110.31,0.0,0.0,110.31,110.31,110.31,0.0,0.0,110.28,110.28,110.28,0.0,0.0,110.29,110.29,110.29,0.0,0.0
2016-02-07,110.31,110.31,110.31,0.0,0.0,110.34,110.34,110.34,0.0,0.0,110.3,110.3,110.3,0.0,0.0,110.32,110.32,110.32,0.0,0.0
2016-02-14,110.32,110.32,110.32,0.0,0.0,110.33,110.33,110.33,0.0,0.0,110.32,110.32,110.32,0.0,0.0,110.32,110.32,110.32,0.0,0.0
2016-02-21,110.32,110.32,110.32,0.0,0.0,110.32,110.32,110.32,0.0,0.0,110.31,110.31,110.31,0.0,0.0,110.31,110.31,110.31,0.0,0.0
2016-02-28,110.31,110.31,110.31,0.0,0.0,110.31,110.31,110.31,0.0,0.0,110.29,110.29,110.29,0.0,0.0,110.29,110.29,110.29,0.0,0.0
2016-03-06,110.31,110.31,110.31,0.0,0.0,110.32,110.32,110.32,0.0,0.0,110.29,110.29,110.29,0.0,0.0,110.3,110.3,110.3,0.0,0.0
