Date,iShares MBSEtf_Open_average,iShares MBSEtf_Open_max,iShares MBSEtf_Open_min,iShares MBSEtf_Open_volatility,iShares MBSEtf_Open_change,iShares MBSEtf_High_average,iShares MBSEtf_High_max,iShares MBSEtf_High_min,iShares MBSEtf_High_volatility,iShares MBSEtf_High_change,iShares MBSEtf_Low_average,iShares MBSEtf_Low_max,iShares MBSEtf_Low_min,iShares MBSEtf_Low_volatility,iShares MBSEtf_Low_change,iShares MBSEtf_Close_average,iShares MBSEtf_Close_max,iShares MBSEtf_Close_min,iShares MBSEtf_Close_volatility,iShares MBSEtf_Close_change
2016-01-03,108.27,108.27,108.27,0.0,0.0,108.45,108.45,108.45,0.0,0.0,108.21,108.21,108.21,0.0,0.0,108.41,108.41,108.41,0.0,0.0
2016-01-10,108.78,108.78,108.78,0.0,0.0,108.82,108.82,108.82,0.0,0.0,108.51,108.51,108.51,0.0,0.0,108.76,108.76,108.76,0.0,0.0
2016-01-17,108.66,108.66,108.66,0.0,0.0,108.82,108.82,108.82,0.0,0.0,108.52,108.52,108.52,0.0,0.0,108.71,108.71,108.71,0.0,0.0
2016-01-24,109.27,109.27,109.27,0.0,0.0,109.35,109.35,109.35,0.0,0.0,109.07,109.07,109.07,0.0,0.0,109.21,109.21,109.21,0.0,0.0
2016-01-31,109.1,109.1,109.1,0.0,0.0,109.24,109.24,109.24,0.0,0.0,108.92,108.92,108.92,0.0,0.0,109.17,109.17,109.17,0.0,0.0
2016-02-07,109.36,109.36,109.36,0.0,0.0,109.5,109.5,109.5,0.0,0.0,109.12,109.12,109.12,0.0,0.0,109.24,109.24,109.24,0.0,0.0
2016-02-14,109.4,109.4,109.4,0.0,0.0,109.49,109.49,109.49,0.0,0.0,109.25,109.25,109.25,0.0,0.0,109.35,109.35,109.35,0.0,0.0
2016-02-21,109.41,109.41,109.41,0.0,0.0,109.44,109.44,109.44,0.0,0.0,109.29,109.29,109.29,0.0,0.0,109.37,109.37,109.37,0.0,0.0
2016-02-28,109.17,109.17,109.17,0.0,0.0,109.21,109.21,109.21,0.0,0.0,108.95,108.95,108.95,0.0,0.0,109.1,109.1,109.1,0.0,0.0
2016-03-06,108.94,108.94,108.94,0.0,0.0,108.95,108.95,108.95,0.0,0.0,108.75,108.75,108.75,0.0,0.0,108.88,108.88,108.88,0.0,0.0
2016-03-13,109.27,109.27,109.27,0.0,0.0,109.28,109.28,109.28,0.0,0.0,109.1,109.1,109.1,0.0,0.0,109.15,109.15,109.15,0.0,0.0
2016-03-20,109.2,109.2,109.2,0.0,0.0,109.2,109.2,109.2,0.0,0.0,108.87,108.87,108.87,0.0,0.0,109.01,109.01,109.01,0.0,0.0
2016-03-27,109.24,109.24,109.24,0.0,0.0,109.34,109.34,109.34,0.0,0.0,109.18,109.18,109.18,0.0,0.0,109.24,109.24,109.24,0.0,0.0
2016-04-03,109.33,109.33,109.33,0.0,0.0,109.42,109.42,109.42,0.0,0.0,109.31,109.31,109.31,0.0,0.0,109.38,109.38,109.38,0.0,0.0
2016-04-10,109.29,109.29,109.29,0.0,0.0,109.49,109.49,109.49,0.0,0.0,109.29,109.29,109.29,0.0,0.0,109.38,109.38,109.38,0.0,0.0
2016-04-17,109.19,109.19,109.19,0.0,0.0,109.2,109.2,109.2,0.0,0.0,109.13,109.13,109.13,0.0,0.0,109.15,109.15,109.15,0.0,0.0
2016-04-24,109.36,109.36,109.36,0.0,0.0,109.47,109.47,109.47,0.0,0.0,109.3,109.3,109.3,0.0,0.0,109.4,109.4,109.4,0.0,0.0
2016-05-01,109.47,109.47,109.47,0.0,0.0,109.54,109.54,109.54,0.0,0.0,109.42,109.42,109.42,0.0,0.0,109.47,109.47,109.47,0.0,0.0
2016-05-08,109.52,109.52,109.52,0.0,0.0,109.61,109.61,109.61,0.0,0.0,109.46,109.46,109.46,0.0,0.0,109.55,109.55,109.55,0.0,0.0
2016-05-15,109.27,109.27,109.27,0.0,0.0,109.32,109.32,109.32,0.0,0.0,109.19,109.19,109.19,0.0,0.0,109.26,109.26,109.26,0.0,0.0
2016-05-22,109.34,109.34,109.34,0.0,0.0,109.38,109.38,109.38,0.0,0.0,109.21,109.21,109.21,0.0,0.0,109.27,109.27,109.27,0.0,0.0
2016-05-29,109.45,109.45,109.45,0.0,0.0,109.52,109.52,109.52,0.0,0.0,109.4,109.4,109.4,0.0,0.0,109.5,109.5,109.5,0.0,0.0
2016-06-05,109.61,109.61,109.61,0.0,0.0,109.68,109.68,109.68,0.0,0.0,109.56,109.56,109.56,0.0,0.0,109.6,109.6,109.6,0.0,0.0
2016-06-12,109.74,109.74,109.74,0.0,0.0,109.81,109.81,109.81,0.0,0.0,109.59,109.59,109.59,0.0,0.0,109.66,109.66,109.66,0.0,0.0
2016-06-19,109.87,109.87,109.87,0.0,0.0,109.95,109.95,109.95,0.0,0.0,109.74,109.74,109.74,0.0,0.0,109.77,109.77,109.77,0.0,0.0
2016-06-26,109.94,109.94,109.94,0.0,0.0,110.01,110.01,110.01,0.0,0.0,109.82,109.82,109.82,0.0,0.0,109.94,109.94,109.94,0.0,0.0
2016-07-03,110.08,110.08,110.08,0.0,0.0,110.14,110.14,110.14,0.0,0.0,110.0,110.0,110.0,0.0,0.0,110.12,110.12,110.12,0.0,0.0
2016-07-10,109.86,109.86,109.86,0.0,0.0,109.9,109.9,109.9,0.0,0.0,109.78,109.78,109.78,0.0,0.0,109.85,109.85,109.85,0.0,0.0
2016-07-17,109.84,109.84,109.84,0.0,0.0,109.87,109.87,109.87,0.0,0.0,109.77,109.77,109.77,0.0,0.0,109.79,109.79,109.79,0.0,0.0
2016-07-24,110.07,110.07,110.07,0.0,0.0,110.15,110.15,110.15,0.0,0.0,110.01,110.01,110.01,0.0,0.0,110.12,110.12,110.12,0.0,0.0
2016-07-31,109.92,109.92,109.92,0.0,0.0,109.92,109.92,109.92,0.0,0.0,109.74,109.74,109.74,0.0,0.0,109.75,109.75,109.75,0.0,0.0
2016-08-07,109.88,109.88,109.88,0.0,0.0,110.02,110.02,110.02,0.0,0.0,109.86,109.86,109.86,0.0,0.0,109.86,109.86,109.86,0.0,0.0
2016-08-14,109.84,109.84,109.84,0.0,0.0,109.95,109.95,109.95,0.0,0.0,109.8,109.8,109.8,0.0,0.0,109.83,109.83,109.83,0.0,0.0
2016-08-21,109.94,109.94,109.94,0.0,0.0,110.05,110.05,110.05,0.0,0.0,109.77,109.77,109.77,0.0,0.0,109.8,109.8,109.8,0.0,0.0
2016-08-28,109.82,109.82,109.82,0.0,0.0,109.83,109.83,109.83,0.0,0.0,109.65,109.65,109.65,0.0,0.0,109.76,109.76,109.76,0.0,0.0
2016-09-04,109.83,109.83,109.83,0.0,0.0,109.83,109.83,109.83,0.0,0.0,109.7,109.7,109.7,0.0,0.0,109.75,109.75,109.75,0.0,0.0
2016-09-11,109.92,109.92,109.92,0.0,0.0,109.93,109.93,109.93,0.0,0.0,109.83,109.83,109.83,0.0,0.0,109.88,109.88,109.88,0.0,0.0
2016-09-18,109.99,109.99,109.99,0.0,0.0,110.07,110.07,110.07,0.0,0.0,109.97,109.97,109.97,0.0,0.0,110.06,110.06,110.06,0.0,0.0
2016-09-25,110.1,110.1,110.1,0.0,0.0,110.18,110.18,110.18,0.0,0.0,110.06,110.06,110.06,0.0,0.0,110.09,110.09,110.09,0.0,0.0
2016-10-02,109.94,109.94,109.94,0.0,0.0,109.98,109.98,109.98,0.0,0.0,109.67,109.67,109.67,0.0,0.0,109.76,109.76,109.76,0.0,0.0
2016-10-09,109.69,109.69,109.69,0.0,0.0,109.77,109.77,109.77,0.0,0.0,109.58,109.58,109.58,0.0,0.0,109.59,109.59,109.59,0.0,0.0
2016-10-16,109.84,109.84,109.84,0.0,0.0,109.85,109.85,109.85,0.0,0.0,109.73,109.73,109.73,0.0,0.0,109.8,109.8,109.8,0.0,0.0
2016-10-23,109.48,109.48,109.48,0.0,0.0,109.65,109.65,109.65,0.0,0.0,109.48,109.48,109.48,0.0,0.0,109.58,109.58,109.58,0.0,0.0
2016-10-30,109.5,109.5,109.5,0.0,0.0,109.58,109.58,109.58,0.0,0.0,109.47,109.47,109.47,0.0,0.0,109.55,109.55,109.55,0.0,0.0
2016-11-06,108.38,108.38,108.38,0.0,0.0,108.51,108.51,108.51,0.0,0.0,108.3,108.3,108.3,0.0,0.0,108.34,108.34,108.34,0.0,0.0
2016-11-13,108.0,108.0,108.0,0.0,0.0,108.01,108.01,108.01,0.0,0.0,107.55,107.55,107.55,0.0,0.0,107.56,107.56,107.56,0.0,0.0
2016-11-20,107.3,107.3,107.3,0.0,0.0,107.3,107.3,107.3,0.0,0.0,107.08,107.08,107.08,0.0,0.0,107.11,107.11,107.11,0.0,0.0
2016-11-27,106.8,106.8,106.8,0.0,0.0,107.04,107.04,107.04,0.0,0.0,106.73,106.73,106.73,0.0,0.0,106.81,106.81,106.81,0.0,0.0
2016-12-04,106.93,106.93,106.93,0.0,0.0,106.97,106.97,106.97,0.0,0.0,106.63,106.63,106.63,0.0,0.0,106.68,106.68,106.68,0.0,0.0
2016-12-11,105.71,105.71,105.71,0.0,0.0,106.03,106.03,106.03,0.0,0.0,105.58,105.58,105.58,0.0,0.0,105.69,105.69,105.69,0.0,0.0
2016-12-18,105.66,105.66,105.66,0.0,0.0,105.77,105.77,105.77,0.0,0.0,105.55,105.55,105.55,0.0,0.0,105.66,105.66,105.66,0.0,0.0
2016-12-25,106.11,106.11,106.11,0.0,0.0,106.43,106.43,106.43,0.0,0.0,106.1,106.1,106.1,0.0,0.0,106.34,106.34,106.34,0.0,0.0
2017-01-01,106.54,106.54,106.54,0.0,0.0,106.64,106.64,106.64,0.0,0.0,106.42,106.42,106.42,0.0,0.0,106.44,106.44,106.44,0.0,0.0
2017-01-08,106.59,106.59,106.59,0.0,0.0,106.62,106.62,106.62,0.0,0.0,106.38,106.38,106.38,0.0,0.0,106.53,106.53,106.53,0.0,0.0
2017-01-15,106.06,106.06,106.06,0.0,0.0,106.27,106.27,106.27,0.0,0.0,105.95,105.95,105.95,0.0,0.0,106.21,106.21,106.21,0.0,0.0
2017-01-22,106.19,106.19,106.19,0.0,0.0,106.28,106.28,106.28,0.0,0.0,106.13,106.13,106.13,0.0,0.0,106.28,106.28,106.28,0.0,0.0
2017-01-29,106.36,106.36,106.36,0.0,0.0,106.44,106.44,106.44,0.0,0.0,106.05,106.05,106.05,0.0,0.0,106.19,106.19,106.19,0.0,0.0
2017-02-05,106.47,106.47,106.47,0.0,0.0,106.61,106.61,106.61,0.0,0.0,106.42,106.42,106.42,0.0,0.0,106.57,106.57,106.57,0.0,0.0
2017-02-12,106.57,106.57,106.57,0.0,0.0,106.63,106.63,106.63,0.0,0.0,106.51,106.51,106.51,0.0,0.0,106.53,106.53,106.53,0.0,0.0
2017-02-19,106.84,106.84,106.84,0.0,0.0,107.09,107.09,107.09,0.0,0.0,106.84,106.84,106.84,0.0,0.0,107.06,107.06,107.06,0.0,0.0
2017-02-26,105.83,105.83,105.83,0.0,0.0,105.96,105.96,105.96,0.0,0.0,105.7,105.7,105.7,0.0,0.0,105.86,105.86,105.86,0.0,0.0
2017-03-05,105.47,105.47,105.47,0.0,0.0,105.47,105.47,105.47,0.0,0.0,105.22,105.22,105.22,0.0,0.0,105.41,105.41,105.41,0.0,0.0
2017-03-12,105.79,105.79,105.79,0.0,0.0,105.96,105.96,105.96,0.0,0.0,105.76,105.76,105.76,0.0,0.0,105.92,105.92,105.92,0.0,0.0
2017-03-19,106.29,106.29,106.29,0.0,0.0,106.44,106.44,106.44,0.0,0.0,106.22,106.22,106.22,0.0,0.0,106.38,106.38,106.38,0.0,0.0
2017-03-26,106.4,106.4,106.4,0.0,0.0,106.56,106.56,106.56,0.0,0.0,106.38,106.38,106.38,0.0,0.0,106.55,106.55,106.55,0.0,0.0
2017-04-02,106.8,106.8,106.8,0.0,0.0,106.87,106.87,106.87,0.0,0.0,106.38,106.38,106.38,0.0,0.0,106.38,106.38,106.38,0.0,0.0
2017-04-09,107.1,107.1,107.1,0.0,0.0,107.24,107.24,107.24,0.0,0.0,106.97,106.97,106.97,0.0,0.0,107.09,107.09,107.09,0.0,0.0
2017-04-16,107.15,107.15,107.15,0.0,0.0,107.23,107.23,107.23,0.0,0.0,107.07,107.07,107.07,0.0,0.0,107.12,107.12,107.12,0.0,0.0
2017-04-23,106.8,106.8,106.8,0.0,0.0,107.02,107.02,107.02,0.0,0.0,106.77,106.77,106.77,0.0,0.0,106.99,106.99,106.99,0.0,0.0
2017-04-30,106.61,106.61,106.61,0.0,0.0,106.66,106.66,106.66,0.0,0.0,106.47,106.47,106.47,0.0,0.0,106.66,106.66,106.66,0.0,0.0
2017-05-07,106.67,106.67,106.67,0.0,0.0,106.84,106.84,106.84,0.0,0.0,106.62,106.62,106.62,0.0,0.0,106.81,106.81,106.81,0.0,0.0
2017-05-14,107.15,107.15,107.15,0.0,0.0,107.24,107.24,107.24,0.0,0.0,107.07,107.07,107.07,0.0,0.0,107.22,107.22,107.22,0.0,0.0
2017-05-21,107.27,107.27,107.27,0.0,0.0,107.33,107.33,107.33,0.0,0.0,107.23,107.23,107.23,0.0,0.0,107.33,107.33,107.33,0.0,0.0
2017-05-28,107.36,107.36,107.36,0.0,0.0,107.45,107.45,107.45,0.0,0.0,107.28,107.28,107.28,0.0,0.0,107.37,107.37,107.37,0.0,0.0
2017-06-04,107.18,107.18,107.18,0.0,0.0,107.26,107.26,107.26,0.0,0.0,107.13,107.13,107.13,0.0,0.0,107.18,107.18,107.18,0.0,0.0
2017-06-11,107.22,107.22,107.22,0.0,0.0,107.34,107.34,107.34,0.0,0.0,107.2,107.2,107.2,0.0,0.0,107.32,107.32,107.32,0.0,0.0
2017-06-18,107.22,107.22,107.22,0.0,0.0,107.25,107.25,107.25,0.0,0.0,107.13,107.13,107.13,0.0,0.0,107.23,107.23,107.23,0.0,0.0
2017-06-25,106.96,106.96,106.96,0.0,0.0,107.0,107.0,107.0,0.0,0.0,106.69,106.69,106.69,0.0,0.0,106.76,106.76,106.76,0.0,0.0
2017-07-02,106.43,106.43,106.43,0.0,0.0,106.43,106.43,106.43,0.0,0.0,106.26,106.26,106.26,0.0,0.0,106.3,106.3,106.3,0.0,0.0
2017-07-09,106.98,106.98,106.98,0.0,0.0,106.99,106.99,106.99,0.0,0.0,106.78,106.78,106.78,0.0,0.0,106.82,106.82,106.82,0.0,0.0
2017-07-16,107.07,107.07,107.07,0.0,0.0,107.12,107.12,107.12,0.0,0.0,107.0,107.0,107.0,0.0,0.0,107.1,107.1,107.1,0.0,0.0
2017-07-23,106.92,106.92,106.92,0.0,0.0,107.06,107.06,107.06,0.0,0.0,106.89,106.89,106.89,0.0,0.0,107.06,107.06,107.06,0.0,0.0
2017-07-30,107.03,107.03,107.03,0.0,0.0,107.09,107.09,107.09,0.0,0.0,106.94,106.94,106.94,0.0,0.0,107.01,107.01,107.01,0.0,0.0
2017-08-06,107.16,107.16,107.16,0.0,0.0,107.26,107.26,107.26,0.0,0.0,107.11,107.11,107.11,0.0,0.0,107.21,107.21,107.21,0.0,0.0
2017-08-13,107.31,107.31,107.31,0.0,0.0,107.36,107.36,107.36,0.0,0.0,107.14,107.14,107.14,0.0,0.0,107.28,107.28,107.28,0.0,0.0
2017-08-20,107.33,107.33,107.33,0.0,0.0,107.43,107.43,107.43,0.0,0.0,107.28,107.28,107.28,0.0,0.0,107.4,107.4,107.4,0.0,0.0
2017-08-27,107.45,107.45,107.45,0.0,0.0,107.45,107.45,107.45,0.0,0.0,107.3,107.3,107.3,0.0,0.0,107.33,107.33,107.33,0.0,0.0
2017-09-03,107.7,107.7,107.7,0.0,0.0,107.7,107.7,107.7,0.0,0.0,107.57,107.57,107.57,0.0,0.0,107.61,107.61,107.61,0.0,0.0
2017-09-10,107.35,107.35,107.35,0.0,0.0,107.36,107.36,107.36,0.0,0.0,107.25,107.25,107.25,0.0,0.0,107.36,107.36,107.36,0.0,0.0
2017-09-17,107.24,107.24,107.24,0.0,0.0,107.28,107.28,107.28,0.0,0.0,107.17,107.17,107.17,0.0,0.0,107.2,107.2,107.2,0.0,0.0
2017-09-24,107.27,107.27,107.27,0.0,0.0,107.29,107.29,107.29,0.0,0.0,107.1,107.1,107.1,0.0,0.0,107.1,107.1,107.1,0.0,0.0
2017-10-01,106.77,106.77,106.77,0.0,0.0,106.95,106.95,106.95,0.0,0.0,106.72,106.72,106.72,0.0,0.0,106.83,106.83,106.83,0.0,0.0
2017-10-08,107.2,107.2,107.2,0.0,0.0,107.29,107.29,107.29,0.0,0.0,107.14,107.14,107.14,0.0,0.0,107.25,107.25,107.25,0.0,0.0
2017-10-15,106.75,106.75,106.75,0.0,0.0,106.82,106.82,106.82,0.0,0.0,106.72,106.72,106.72,0.0,0.0,106.77,106.77,106.77,0.0,0.0
2017-10-22,106.47,106.47,106.47,0.0,0.0,106.7,106.7,106.7,0.0,0.0,106.45,106.45,106.45,0.0,0.0,106.7,106.7,106.7,0.0,0.0
2017-10-29,106.82,106.82,106.82,0.0,0.0,106.92,106.92,106.92,0.0,0.0,106.72,106.72,106.72,0.0,0.0,106.91,106.91,106.91,0.0,0.0
2017-11-05,106.6,106.6,106.6,0.0,0.0,106.62,106.62,106.62,0.0,0.0,106.5,106.5,106.5,0.0,0.0,106.5,106.5,106.5,0.0,0.0
2017-11-12,106.71,106.71,106.71,0.0,0.0,106.76,106.76,106.76,0.0,0.0,106.66,106.66,106.66,0.0,0.0,106.69,106.69,106.69,0.0,0.0
2017-11-19,106.79,106.79,106.79,0.0,0.0,106.8,106.8,106.8,0.0,0.0,106.75,106.75,106.75,0.0,0.0,106.78,106.78,106.78,0.0,0.0
2017-11-26,106.32,106.32,106.32,0.0,0.0,106.66,106.66,106.66,0.0,0.0,106.18,106.18,106.18,0.0,0.0,106.41,106.41,106.41,0.0,0.0
2017-12-03,106.59,106.59,106.59,0.0,0.0,106.61,106.61,106.61,0.0,0.0,106.49,106.49,106.49,0.0,0.0,106.54,106.54,106.54,0.0,0.0
2017-12-10,106.56,106.56,106.56,0.0,0.0,106.71,106.71,106.71,0.0,0.0,106.54,106.54,106.54,0.0,0.0,106.67,106.67,106.67,0.0,0.0
