Date,First Trust Mid Cap Core AlphaDEX_etf_Open_average,First Trust Mid Cap Core AlphaDEX_etf_Open_max,First Trust Mid Cap Core AlphaDEX_etf_Open_min,First Trust Mid Cap Core AlphaDEX_etf_Open_volatility,First Trust Mid Cap Core AlphaDEX_etf_Open_change,First Trust Mid Cap Core AlphaDEX_etf_High_average,First Trust Mid Cap Core AlphaDEX_etf_High_max,First Trust Mid Cap Core AlphaDEX_etf_High_min,First Trust Mid Cap Core AlphaDEX_etf_High_volatility,First Trust Mid Cap Core AlphaDEX_etf_High_change,First Trust Mid Cap Core AlphaDEX_etf_Low_average,First Trust Mid Cap Core AlphaDEX_etf_Low_max,First Trust Mid Cap Core AlphaDEX_etf_Low_min,First Trust Mid Cap Core AlphaDEX_etf_Low_volatility,First Trust Mid Cap Core AlphaDEX_etf_Low_change,First Trust Mid Cap Core AlphaDEX_etf_Close_average,First Trust Mid Cap Core AlphaDEX_etf_Close_max,First Trust Mid Cap Core AlphaDEX_etf_Close_min,First Trust Mid Cap Core AlphaDEX_etf_Close_volatility,First Trust Mid Cap Core AlphaDEX_etf_Close_change
2016-01-03,45.68,45.68,45.68,0.0,0.0,45.77,45.77,45.77,0.0,0.0,44.82,44.82,44.82,0.0,0.0,44.86,44.86,44.86,0.0,0.0
2016-01-10,43.12,43.12,43.12,0.0,0.0,43.59,43.59,43.59,0.0,0.0,42.57,42.57,42.57,0.0,0.0,43.5,43.5,43.5,0.0,0.0
2016-01-17,43.76,43.76,43.76,0.0,0.0,44.2,44.2,44.2,0.0,0.0,43.64,43.64,43.64,0.0,0.0,44.13,44.13,44.13,0.0,0.0
2016-01-24,44.02,44.02,44.02,0.0,0.0,45.33,45.33,45.33,0.0,0.0,44.02,44.02,44.02,0.0,0.0,45.33,45.33,45.33,0.0,0.0
2016-01-31,44.46,44.46,44.46,0.0,0.0,44.5,44.5,44.5,0.0,0.0,43.58,43.58,43.58,0.0,0.0,43.58,43.58,43.58,0.0,0.0
2016-02-07,42.67,42.67,42.67,0.0,0.0,43.07,43.07,43.07,0.0,0.0,42.5,42.5,42.5,0.0,0.0,43.0,43.0,43.0,0.0,0.0
2016-02-14,44.24,44.24,44.24,0.0,0.0,44.34,44.34,44.34,0.0,0.0,43.83,43.83,43.83,0.0,0.0,44.33,44.33,44.33,0.0,0.0
2016-02-21,45.58,45.58,45.58,0.0,0.0,45.73,45.73,45.73,0.0,0.0,45.35,45.35,45.35,0.0,0.0,45.54,45.54,45.54,0.0,0.0
2016-02-28,47.7,47.7,47.7,0.0,0.0,48.3,48.3,48.3,0.0,0.0,47.55,47.55,47.55,0.0,0.0,48.08,48.08,48.08,0.0,0.0
2016-03-06,48.01,48.01,48.01,0.0,0.0,48.52,48.52,48.52,0.0,0.0,48.01,48.01,48.01,0.0,0.0,48.5,48.5,48.5,0.0,0.0
2016-03-13,49.16,49.16,49.16,0.0,0.0,49.63,49.63,49.63,0.0,0.0,49.16,49.16,49.16,0.0,0.0,49.34,49.34,49.34,0.0,0.0
2016-03-20,48.23,48.23,48.23,0.0,0.0,48.55,48.55,48.55,0.0,0.0,47.95,47.95,47.95,0.0,0.0,48.55,48.55,48.55,0.0,0.0
2016-03-27,49.27,49.27,49.27,0.0,0.0,49.83,49.83,49.83,0.0,0.0,49.08,49.08,49.08,0.0,0.0,49.82,49.82,49.82,0.0,0.0
