Date,iShares MSCI All Peru CappedEtf_Open_average,iShares MSCI All Peru CappedEtf_Open_max,iShares MSCI All Peru CappedEtf_Open_min,iShares MSCI All Peru CappedEtf_Open_volatility,iShares MSCI All Peru CappedEtf_Open_change,iShares MSCI All Peru CappedEtf_High_average,iShares MSCI All Peru CappedEtf_High_max,iShares MSCI All Peru CappedEtf_High_min,iShares MSCI All Peru CappedEtf_High_volatility,iShares MSCI All Peru CappedEtf_High_change,iShares MSCI All Peru CappedEtf_Low_average,iShares MSCI All Peru CappedEtf_Low_max,iShares MSCI All Peru CappedEtf_Low_min,iShares MSCI All Peru CappedEtf_Low_volatility,iShares MSCI All Peru CappedEtf_Low_change,iShares MSCI All Peru CappedEtf_Close_average,iShares MSCI All Peru CappedEtf_Close_max,iShares MSCI All Peru CappedEtf_Close_min,iShares MSCI All Peru CappedEtf_Close_volatility,iShares MSCI All Peru CappedEtf_Close_change
2016-01-03,19.37,19.37,19.37,0.0,0.0,19.42,19.42,19.42,0.0,0.0,19.13,19.13,19.13,0.0,0.0,19.15,19.15,19.15,0.0,0.0
2016-01-10,18.1,18.1,18.1,0.0,0.0,18.38,18.38,18.38,0.0,0.0,18.1,18.1,18.1,0.0,0.0,18.22,18.22,18.22,0.0,0.0
2016-01-17,18.36,18.36,18.36,0.0,0.0,18.64,18.64,18.64,0.0,0.0,18.35,18.35,18.35,0.0,0.0,18.63,18.63,18.63,0.0,0.0
2016-01-24,19.41,19.41,19.41,0.0,0.0,19.6,19.6,19.6,0.0,0.0,19.41,19.41,19.41,0.0,0.0,19.59,19.59,19.59,0.0,0.0
2016-01-31,20.08,20.08,20.08,0.0,0.0,20.48,20.48,20.48,0.0,0.0,20.08,20.08,20.08,0.0,0.0,20.37,20.37,20.37,0.0,0.0
2016-02-07,20.77,20.77,20.77,0.0,0.0,21.3,21.3,21.3,0.0,0.0,20.6,20.6,20.6,0.0,0.0,21.28,21.28,21.28,0.0,0.0
2016-02-14,21.3,21.3,21.3,0.0,0.0,21.33,21.33,21.33,0.0,0.0,21.14,21.14,21.14,0.0,0.0,21.31,21.31,21.31,0.0,0.0
2016-02-21,22.11,22.11,22.11,0.0,0.0,22.3,22.3,22.3,0.0,0.0,21.85,21.85,21.85,0.0,0.0,21.9,21.9,21.9,0.0,0.0
2016-02-28,23.59,23.59,23.59,0.0,0.0,24.35,24.35,24.35,0.0,0.0,23.56,23.56,23.56,0.0,0.0,24.14,24.14,24.14,0.0,0.0
2016-03-06,24.74,24.74,24.74,0.0,0.0,24.94,24.94,24.94,0.0,0.0,24.62,24.62,24.62,0.0,0.0,24.9,24.9,24.9,0.0,0.0
2016-03-13,25.94,25.94,25.94,0.0,0.0,26.19,26.19,26.19,0.0,0.0,25.69,25.69,25.69,0.0,0.0,26.13,26.13,26.13,0.0,0.0
2016-03-20,25.31,25.31,25.31,0.0,0.0,25.75,25.75,25.75,0.0,0.0,25.23,25.23,25.23,0.0,0.0,25.72,25.72,25.72,0.0,0.0
2016-03-27,26.2,26.2,26.2,0.0,0.0,26.35,26.35,26.35,0.0,0.0,25.79,25.79,25.79,0.0,0.0,26.02,26.02,26.02,0.0,0.0
2016-04-03,24.52,24.52,24.52,0.0,0.0,25.15,25.15,25.15,0.0,0.0,24.43,24.43,24.43,0.0,0.0,25.08,25.08,25.08,0.0,0.0
2016-04-10,28.63,28.63,28.63,0.0,0.0,28.78,28.78,28.78,0.0,0.0,28.43,28.43,28.43,0.0,0.0,28.65,28.65,28.65,0.0,0.0
2016-04-17,30.06,30.06,30.06,0.0,0.0,30.4,30.4,30.4,0.0,0.0,29.81,29.81,29.81,0.0,0.0,29.84,29.84,29.84,0.0,0.0
