Date,VelocityShares 3x Inverse Natural Gas linked to S&_etf_Open_average,VelocityShares 3x Inverse Natural Gas linked to S&_etf_Open_max,VelocityShares 3x Inverse Natural Gas linked to S&_etf_Open_min,VelocityShares 3x Inverse Natural Gas linked to S&_etf_Open_volatility,VelocityShares 3x Inverse Natural Gas linked to S&_etf_Open_change,VelocityShares 3x Inverse Natural Gas linked to S&_etf_High_average,VelocityShares 3x Inverse Natural Gas linked to S&_etf_High_max,VelocityShares 3x Inverse Natural Gas linked to S&_etf_High_min,VelocityShares 3x Inverse Natural Gas linked to S&_etf_High_volatility,VelocityShares 3x Inverse Natural Gas linked to S&_etf_High_change,VelocityShares 3x Inverse Natural Gas linked to S&_etf_Low_average,VelocityShares 3x Inverse Natural Gas linked to S&_etf_Low_max,VelocityShares 3x Inverse Natural Gas linked to S&_etf_Low_min,VelocityShares 3x Inverse Natural Gas linked to S&_etf_Low_volatility,VelocityShares 3x Inverse Natural Gas linked to S&_etf_Low_change,VelocityShares 3x Inverse Natural Gas linked to S&_etf_Close_average,VelocityShares 3x Inverse Natural Gas linked to S&_etf_Close_max,VelocityShares 3x Inverse Natural Gas linked to S&_etf_Close_min,VelocityShares 3x Inverse Natural Gas linked to S&_etf_Close_volatility,VelocityShares 3x Inverse Natural Gas linked to S&_etf_Close_change
2016-01-03,1120.0,1120.0,1120.0,0.0,0.0,1132.0,1132.0,1132.0,0.0,0.0,991.0,991.0,991.0,0.0,0.0,1012.0,1012.0,1012.0,0.0,0.0
2016-01-10,1492.0,1492.0,1492.0,0.0,0.0,1587.0,1587.0,1587.0,0.0,0.0,1490.0,1490.0,1490.0,0.0,0.0,1545.0,1545.0,1545.0,0.0,0.0
2016-01-17,1534.0,1534.0,1534.0,0.0,0.0,1558.0,1558.0,1558.0,0.0,0.0,1457.1,1457.1,1457.1,0.0,0.0,1488.0,1488.0,1488.0,0.0,0.0
2016-01-24,1252.0,1252.0,1252.0,0.0,0.0,1273.0,1273.0,1273.0,0.0,0.0,1184.0,1184.0,1184.0,0.0,0.0,1186.0,1186.0,1186.0,0.0,0.0
2016-01-31,1661.0,1661.0,1661.0,0.0,0.0,1673.34,1673.34,1673.34,0.0,0.0,1541.5,1541.5,1541.5,0.0,0.0,1589.0,1589.0,1589.0,0.0,0.0
2016-02-07,1731.0,1731.0,1731.0,0.0,0.0,1800.0,1800.0,1800.0,0.0,0.0,1724.0,1724.0,1724.0,0.0,0.0,1752.0,1752.0,1752.0,0.0,0.0
2016-02-14,2079.0,2079.0,2079.0,0.0,0.0,2236.0,2236.0,2236.0,0.0,0.0,2078.0,2078.0,2078.0,0.0,0.0,2212.0,2212.0,2212.0,0.0,0.0
2016-02-21,2560.0,2560.0,2560.0,0.0,0.0,2743.99,2743.99,2743.99,0.0,0.0,2469.0,2469.0,2469.0,0.0,0.0,2502.0,2502.0,2502.0,0.0,0.0
2016-02-28,3182.0,3182.0,3182.0,0.0,0.0,3213.0,3213.0,3213.0,0.0,0.0,2973.0,2973.0,2973.0,0.0,0.0,3001.0,3001.0,3001.0,0.0,0.0
2016-03-06,2266.0,2266.0,2266.0,0.0,0.0,2375.0,2375.0,2375.0,0.0,0.0,2180.0,2180.0,2180.0,0.0,0.0,2305.0,2305.0,2305.0,0.0,0.0
