Date,PowerShares DWA Technology Momentum PortfolioEtf_Open_average,PowerShares DWA Technology Momentum PortfolioEtf_Open_max,PowerShares DWA Technology Momentum PortfolioEtf_Open_min,PowerShares DWA Technology Momentum PortfolioEtf_Open_volatility,PowerShares DWA Technology Momentum PortfolioEtf_Open_change,PowerShares DWA Technology Momentum PortfolioEtf_High_average,PowerShares DWA Technology Momentum PortfolioEtf_High_max,PowerShares DWA Technology Momentum PortfolioEtf_High_min,PowerShares DWA Technology Momentum PortfolioEtf_High_volatility,PowerShares DWA Technology Momentum PortfolioEtf_High_change,PowerShares DWA Technology Momentum PortfolioEtf_Low_average,PowerShares DWA Technology Momentum PortfolioEtf_Low_max,PowerShares DWA Technology Momentum PortfolioEtf_Low_min,PowerShares DWA Technology Momentum PortfolioEtf_Low_volatility,PowerShares DWA Technology Momentum PortfolioEtf_Low_change,PowerShares DWA Technology Momentum PortfolioEtf_Close_average,PowerShares DWA Technology Momentum PortfolioEtf_Close_max,PowerShares DWA Technology Momentum PortfolioEtf_Close_min,PowerShares DWA Technology Momentum PortfolioEtf_Close_volatility,PowerShares DWA Technology Momentum PortfolioEtf_Close_change
2016-01-03,36.93,36.93,36.93,0.0,0.0,37.0,37.0,37.0,0.0,0.0,36.03,36.03,36.03,0.0,0.0,36.04,36.04,36.04,0.0,0.0
2016-01-10,35.13,35.13,35.13,0.0,0.0,35.13,35.13,35.13,0.0,0.0,34.24,34.24,34.24,0.0,0.0,34.95,34.95,34.95,0.0,0.0
2016-01-17,35.78,35.78,35.78,0.0,0.0,36.32,36.32,36.32,0.0,0.0,35.78,35.78,35.78,0.0,0.0,36.29,36.29,36.29,0.0,0.0
2016-01-24,35.15,35.15,35.15,0.0,0.0,36.1,36.1,36.1,0.0,0.0,35.15,35.15,35.15,0.0,0.0,36.1,36.1,36.1,0.0,0.0
2016-01-31,34.62,34.62,34.62,0.0,0.0,34.62,34.62,34.62,0.0,0.0,32.69,32.69,32.69,0.0,0.0,32.8,32.8,32.8,0.0,0.0
2016-02-07,31.79,31.79,31.79,0.0,0.0,31.79,31.79,31.79,0.0,0.0,31.34,31.34,31.34,0.0,0.0,31.7,31.7,31.7,0.0,0.0
2016-02-14,32.93,32.93,32.93,0.0,0.0,33.46,33.46,33.46,0.0,0.0,32.91,32.91,32.91,0.0,0.0,33.45,33.45,33.45,0.0,0.0
2016-02-21,34.73,34.73,34.73,0.0,0.0,34.87,34.87,34.87,0.0,0.0,34.62,34.62,34.62,0.0,0.0,34.83,34.83,34.83,0.0,0.0
2016-02-28,36.23,36.23,36.23,0.0,0.0,36.38,36.38,36.38,0.0,0.0,36.02,36.02,36.02,0.0,0.0,36.15,36.15,36.15,0.0,0.0
2016-03-06,35.58,35.58,35.58,0.0,0.0,36.08,36.08,36.08,0.0,0.0,35.54,35.54,35.54,0.0,0.0,36.03,36.03,36.03,0.0,0.0
2016-03-13,36.6,36.6,36.6,0.0,0.0,36.8,36.8,36.8,0.0,0.0,36.52,36.52,36.52,0.0,0.0,36.72,36.72,36.72,0.0,0.0
2016-03-20,35.66,35.66,35.66,0.0,0.0,35.98,35.98,35.98,0.0,0.0,35.66,35.66,35.66,0.0,0.0,35.97,35.97,35.97,0.0,0.0
2016-03-27,36.91,36.91,36.91,0.0,0.0,37.4,37.4,37.4,0.0,0.0,36.91,36.91,36.91,0.0,0.0,37.39,37.39,37.39,0.0,0.0
2016-04-03,36.86,36.86,36.86,0.0,0.0,36.89,36.89,36.89,0.0,0.0,36.45,36.45,36.45,0.0,0.0,36.52,36.52,36.52,0.0,0.0
2016-04-10,36.56,36.56,36.56,0.0,0.0,36.68,36.68,36.68,0.0,0.0,36.52,36.52,36.52,0.0,0.0,36.58,36.58,36.58,0.0,0.0
