Date,DVN_stock_Open_average,DVN_stock_Open_max,DVN_stock_Open_min,DVN_stock_Open_volatility,DVN_stock_Open_change,DVN_stock_High_average,DVN_stock_High_max,DVN_stock_High_min,DVN_stock_High_volatility,DVN_stock_High_change,DVN_stock_Low_average,DVN_stock_Low_max,DVN_stock_Low_min,DVN_stock_Low_volatility,DVN_stock_Low_change,DVN_stock_Close_average,DVN_stock_Close_max,DVN_stock_Close_min,DVN_stock_Close_volatility,DVN_stock_Close_change,DVN_stock_Volume_average,DVN_stock_Volume_max,DVN_stock_Volume_min,DVN_stock_Volume_volatility,DVN_stock_Volume_change
2016-01-03,30.630000000000003,32.2,28.35,3.8500000000000014,-3.4299999999999997,31.305999999999997,32.93,28.93,4.0,-3.979999999999997,29.714,31.56,27.45,4.109999999999999,-4.080000000000002,30.384,32.83,28.06,4.77,-3.8200000000000003,8026320,11164910,6258084,4906826,1390176
2016-01-10,26.446,28.8,24.37,4.43,-4.43,26.848,28.82,24.65,4.170000000000002,-4.170000000000002,24.562,26.51,23.36,3.150000000000002,-3.150000000000002,25.588,26.97,24.49,2.4800000000000004,-2.4800000000000004,10838790,14152143,8580943,5571200,-656958
2016-01-17,23.8025,26.44,21.33,5.110000000000003,1.5600000000000023,24.9875,27.5,22.65,4.850000000000001,2.620000000000001,22.145,24.96,19.69,5.27,2.210000000000001,23.72,25.63,21.59,4.039999999999999,2.1499999999999986,13376623,18600868,9417709,9183159,5194574
2016-01-24,25.132,27.06,23.89,3.169999999999998,2.3099999999999987,26.434,28.66,24.65,4.010000000000002,2.6400000000000006,24.198,26.8,22.7,4.100000000000001,4.039999999999999,25.302,27.9,22.77,5.129999999999999,5.129999999999999,10279233,11272776,7529777,3742999,900885
2016-01-31,25.976,27.03,24.88,2.150000000000002,-1.1799999999999997,26.764,28.87,25.38,3.490000000000002,-1.0899999999999999,24.948,26.42,24.12,2.3000000000000007,-1.0599999999999987,25.75,26.59,24.69,1.8999999999999986,-1.2099999999999973,9934948,12323131,7786124,4537007,1198739
2016-02-07,22.126,24.06,20.62,3.4399999999999977,-3.4399999999999977,22.884,24.18,21.6,2.5799999999999983,-2.3599999999999994,21.174,22.24,19.62,2.6199999999999974,-1.6699999999999982,22.182,23.68,21.25,2.4299999999999997,-1.9899999999999984,12628142,19887052,8871119,11015933,10582125
2016-02-14,20.302500000000002,22.34,19.21,3.129999999999999,-3.09,20.77,22.53,19.31,3.2200000000000024,-3.2200000000000024,18.9225,20.25,18.07,2.1799999999999997,-2.1799999999999997,19.985,21.26,18.65,2.610000000000003,-2.610000000000003,43882360,97177512,13772514,83404998,20143974
2016-02-21,19.512,20.37,18.46,1.9100000000000001,1.1700000000000017,20.184,20.58,19.5,1.0799999999999983,0.0799999999999983,18.972,19.84,18.22,1.620000000000001,0.7800000000000011,19.694,20.3,18.91,1.3900000000000006,-0.010000000000001563,20580687,24943108,16421587,8521521,612944
2016-02-28,20.674,22.51,19.06,3.450000000000003,2.09,21.706,24.04,20.0,4.039999999999999,3.599999999999998,19.906,21.45,18.56,2.8900000000000006,1.9699999999999989,21.146,23.31,19.22,4.09,3.629999999999999,19915210,22698742,17474424,5224318,3380894
2016-03-06,23.066,23.91,22.07,1.8399999999999999,0.07000000000000028,23.976,25.04,22.77,2.2699999999999996,0.3200000000000003,22.137999999999998,23.31,21.15,2.16,0.019999999999999574,23.17,24.78,21.47,3.3100000000000023,0.5899999999999999,18052142,21885024,14397786,7487238,-2320670
2016-03-13,25.528,27.93,24.02,3.91,3.91,26.486,28.56,24.6,3.9599999999999973,3.599999999999998,24.784,26.45,23.13,3.3200000000000003,2.6499999999999986,26.008,27.54,24.09,3.4499999999999993,2.75,16926508,26829432,12254815,14574617,14574617
2016-03-20,26.8325,27.59,24.88,2.710000000000001,-2.41,27.995,28.85,26.63,2.2200000000000024,-2.2200000000000024,26.155,27.5,24.6,2.8999999999999986,-2.469999999999999,27.065,28.02,25.76,2.259999999999998,-1.5500000000000007,13001183,14814614,10769136,4045478,-914136
2016-03-27,26.16,26.57,25.28,1.2899999999999991,-0.14999999999999858,26.822,27.5,26.16,1.3399999999999999,0.26000000000000156,25.388,25.89,24.57,1.3200000000000003,0.38000000000000256,26.436,27.44,25.84,1.6000000000000014,0.7699999999999996,11901651,15199912,9698945,5500967,5500967
2016-04-03,27.036,28.6,25.61,2.990000000000002,1.8800000000000026,27.942,29.37,26.84,2.530000000000001,2.080000000000002,26.674,28.45,25.55,2.8999999999999986,2.509999999999998,27.274,28.77,26.05,2.719999999999999,2.719999999999999,10307983,12189250,8820332,3368918,1067738
2016-04-10,30.35,31.18,29.01,2.169999999999998,2.0,31.058,31.64,29.7,1.9400000000000013,1.9400000000000013,29.855999999999998,30.58,28.91,1.6699999999999982,1.5199999999999996,30.744,31.4,29.05,2.349999999999998,2.349999999999998,11881264,16470229,8342427,8127802,2548507
2016-04-17,33.0,34.86,29.97,4.890000000000001,4.300000000000004,34.48,35.54,32.29,3.25,3.25,32.572,34.26,29.73,4.529999999999998,4.529999999999998,33.9,35.2,32.0,3.200000000000003,3.200000000000003,12190142,14104475,10880077,3224398,414611
2016-04-24,35.44,36.54,34.35,2.1899999999999977,1.5799999999999983,36.394,37.67,34.99,2.6799999999999997,1.7700000000000031,34.418,35.9,33.56,2.3399999999999963,0.259999999999998,35.254,36.91,33.95,2.9599999999999937,0.7299999999999969,13288219,17331988,10971366,6360622,6197270
