Date,First Trust Global Natural Resources Income_etf_Open_average,First Trust Global Natural Resources Income_etf_Open_max,First Trust Global Natural Resources Income_etf_Open_min,First Trust Global Natural Resources Income_etf_Open_volatility,First Trust Global Natural Resources Income_etf_Open_change,First Trust Global Natural Resources Income_etf_High_average,First Trust Global Natural Resources Income_etf_High_max,First Trust Global Natural Resources Income_etf_High_min,First Trust Global Natural Resources Income_etf_High_volatility,First Trust Global Natural Resources Income_etf_High_change,First Trust Global Natural Resources Income_etf_Low_average,First Trust Global Natural Resources Income_etf_Low_max,First Trust Global Natural Resources Income_etf_Low_min,First Trust Global Natural Resources Income_etf_Low_volatility,First Trust Global Natural Resources Income_etf_Low_change,First Trust Global Natural Resources Income_etf_Close_average,First Trust Global Natural Resources Income_etf_Close_max,First Trust Global Natural Resources Income_etf_Close_min,First Trust Global Natural Resources Income_etf_Close_volatility,First Trust Global Natural Resources Income_etf_Close_change
2016-01-03,9.1,9.1,9.1,0.0,0.0,9.47,9.47,9.47,0.0,0.0,8.88,8.88,8.88,0.0,0.0,8.92,8.92,8.92,0.0,0.0
2016-01-10,8.5,8.5,8.5,0.0,0.0,8.54,8.54,8.54,0.0,0.0,8.2,8.2,8.2,0.0,0.0,8.43,8.43,8.43,0.0,0.0
2016-01-17,8.93,8.93,8.93,0.0,0.0,9.03,9.03,9.03,0.0,0.0,8.73,8.73,8.73,0.0,0.0,8.86,8.86,8.86,0.0,0.0
2016-01-24,9.29,9.29,9.29,0.0,0.0,9.34,9.34,9.34,0.0,0.0,9.18,9.18,9.18,0.0,0.0,9.33,9.33,9.33,0.0,0.0
2016-01-31,9.3,9.3,9.3,0.0,0.0,9.38,9.38,9.38,0.0,0.0,9.11,9.11,9.11,0.0,0.0,9.14,9.14,9.14,0.0,0.0
2016-02-07,8.5,8.5,8.5,0.0,0.0,9.03,9.03,9.03,0.0,0.0,8.5,8.5,8.5,0.0,0.0,8.88,8.88,8.88,0.0,0.0
2016-02-14,9.3,9.3,9.3,0.0,0.0,9.31,9.31,9.31,0.0,0.0,9.25,9.25,9.25,0.0,0.0,9.3,9.3,9.3,0.0,0.0
2016-02-21,9.35,9.35,9.35,0.0,0.0,9.35,9.35,9.35,0.0,0.0,9.21,9.21,9.21,0.0,0.0,9.27,9.27,9.27,0.0,0.0
2016-02-28,9.87,9.87,9.87,0.0,0.0,10.2,10.2,10.2,0.0,0.0,9.87,9.87,9.87,0.0,0.0,10.12,10.12,10.12,0.0,0.0
2016-03-06,9.93,9.93,9.93,0.0,0.0,10.28,10.28,10.28,0.0,0.0,9.92,9.92,9.92,0.0,0.0,10.28,10.28,10.28,0.0,0.0
2016-03-13,10.5,10.5,10.5,0.0,0.0,10.51,10.51,10.51,0.0,0.0,10.35,10.35,10.35,0.0,0.0,10.35,10.35,10.35,0.0,0.0
2016-03-20,9.77,9.77,9.77,0.0,0.0,10.03,10.03,10.03,0.0,0.0,9.74,9.74,9.74,0.0,0.0,9.91,9.91,9.91,0.0,0.0
2016-03-27,9.95,9.95,9.95,0.0,0.0,9.96,9.96,9.96,0.0,0.0,9.95,9.95,9.95,0.0,0.0,9.96,9.96,9.96,0.0,0.0
2016-04-03,9.85,9.85,9.85,0.0,0.0,10.08,10.08,10.08,0.0,0.0,9.64,9.64,9.64,0.0,0.0,10.04,10.04,10.04,0.0,0.0
2016-04-10,10.52,10.52,10.52,0.0,0.0,10.57,10.57,10.57,0.0,0.0,10.46,10.46,10.46,0.0,0.0,10.46,10.46,10.46,0.0,0.0
2016-04-17,10.94,10.94,10.94,0.0,0.0,10.95,10.95,10.95,0.0,0.0,10.91,10.91,10.91,0.0,0.0,10.94,10.94,10.94,0.0,0.0
2016-04-24,11.11,11.11,11.11,0.0,0.0,11.23,11.23,11.23,0.0,0.0,11.0,11.0,11.0,0.0,0.0,11.23,11.23,11.23,0.0,0.0
2016-05-01,10.38,10.38,10.38,0.0,0.0,10.38,10.38,10.38,0.0,0.0,10.38,10.38,10.38,0.0,0.0,10.38,10.38,10.38,0.0,0.0
2016-05-08,10.42,10.42,10.42,0.0,0.0,10.49,10.49,10.49,0.0,0.0,10.32,10.32,10.32,0.0,0.0,10.4,10.4,10.4,0.0,0.0
2016-05-15,10.36,10.36,10.36,0.0,0.0,10.37,10.37,10.37,0.0,0.0,10.36,10.36,10.36,0.0,0.0,10.37,10.37,10.37,0.0,0.0
2016-05-22,10.53,10.53,10.53,0.0,0.0,10.66,10.66,10.66,0.0,0.0,10.53,10.53,10.53,0.0,0.0,10.53,10.53,10.53,0.0,0.0
2016-05-29,10.51,10.51,10.51,0.0,0.0,10.62,10.62,10.62,0.0,0.0,10.44,10.44,10.44,0.0,0.0,10.62,10.62,10.62,0.0,0.0
2016-06-05,10.75,10.75,10.75,0.0,0.0,10.78,10.78,10.78,0.0,0.0,10.72,10.72,10.72,0.0,0.0,10.74,10.74,10.74,0.0,0.0
2016-06-12,10.5,10.5,10.5,0.0,0.0,10.52,10.52,10.52,0.0,0.0,10.49,10.49,10.49,0.0,0.0,10.52,10.52,10.52,0.0,0.0
2016-06-19,10.34,10.34,10.34,0.0,0.0,10.43,10.43,10.43,0.0,0.0,10.16,10.16,10.16,0.0,0.0,10.2,10.2,10.2,0.0,0.0
2016-06-26,10.38,10.38,10.38,0.0,0.0,10.57,10.57,10.57,0.0,0.0,10.38,10.38,10.38,0.0,0.0,10.53,10.53,10.53,0.0,0.0
2016-07-03,10.54,10.54,10.54,0.0,0.0,10.54,10.54,10.54,0.0,0.0,10.49,10.49,10.49,0.0,0.0,10.53,10.53,10.53,0.0,0.0
2016-07-10,10.98,10.98,10.98,0.0,0.0,11.04,11.04,11.04,0.0,0.0,10.89,10.89,10.89,0.0,0.0,10.89,10.89,10.89,0.0,0.0
