Date,First Trust NASDAQ Global AutoEtf_Open_average,First Trust NASDAQ Global AutoEtf_Open_max,First Trust NASDAQ Global AutoEtf_Open_min,First Trust NASDAQ Global AutoEtf_Open_volatility,First Trust NASDAQ Global AutoEtf_Open_change,First Trust NASDAQ Global AutoEtf_High_average,First Trust NASDAQ Global AutoEtf_High_max,First Trust NASDAQ Global AutoEtf_High_min,First Trust NASDAQ Global AutoEtf_High_volatility,First Trust NASDAQ Global AutoEtf_High_change,First Trust NASDAQ Global AutoEtf_Low_average,First Trust NASDAQ Global AutoEtf_Low_max,First Trust NASDAQ Global AutoEtf_Low_min,First Trust NASDAQ Global AutoEtf_Low_volatility,First Trust NASDAQ Global AutoEtf_Low_change,First Trust NASDAQ Global AutoEtf_Close_average,First Trust NASDAQ Global AutoEtf_Close_max,First Trust NASDAQ Global AutoEtf_Close_min,First Trust NASDAQ Global AutoEtf_Close_volatility,First Trust NASDAQ Global AutoEtf_Close_change
2016-01-03,33.13,33.13,33.13,0.0,0.0,33.22,33.22,33.22,0.0,0.0,32.64,32.64,32.64,0.0,0.0,32.75,32.75,32.75,0.0,0.0
2016-01-10,31.8,31.8,31.8,0.0,0.0,32.46,32.46,32.46,0.0,0.0,31.38,31.38,31.38,0.0,0.0,31.69,31.69,31.69,0.0,0.0
2016-01-17,32.11,32.11,32.11,0.0,0.0,32.32,32.32,32.32,0.0,0.0,31.95,31.95,31.95,0.0,0.0,31.96,31.96,31.96,0.0,0.0
2016-01-24,31.57,31.57,31.57,0.0,0.0,32.81,32.81,32.81,0.0,0.0,31.57,31.57,31.57,0.0,0.0,32.13,32.13,32.13,0.0,0.0
2016-01-31,30.24,30.24,30.24,0.0,0.0,30.6,30.6,30.6,0.0,0.0,29.82,29.82,29.82,0.0,0.0,30.09,30.09,30.09,0.0,0.0
2016-02-07,28.89,28.89,28.89,0.0,0.0,28.89,28.89,28.89,0.0,0.0,28.89,28.89,28.89,0.0,0.0,28.89,28.89,28.89,0.0,0.0
2016-02-14,30.09,30.09,30.09,0.0,0.0,30.28,30.28,30.28,0.0,0.0,30.09,30.09,30.09,0.0,0.0,30.28,30.28,30.28,0.0,0.0
2016-02-21,30.11,30.11,30.11,0.0,0.0,30.63,30.63,30.63,0.0,0.0,30.11,30.11,30.11,0.0,0.0,30.32,30.32,30.32,0.0,0.0
2016-02-28,32.57,32.57,32.57,0.0,0.0,32.96,32.96,32.96,0.0,0.0,32.57,32.57,32.57,0.0,0.0,32.83,32.83,32.83,0.0,0.0
2016-03-06,32.5,32.5,32.5,0.0,0.0,32.83,32.83,32.83,0.0,0.0,32.5,32.5,32.5,0.0,0.0,32.83,32.83,32.83,0.0,0.0
2016-03-13,33.3,33.3,33.3,0.0,0.0,33.3,33.3,33.3,0.0,0.0,33.22,33.22,33.22,0.0,0.0,33.22,33.22,33.22,0.0,0.0
2016-03-20,32.51,32.51,32.51,0.0,0.0,32.52,32.52,32.52,0.0,0.0,32.44,32.44,32.44,0.0,0.0,32.52,32.52,32.52,0.0,0.0
2016-03-27,32.85,32.85,32.85,0.0,0.0,32.85,32.85,32.85,0.0,0.0,32.43,32.43,32.43,0.0,0.0,32.63,32.63,32.63,0.0,0.0
2016-04-03,31.67,31.67,31.67,0.0,0.0,31.86,31.86,31.86,0.0,0.0,31.59,31.59,31.59,0.0,0.0,31.59,31.59,31.59,0.0,0.0
2016-04-10,33.03,33.03,33.03,0.0,0.0,33.03,33.03,33.03,0.0,0.0,32.68,32.68,32.68,0.0,0.0,32.7,32.7,32.7,0.0,0.0
2016-04-17,33.74,33.74,33.74,0.0,0.0,34.04,34.04,34.04,0.0,0.0,33.74,33.74,33.74,0.0,0.0,33.9,33.9,33.9,0.0,0.0
2016-04-24,32.96,32.96,32.96,0.0,0.0,33.0,33.0,33.0,0.0,0.0,32.63,32.63,32.63,0.0,0.0,32.69,32.69,32.69,0.0,0.0
2016-05-01,31.68,31.68,31.68,0.0,0.0,32.14,32.14,32.14,0.0,0.0,31.68,31.68,31.68,0.0,0.0,31.97,31.97,31.97,0.0,0.0
2016-05-08,32.04,32.04,32.04,0.0,0.0,32.12,32.12,32.12,0.0,0.0,31.82,31.82,31.82,0.0,0.0,31.82,31.82,31.82,0.0,0.0
2016-05-15,31.53,31.53,31.53,0.0,0.0,31.64,31.64,31.64,0.0,0.0,31.53,31.53,31.53,0.0,0.0,31.64,31.64,31.64,0.0,0.0
2016-05-22,32.53,32.53,32.53,0.0,0.0,32.57,32.57,32.57,0.0,0.0,32.48,32.48,32.48,0.0,0.0,32.48,32.48,32.48,0.0,0.0
2016-05-29,32.26,32.26,32.26,0.0,0.0,32.52,32.52,32.52,0.0,0.0,32.26,32.26,32.26,0.0,0.0,32.52,32.52,32.52,0.0,0.0
2016-06-05,32.02,32.02,32.02,0.0,0.0,32.05,32.05,32.05,0.0,0.0,31.75,31.75,31.75,0.0,0.0,31.75,31.75,31.75,0.0,0.0
2016-06-12,31.41,31.41,31.41,0.0,0.0,31.6,31.6,31.6,0.0,0.0,31.41,31.41,31.41,0.0,0.0,31.6,31.6,31.6,0.0,0.0
2016-06-19,30.26,30.26,30.26,0.0,0.0,30.73,30.73,30.73,0.0,0.0,30.26,30.26,30.26,0.0,0.0,30.31,30.31,30.31,0.0,0.0
2016-06-26,29.97,29.97,29.97,0.0,0.0,30.36,30.36,30.36,0.0,0.0,29.97,29.97,29.97,0.0,0.0,30.36,30.36,30.36,0.0,0.0
2016-07-03,30.15,30.15,30.15,0.0,0.0,30.26,30.26,30.26,0.0,0.0,30.15,30.15,30.15,0.0,0.0,30.21,30.21,30.21,0.0,0.0
2016-07-10,32.0,32.0,32.0,0.0,0.0,32.08,32.08,32.08,0.0,0.0,31.96,31.96,31.96,0.0,0.0,32.08,32.08,32.08,0.0,0.0
2016-07-17,32.27,32.27,32.27,0.0,0.0,32.44,32.44,32.44,0.0,0.0,32.26,32.26,32.26,0.0,0.0,32.42,32.42,32.42,0.0,0.0
2016-07-24,32.87,32.87,32.87,0.0,0.0,33.15,33.15,33.15,0.0,0.0,32.87,32.87,32.87,0.0,0.0,33.13,33.13,33.13,0.0,0.0
2016-07-31,32.9,32.9,32.9,0.0,0.0,33.21,33.21,33.21,0.0,0.0,32.9,32.9,32.9,0.0,0.0,33.11,33.11,33.11,0.0,0.0
2016-08-07,33.75,33.75,33.75,0.0,0.0,33.75,33.75,33.75,0.0,0.0,33.59,33.59,33.59,0.0,0.0,33.59,33.59,33.59,0.0,0.0
2016-08-14,33.62,33.62,33.62,0.0,0.0,33.62,33.62,33.62,0.0,0.0,33.43,33.43,33.43,0.0,0.0,33.59,33.59,33.59,0.0,0.0
2016-08-21,33.61,33.61,33.61,0.0,0.0,33.7,33.7,33.7,0.0,0.0,33.18,33.18,33.18,0.0,0.0,33.22,33.22,33.22,0.0,0.0
