Date,Direxion Daily Gold Miners Bull 3X Shares_etf_Open_average,Direxion Daily Gold Miners Bull 3X Shares_etf_Open_max,Direxion Daily Gold Miners Bull 3X Shares_etf_Open_min,Direxion Daily Gold Miners Bull 3X Shares_etf_Open_volatility,Direxion Daily Gold Miners Bull 3X Shares_etf_Open_change,Direxion Daily Gold Miners Bull 3X Shares_etf_High_average,Direxion Daily Gold Miners Bull 3X Shares_etf_High_max,Direxion Daily Gold Miners Bull 3X Shares_etf_High_min,Direxion Daily Gold Miners Bull 3X Shares_etf_High_volatility,Direxion Daily Gold Miners Bull 3X Shares_etf_High_change,Direxion Daily Gold Miners Bull 3X Shares_etf_Low_average,Direxion Daily Gold Miners Bull 3X Shares_etf_Low_max,Direxion Daily Gold Miners Bull 3X Shares_etf_Low_min,Direxion Daily Gold Miners Bull 3X Shares_etf_Low_volatility,Direxion Daily Gold Miners Bull 3X Shares_etf_Low_change,Direxion Daily Gold Miners Bull 3X Shares_etf_Close_average,Direxion Daily Gold Miners Bull 3X Shares_etf_Close_max,Direxion Daily Gold Miners Bull 3X Shares_etf_Close_min,Direxion Daily Gold Miners Bull 3X Shares_etf_Close_volatility,Direxion Daily Gold Miners Bull 3X Shares_etf_Close_change
2016-01-03,113.36,113.36,113.36,0.0,0.0,117.16,117.16,117.16,0.0,0.0,108.0,108.0,108.0,0.0,0.0,114.04,114.04,114.04,0.0,0.0
2016-01-10,92.4,92.4,92.4,0.0,0.0,92.4,92.4,92.4,0.0,0.0,82.4,82.4,82.4,0.0,0.0,82.76,82.76,82.76,0.0,0.0
2016-01-17,75.48,75.48,75.48,0.0,0.0,83.08,83.08,83.08,0.0,0.0,74.4,74.4,74.4,0.0,0.0,80.21,80.21,80.21,0.0,0.0
2016-01-24,95.2,95.2,95.2,0.0,0.0,103.48,103.48,103.48,0.0,0.0,93.52,93.52,93.52,0.0,0.0,102.68,102.68,102.68,0.0,0.0
2016-01-31,136.88,136.88,136.88,0.0,0.0,173.48,173.48,173.48,0.0,0.0,132.0,132.0,132.0,0.0,0.0,172.12,172.12,172.12,0.0,0.0
2016-02-07,192.8,192.8,192.8,0.0,0.0,227.56,227.56,227.56,0.0,0.0,190.6,190.6,190.6,0.0,0.0,227.48,227.48,227.48,0.0,0.0
2016-02-14,209.72,209.72,209.72,0.0,0.0,219.12,219.12,219.12,0.0,0.0,198.08,198.08,198.08,0.0,0.0,201.36,201.36,201.36,0.0,0.0
2016-02-21,219.2,219.2,219.2,0.0,0.0,233.56,233.56,233.56,0.0,0.0,208.52,208.52,208.52,0.0,0.0,210.32,210.32,210.32,0.0,0.0
2016-02-28,247.12,247.12,247.12,0.0,0.0,285.84,285.84,285.84,0.0,0.0,236.76,236.76,236.76,0.0,0.0,242.92,242.92,242.92,0.0,0.0
2016-03-06,257.68,257.68,257.68,0.0,0.0,270.6,270.6,270.6,0.0,0.0,242.36,242.36,242.36,0.0,0.0,247.0,247.0,247.0,0.0,0.0
2016-03-13,256.44,256.44,256.44,0.0,0.0,278.32,278.32,278.32,0.0,0.0,256.0,256.0,256.0,0.0,0.0,265.28,265.28,265.28,0.0,0.0
2016-03-20,212.2,212.2,212.2,0.0,0.0,223.04,223.04,223.04,0.0,0.0,206.68,206.68,206.68,0.0,0.0,218.44,218.44,218.44,0.0,0.0
2016-03-27,216.0,216.0,216.0,0.0,0.0,239.0,239.0,239.0,0.0,0.0,211.16,211.16,211.16,0.0,0.0,239.0,239.0,239.0,0.0,0.0
2016-04-03,259.04,259.04,259.04,0.0,0.0,290.28,290.28,290.28,0.0,0.0,258.0,258.0,258.0,0.0,0.0,285.04,285.04,285.04,0.0,0.0
2016-04-10,293.5,293.5,293.5,0.0,0.0,316.68,316.68,316.68,0.0,0.0,282.04,282.04,282.04,0.0,0.0,312.48,312.48,312.48,0.0,0.0
2016-04-17,341.16,341.16,341.16,0.0,0.0,362.87,362.87,362.87,0.0,0.0,318.44,318.44,318.44,0.0,0.0,325.84,325.84,325.84,0.0,0.0
2016-04-24,423.2,423.2,423.2,0.0,0.0,476.72,476.72,476.72,0.0,0.0,422.08,422.08,422.08,0.0,0.0,476.28,476.28,476.28,0.0,0.0
2016-05-01,410.4,410.4,410.4,0.0,0.0,445.28,445.28,445.28,0.0,0.0,403.08,403.08,403.08,0.0,0.0,430.88,430.88,430.88,0.0,0.0
2016-05-08,394.92,394.92,394.92,0.0,0.0,413.76,413.76,413.76,0.0,0.0,386.76,386.76,386.76,0.0,0.0,403.48,403.48,403.48,0.0,0.0
2016-05-15,367.08,367.08,367.08,0.0,0.0,368.4,368.4,368.4,0.0,0.0,329.12,329.12,329.12,0.0,0.0,358.0,358.0,358.0,0.0,0.0
2016-05-22,299.24,299.24,299.24,0.0,0.0,307.8,307.8,307.8,0.0,0.0,276.64,276.64,276.64,0.0,0.0,283.48,283.48,283.48,0.0,0.0
2016-05-29,350.64,350.64,350.64,0.0,0.0,400.88,400.88,400.88,0.0,0.0,350.64,350.64,350.64,0.0,0.0,399.6,399.6,399.6,0.0,0.0
2016-06-05,457.36,457.36,457.36,0.0,0.0,476.0,476.0,476.0,0.0,0.0,418.0,418.0,418.0,0.0,0.0,427.51,427.51,427.51,0.0,0.0
2016-06-12,423.44,423.44,423.44,0.0,0.0,427.44,427.44,427.44,0.0,0.0,392.0,392.0,392.0,0.0,0.0,416.4,416.4,416.4,0.0,0.0
2016-06-19,499.52,499.52,499.52,0.0,0.0,501.6,501.6,501.6,0.0,0.0,440.08,440.08,440.08,0.0,0.0,456.04,456.04,456.04,0.0,0.0
2016-06-26,549.04,549.04,549.04,0.0,0.0,588.4,588.4,588.4,0.0,0.0,546.0,546.0,546.0,0.0,0.0,577.84,577.84,577.84,0.0,0.0
2016-07-03,612.36,612.36,612.36,0.0,0.0,675.58,675.58,675.58,0.0,0.0,599.04,599.04,599.04,0.0,0.0,666.72,666.72,666.72,0.0,0.0
2016-07-10,606.24,606.24,606.24,0.0,0.0,635.56,635.56,635.56,0.0,0.0,606.24,606.24,606.24,0.0,0.0,619.12,619.12,619.12,0.0,0.0
2016-07-17,526.0,526.0,526.0,0.0,0.0,553.52,553.52,553.52,0.0,0.0,526.0,526.0,526.0,0.0,0.0,544.52,544.52,544.52,0.0,0.0
2016-07-24,624.12,624.12,624.12,0.0,0.0,653.6,653.6,653.6,0.0,0.0,608.92,608.92,608.92,0.0,0.0,642.04,642.04,642.04,0.0,0.0
2016-07-31,627.08,627.08,627.08,0.0,0.0,634.0,634.0,634.0,0.0,0.0,607.2,607.2,607.2,0.0,0.0,617.88,617.88,617.88,0.0,0.0
2016-08-07,713.28,713.28,713.28,0.0,0.0,715.2,715.2,715.2,0.0,0.0,660.0,660.0,660.0,0.0,0.0,667.92,667.92,667.92,0.0,0.0
2016-08-14,608.84,608.84,608.84,0.0,0.0,620.97,620.97,620.97,0.0,0.0,591.36,591.36,591.36,0.0,0.0,597.08,597.08,597.08,0.0,0.0
2016-08-21,471.0,471.0,471.0,0.0,0.0,497.4,497.4,497.4,0.0,0.0,420.0,420.0,420.0,0.0,0.0,437.6,437.6,437.6,0.0,0.0
2016-08-28,432.4,432.4,432.4,0.0,0.0,442.4,442.4,442.4,0.0,0.0,412.6,412.6,412.6,0.0,0.0,436.2,436.2,436.2,0.0,0.0
2016-09-04,440.0,440.0,440.0,0.0,0.0,441.0,441.0,441.0,0.0,0.0,378.6,378.6,378.6,0.0,0.0,386.6,386.6,386.6,0.0,0.0
2016-09-11,359.4,359.4,359.4,0.0,0.0,379.6,379.6,379.6,0.0,0.0,347.4,347.4,347.4,0.0,0.0,364.2,364.2,364.2,0.0,0.0
2016-09-18,436.4,436.4,436.4,0.0,0.0,440.0,440.0,440.0,0.0,0.0,391.8,391.8,391.8,0.0,0.0,405.2,405.2,405.2,0.0,0.0
2016-09-25,410.0,410.0,410.0,0.0,0.0,412.4,412.4,412.4,0.0,0.0,373.0,373.0,373.0,0.0,0.0,378.6,378.6,378.6,0.0,0.0
2016-10-02,255.0,255.0,255.0,0.0,0.0,260.2,260.2,260.2,0.0,0.0,225.0,225.0,225.0,0.0,0.0,238.0,238.0,238.0,0.0,0.0
2016-10-09,240.0,240.0,240.0,0.0,0.0,256.1,256.1,256.1,0.0,0.0,233.2,233.2,233.2,0.0,0.0,236.6,236.6,236.6,0.0,0.0
2016-10-16,290.0,290.0,290.0,0.0,0.0,292.4,292.4,292.4,0.0,0.0,279.6,279.6,279.6,0.0,0.0,288.4,288.4,288.4,0.0,0.0
2016-10-23,253.6,253.6,253.6,0.0,0.0,273.6,273.6,273.6,0.0,0.0,245.9,245.9,245.9,0.0,0.0,258.8,258.8,258.8,0.0,0.0
2016-10-30,306.6,306.6,306.6,0.0,0.0,308.6,308.6,308.6,0.0,0.0,284.2,284.2,284.2,0.0,0.0,297.6,297.6,297.6,0.0,0.0
2016-11-06,215.6,215.6,215.6,0.0,0.0,216.6,216.6,216.6,0.0,0.0,162.2,162.2,162.2,0.0,0.0,165.6,165.6,165.6,0.0,0.0
2016-11-13,166.2,166.2,166.2,0.0,0.0,172.0,172.0,172.0,0.0,0.0,160.0,160.0,160.0,0.0,0.0,167.2,167.2,167.2,0.0,0.0
2016-11-20,156.8,156.8,156.8,0.0,0.0,160.4,160.4,160.4,0.0,0.0,151.0,151.0,151.0,0.0,0.0,154.8,154.8,154.8,0.0,0.0
2016-11-27,160.2,160.2,160.2,0.0,0.0,173.4,173.4,173.4,0.0,0.0,160.0,160.0,160.0,0.0,0.0,170.4,170.4,170.4,0.0,0.0
