Date,John Hancock Multifactor FinancialsEtf_Open_average,John Hancock Multifactor FinancialsEtf_Open_max,John Hancock Multifactor FinancialsEtf_Open_min,John Hancock Multifactor FinancialsEtf_Open_volatility,John Hancock Multifactor FinancialsEtf_Open_change,John Hancock Multifactor FinancialsEtf_High_average,John Hancock Multifactor FinancialsEtf_High_max,John Hancock Multifactor FinancialsEtf_High_min,John Hancock Multifactor FinancialsEtf_High_volatility,John Hancock Multifactor FinancialsEtf_High_change,John Hancock Multifactor FinancialsEtf_Low_average,John Hancock Multifactor FinancialsEtf_Low_max,John Hancock Multifactor FinancialsEtf_Low_min,John Hancock Multifactor FinancialsEtf_Low_volatility,John Hancock Multifactor FinancialsEtf_Low_change,John Hancock Multifactor FinancialsEtf_Close_average,John Hancock Multifactor FinancialsEtf_Close_max,John Hancock Multifactor FinancialsEtf_Close_min,John Hancock Multifactor FinancialsEtf_Close_volatility,John Hancock Multifactor FinancialsEtf_Close_change
2016-01-03,24.09,24.09,24.09,0.0,0.0,24.15,24.15,24.15,0.0,0.0,24.09,24.09,24.09,0.0,0.0,24.15,24.15,24.15,0.0,0.0
2016-01-10,22.86,22.86,22.86,0.0,0.0,23.01,23.01,23.01,0.0,0.0,22.86,22.86,22.86,0.0,0.0,23.01,23.01,23.01,0.0,0.0
2016-01-17,22.86,22.86,22.86,0.0,0.0,22.86,22.86,22.86,0.0,0.0,22.86,22.86,22.86,0.0,0.0,22.86,22.86,22.86,0.0,0.0
2016-01-24,22.84,22.84,22.84,0.0,0.0,22.84,22.84,22.84,0.0,0.0,22.66,22.66,22.66,0.0,0.0,22.67,22.67,22.67,0.0,0.0
2016-01-31,22.91,22.91,22.91,0.0,0.0,22.91,22.91,22.91,0.0,0.0,22.5,22.5,22.5,0.0,0.0,22.5,22.5,22.5,0.0,0.0
2016-02-07,21.63,21.63,21.63,0.0,0.0,21.82,21.82,21.82,0.0,0.0,21.63,21.63,21.63,0.0,0.0,21.82,21.82,21.82,0.0,0.0
2016-02-14,22.52,22.52,22.52,0.0,0.0,22.68,22.68,22.68,0.0,0.0,22.52,22.52,22.52,0.0,0.0,22.67,22.67,22.67,0.0,0.0
2016-02-21,23.07,23.07,23.07,0.0,0.0,23.17,23.17,23.17,0.0,0.0,23.07,23.07,23.07,0.0,0.0,23.17,23.17,23.17,0.0,0.0
2016-02-28,24.01,24.01,24.01,0.0,0.0,24.01,24.01,24.01,0.0,0.0,24.01,24.01,24.01,0.0,0.0,24.01,24.01,24.01,0.0,0.0
2016-03-06,23.59,23.59,23.59,0.0,0.0,23.59,23.59,23.59,0.0,0.0,23.59,23.59,23.59,0.0,0.0,23.59,23.59,23.59,0.0,0.0
