Date,Guggenheim CurrencyShares Australian DollarEtf_Open_average,Guggenheim CurrencyShares Australian DollarEtf_Open_max,Guggenheim CurrencyShares Australian DollarEtf_Open_min,Guggenheim CurrencyShares Australian DollarEtf_Open_volatility,Guggenheim CurrencyShares Australian DollarEtf_Open_change,Guggenheim CurrencyShares Australian DollarEtf_High_average,Guggenheim CurrencyShares Australian DollarEtf_High_max,Guggenheim CurrencyShares Australian DollarEtf_High_min,Guggenheim CurrencyShares Australian DollarEtf_High_volatility,Guggenheim CurrencyShares Australian DollarEtf_High_change,Guggenheim CurrencyShares Australian DollarEtf_Low_average,Guggenheim CurrencyShares Australian DollarEtf_Low_max,Guggenheim CurrencyShares Australian DollarEtf_Low_min,Guggenheim CurrencyShares Australian DollarEtf_Low_volatility,Guggenheim CurrencyShares Australian DollarEtf_Low_change,Guggenheim CurrencyShares Australian DollarEtf_Close_average,Guggenheim CurrencyShares Australian DollarEtf_Close_max,Guggenheim CurrencyShares Australian DollarEtf_Close_min,Guggenheim CurrencyShares Australian DollarEtf_Close_volatility,Guggenheim CurrencyShares Australian DollarEtf_Close_change
2016-01-03,69.96,69.96,69.96,0.0,0.0,70.02,70.02,70.02,0.0,0.0,69.64,69.64,69.64,0.0,0.0,69.76,69.76,69.76,0.0,0.0
2016-01-10,68.9,68.9,68.9,0.0,0.0,69.02,69.02,69.02,0.0,0.0,68.33,68.33,68.33,0.0,0.0,68.66,68.66,68.66,0.0,0.0
2016-01-17,70.32,70.32,70.32,0.0,0.0,70.48,70.48,70.48,0.0,0.0,70.05,70.05,70.05,0.0,0.0,70.14,70.14,70.14,0.0,0.0
2016-01-24,71.07,71.07,71.07,0.0,0.0,71.14,71.14,71.14,0.0,0.0,70.67,70.67,70.67,0.0,0.0,70.84,70.84,70.84,0.0,0.0
2016-01-31,71.32,71.32,71.32,0.0,0.0,71.39,71.39,71.39,0.0,0.0,70.7,70.7,70.7,0.0,0.0,70.73,70.73,70.73,0.0,0.0
2016-02-07,70.74,70.74,70.74,0.0,0.0,71.13,71.13,71.13,0.0,0.0,70.69,70.69,70.69,0.0,0.0,71.05,71.05,71.05,0.0,0.0
2016-02-14,70.8,70.8,70.8,0.0,0.0,71.56,71.56,71.56,0.0,0.0,70.77,70.77,70.77,0.0,0.0,71.53,71.53,71.53,0.0,0.0
2016-02-21,72.12,72.12,72.12,0.0,0.0,72.12,72.12,72.12,0.0,0.0,71.25,71.25,71.25,0.0,0.0,71.33,71.33,71.33,0.0,0.0
2016-02-28,74.04,74.04,74.04,0.0,0.0,74.42,74.42,74.42,0.0,0.0,74.04,74.04,74.04,0.0,0.0,74.32,74.32,74.32,0.0,0.0
2016-03-06,75.29,75.29,75.29,0.0,0.0,75.84,75.84,75.84,0.0,0.0,75.29,75.29,75.29,0.0,0.0,75.62,75.62,75.62,0.0,0.0
2016-03-13,76.3,76.3,76.3,0.0,0.0,76.3,76.3,76.3,0.0,0.0,76.02,76.02,76.02,0.0,0.0,76.05,76.05,76.05,0.0,0.0
2016-03-20,75.18,75.18,75.18,0.0,0.0,75.41,75.41,75.41,0.0,0.0,75.13,75.13,75.13,0.0,0.0,75.41,75.41,75.41,0.0,0.0
2016-03-27,76.33,76.33,76.33,0.0,0.0,76.84,76.84,76.84,0.0,0.0,76.01,76.01,76.01,0.0,0.0,76.8,76.8,76.8,0.0,0.0
