Date,PowerShares DWA Energy Momentum Portfolio_etf_Open_average,PowerShares DWA Energy Momentum Portfolio_etf_Open_max,PowerShares DWA Energy Momentum Portfolio_etf_Open_min,PowerShares DWA Energy Momentum Portfolio_etf_Open_volatility,PowerShares DWA Energy Momentum Portfolio_etf_Open_change,PowerShares DWA Energy Momentum Portfolio_etf_High_average,PowerShares DWA Energy Momentum Portfolio_etf_High_max,PowerShares DWA Energy Momentum Portfolio_etf_High_min,PowerShares DWA Energy Momentum Portfolio_etf_High_volatility,PowerShares DWA Energy Momentum Portfolio_etf_High_change,PowerShares DWA Energy Momentum Portfolio_etf_Low_average,PowerShares DWA Energy Momentum Portfolio_etf_Low_max,PowerShares DWA Energy Momentum Portfolio_etf_Low_min,PowerShares DWA Energy Momentum Portfolio_etf_Low_volatility,PowerShares DWA Energy Momentum Portfolio_etf_Low_change,PowerShares DWA Energy Momentum Portfolio_etf_Close_average,PowerShares DWA Energy Momentum Portfolio_etf_Close_max,PowerShares DWA Energy Momentum Portfolio_etf_Close_min,PowerShares DWA Energy Momentum Portfolio_etf_Close_volatility,PowerShares DWA Energy Momentum Portfolio_etf_Close_change
2016-01-03,31.19,31.19,31.19,0.0,0.0,31.19,31.19,31.19,0.0,0.0,30.44,30.44,30.44,0.0,0.0,30.88,30.88,30.88,0.0,0.0
2016-01-10,28.55,28.55,28.55,0.0,0.0,28.76,28.76,28.76,0.0,0.0,27.97,27.97,27.97,0.0,0.0,28.71,28.71,28.71,0.0,0.0
2016-01-17,28.82,28.82,28.82,0.0,0.0,29.32,29.32,29.32,0.0,0.0,28.54,28.54,28.54,0.0,0.0,28.96,28.96,28.96,0.0,0.0
2016-01-24,29.65,29.65,29.65,0.0,0.0,30.6,30.6,30.6,0.0,0.0,29.59,29.59,29.59,0.0,0.0,30.55,30.55,30.55,0.0,0.0
2016-01-31,28.79,28.79,28.79,0.0,0.0,28.79,28.79,28.79,0.0,0.0,27.71,27.71,27.71,0.0,0.0,27.77,27.77,27.77,0.0,0.0
2016-02-07,26.76,26.76,26.76,0.0,0.0,27.01,27.01,27.01,0.0,0.0,26.32,26.32,26.32,0.0,0.0,26.89,26.89,26.89,0.0,0.0
2016-02-14,27.0,27.0,27.0,0.0,0.0,27.59,27.59,27.59,0.0,0.0,26.74,26.74,26.74,0.0,0.0,27.59,27.59,27.59,0.0,0.0
2016-02-21,28.67,28.67,28.67,0.0,0.0,28.81,28.81,28.81,0.0,0.0,28.49,28.49,28.49,0.0,0.0,28.57,28.57,28.57,0.0,0.0
2016-02-28,31.11,31.11,31.11,0.0,0.0,31.45,31.45,31.45,0.0,0.0,30.67,30.67,30.67,0.0,0.0,31.05,31.05,31.05,0.0,0.0
2016-03-06,31.55,31.55,31.55,0.0,0.0,32.4,32.4,32.4,0.0,0.0,31.55,31.55,31.55,0.0,0.0,32.28,32.28,32.28,0.0,0.0
2016-03-13,33.51,33.51,33.51,0.0,0.0,33.51,33.51,33.51,0.0,0.0,32.68,32.68,32.68,0.0,0.0,32.82,32.82,32.82,0.0,0.0
2016-03-20,31.25,31.25,31.25,0.0,0.0,32.2,32.2,32.2,0.0,0.0,31.25,31.25,31.25,0.0,0.0,32.2,32.2,32.2,0.0,0.0
2016-03-27,31.91,31.91,31.91,0.0,0.0,31.91,31.91,31.91,0.0,0.0,31.21,31.21,31.21,0.0,0.0,31.63,31.63,31.63,0.0,0.0
2016-04-03,32.91,32.91,32.91,0.0,0.0,33.32,33.32,33.32,0.0,0.0,32.88,32.88,32.88,0.0,0.0,33.1,33.1,33.1,0.0,0.0
2016-04-10,34.35,34.35,34.35,0.0,0.0,34.55,34.55,34.55,0.0,0.0,34.0,34.0,34.0,0.0,0.0,34.25,34.25,34.25,0.0,0.0
2016-04-17,36.18,36.18,36.18,0.0,0.0,37.22,37.22,37.22,0.0,0.0,36.18,36.18,36.18,0.0,0.0,37.04,37.04,37.04,0.0,0.0
2016-04-24,38.29,38.29,38.29,0.0,0.0,38.96,38.96,38.96,0.0,0.0,37.17,37.17,37.17,0.0,0.0,37.97,37.97,37.97,0.0,0.0
2016-05-01,35.97,35.97,35.97,0.0,0.0,37.05,37.05,37.05,0.0,0.0,35.97,35.97,35.97,0.0,0.0,36.31,36.31,36.31,0.0,0.0
2016-05-08,36.83,36.83,36.83,0.0,0.0,37.0,37.0,37.0,0.0,0.0,36.43,36.43,36.43,0.0,0.0,36.47,36.47,36.47,0.0,0.0
2016-05-15,37.11,37.11,37.11,0.0,0.0,37.5,37.5,37.5,0.0,0.0,36.81,36.81,36.81,0.0,0.0,37.37,37.37,37.37,0.0,0.0
2016-05-22,38.0,38.0,38.0,0.0,0.0,38.17,38.17,38.17,0.0,0.0,37.87,37.87,37.87,0.0,0.0,38.17,38.17,38.17,0.0,0.0
2016-05-29,38.7,38.7,38.7,0.0,0.0,38.7,38.7,38.7,0.0,0.0,37.94,37.94,37.94,0.0,0.0,38.23,38.23,38.23,0.0,0.0
2016-06-05,39.63,39.63,39.63,0.0,0.0,39.63,39.63,39.63,0.0,0.0,38.31,38.31,38.31,0.0,0.0,38.31,38.31,38.31,0.0,0.0
2016-06-12,37.97,37.97,37.97,0.0,0.0,38.36,38.36,38.36,0.0,0.0,37.78,37.78,37.78,0.0,0.0,38.04,38.04,38.04,0.0,0.0
2016-06-19,37.56,37.56,37.56,0.0,0.0,38.28,38.28,38.28,0.0,0.0,37.29,37.29,37.29,0.0,0.0,37.45,37.45,37.45,0.0,0.0
2016-06-26,37.96,37.96,37.96,0.0,0.0,39.03,39.03,39.03,0.0,0.0,37.96,37.96,37.96,0.0,0.0,38.75,38.75,38.75,0.0,0.0
2016-07-03,37.68,37.68,37.68,0.0,0.0,37.92,37.92,37.92,0.0,0.0,37.55,37.55,37.55,0.0,0.0,37.74,37.74,37.74,0.0,0.0
2016-07-10,38.87,38.87,38.87,0.0,0.0,38.87,38.87,38.87,0.0,0.0,38.31,38.31,38.31,0.0,0.0,38.42,38.42,38.42,0.0,0.0
2016-07-17,37.07,37.07,37.07,0.0,0.0,37.29,37.29,37.29,0.0,0.0,37.01,37.01,37.01,0.0,0.0,37.29,37.29,37.29,0.0,0.0
2016-07-24,36.1,36.1,36.1,0.0,0.0,37.25,37.25,37.25,0.0,0.0,36.1,36.1,36.1,0.0,0.0,37.22,37.22,37.22,0.0,0.0
2016-07-31,37.73,37.73,37.73,0.0,0.0,38.52,38.52,38.52,0.0,0.0,37.67,37.67,37.67,0.0,0.0,38.35,38.35,38.35,0.0,0.0
2016-08-07,39.12,39.12,39.12,0.0,0.0,39.38,39.38,39.38,0.0,0.0,38.85,38.85,38.85,0.0,0.0,39.06,39.06,39.06,0.0,0.0
2016-08-14,41.28,41.28,41.28,0.0,0.0,41.28,41.28,41.28,0.0,0.0,40.8,40.8,40.8,0.0,0.0,41.1,41.1,41.1,0.0,0.0
2016-08-21,40.2,40.2,40.2,0.0,0.0,40.94,40.94,40.94,0.0,0.0,40.19,40.19,40.19,0.0,0.0,40.28,40.28,40.28,0.0,0.0
2016-08-28,40.28,40.28,40.28,0.0,0.0,40.69,40.69,40.69,0.0,0.0,40.28,40.28,40.28,0.0,0.0,40.48,40.48,40.48,0.0,0.0
2016-09-04,41.64,41.64,41.64,0.0,0.0,41.67,41.67,41.67,0.0,0.0,40.43,40.43,40.43,0.0,0.0,40.43,40.43,40.43,0.0,0.0
