Date,Vanguard Materials_etf_Open_average,Vanguard Materials_etf_Open_max,Vanguard Materials_etf_Open_min,Vanguard Materials_etf_Open_volatility,Vanguard Materials_etf_Open_change,Vanguard Materials_etf_High_average,Vanguard Materials_etf_High_max,Vanguard Materials_etf_High_min,Vanguard Materials_etf_High_volatility,Vanguard Materials_etf_High_change,Vanguard Materials_etf_Low_average,Vanguard Materials_etf_Low_max,Vanguard Materials_etf_Low_min,Vanguard Materials_etf_Low_volatility,Vanguard Materials_etf_Low_change,Vanguard Materials_etf_Close_average,Vanguard Materials_etf_Close_max,Vanguard Materials_etf_Close_min,Vanguard Materials_etf_Close_volatility,Vanguard Materials_etf_Close_change
2016-01-03,88.57,88.57,88.57,0.0,0.0,88.71,88.71,88.71,0.0,0.0,86.77,86.77,86.77,0.0,0.0,86.91,86.91,86.91,0.0,0.0
2016-01-10,83.96,83.96,83.96,0.0,0.0,83.96,83.96,83.96,0.0,0.0,82.1,82.1,82.1,0.0,0.0,83.27,83.27,83.27,0.0,0.0
2016-01-17,83.56,83.56,83.56,0.0,0.0,84.81,84.81,84.81,0.0,0.0,83.0,83.0,83.0,0.0,0.0,83.71,83.71,83.71,0.0,0.0
2016-01-24,82.47,82.47,82.47,0.0,0.0,84.77,84.77,84.77,0.0,0.0,82.42,82.42,82.42,0.0,0.0,84.75,84.75,84.75,0.0,0.0
2016-01-31,88.1,88.1,88.1,0.0,0.0,88.83,88.83,88.83,0.0,0.0,87.21,87.21,87.21,0.0,0.0,87.4,87.4,87.4,0.0,0.0
2016-02-07,84.53,84.53,84.53,0.0,0.0,86.1,86.1,86.1,0.0,0.0,84.31,84.31,84.31,0.0,0.0,86.09,86.09,86.09,0.0,0.0
2016-02-14,88.17,88.17,88.17,0.0,0.0,88.17,88.17,88.17,0.0,0.0,87.3,87.3,87.3,0.0,0.0,87.71,87.71,87.71,0.0,0.0
2016-02-21,90.1,90.1,90.1,0.0,0.0,90.99,90.99,90.99,0.0,0.0,90.1,90.1,90.1,0.0,0.0,90.56,90.56,90.56,0.0,0.0
2016-02-28,93.22,93.22,93.22,0.0,0.0,94.89,94.89,94.89,0.0,0.0,93.14,93.14,93.14,0.0,0.0,94.13,94.13,94.13,0.0,0.0
2016-03-06,95.35,95.35,95.35,0.0,0.0,96.48,96.48,96.48,0.0,0.0,95.35,95.35,95.35,0.0,0.0,96.24,96.24,96.24,0.0,0.0
2016-03-13,99.4,99.4,99.4,0.0,0.0,99.76,99.76,99.76,0.0,0.0,98.58,98.58,98.58,0.0,0.0,98.86,98.86,98.86,0.0,0.0
2016-03-20,96.51,96.51,96.51,0.0,0.0,97.28,97.28,97.28,0.0,0.0,96.0,96.0,96.0,0.0,0.0,97.28,97.28,97.28,0.0,0.0
2016-03-27,97.36,97.36,97.36,0.0,0.0,99.12,99.12,99.12,0.0,0.0,96.89,96.89,96.89,0.0,0.0,99.01,99.01,99.01,0.0,0.0
2016-04-03,97.68,97.68,97.68,0.0,0.0,98.69,98.69,98.69,0.0,0.0,97.68,97.68,97.68,0.0,0.0,97.87,97.87,97.87,0.0,0.0
2016-04-10,100.62,100.62,100.62,0.0,0.0,101.38,101.38,101.38,0.0,0.0,100.48,100.48,100.48,0.0,0.0,101.31,101.31,101.31,0.0,0.0
2016-04-17,103.45,103.45,103.45,0.0,0.0,104.22,104.22,104.22,0.0,0.0,103.45,103.45,103.45,0.0,0.0,103.85,103.85,103.85,0.0,0.0
2016-04-24,103.97,103.97,103.97,0.0,0.0,104.25,104.25,104.25,0.0,0.0,102.83,102.83,102.83,0.0,0.0,103.45,103.45,103.45,0.0,0.0
2016-05-01,100.68,100.68,100.68,0.0,0.0,101.81,101.81,101.81,0.0,0.0,100.63,100.63,100.63,0.0,0.0,101.67,101.67,101.67,0.0,0.0
2016-05-08,101.95,101.95,101.95,0.0,0.0,102.18,102.18,102.18,0.0,0.0,100.76,100.76,100.76,0.0,0.0,101.01,101.01,101.01,0.0,0.0
2016-05-15,100.94,100.94,100.94,0.0,0.0,101.57,101.57,101.57,0.0,0.0,100.94,100.94,100.94,0.0,0.0,101.26,101.26,101.26,0.0,0.0
2016-05-22,103.31,103.31,103.31,0.0,0.0,103.89,103.89,103.89,0.0,0.0,103.23,103.23,103.23,0.0,0.0,103.58,103.58,103.58,0.0,0.0
2016-05-29,103.72,103.72,103.72,0.0,0.0,104.75,104.75,104.75,0.0,0.0,103.57,103.57,103.57,0.0,0.0,104.69,104.69,104.69,0.0,0.0
2016-06-05,105.41,105.41,105.41,0.0,0.0,105.71,105.71,105.71,0.0,0.0,104.96,104.96,104.96,0.0,0.0,105.37,105.37,105.37,0.0,0.0
