Date,Direxion Daily Emerging Markets Bull 3X SharesEtf_Open_average,Direxion Daily Emerging Markets Bull 3X SharesEtf_Open_max,Direxion Daily Emerging Markets Bull 3X SharesEtf_Open_min,Direxion Daily Emerging Markets Bull 3X SharesEtf_Open_volatility,Direxion Daily Emerging Markets Bull 3X SharesEtf_Open_change,Direxion Daily Emerging Markets Bull 3X SharesEtf_High_average,Direxion Daily Emerging Markets Bull 3X SharesEtf_High_max,Direxion Daily Emerging Markets Bull 3X SharesEtf_High_min,Direxion Daily Emerging Markets Bull 3X SharesEtf_High_volatility,Direxion Daily Emerging Markets Bull 3X SharesEtf_High_change,Direxion Daily Emerging Markets Bull 3X SharesEtf_Low_average,Direxion Daily Emerging Markets Bull 3X SharesEtf_Low_max,Direxion Daily Emerging Markets Bull 3X SharesEtf_Low_min,Direxion Daily Emerging Markets Bull 3X SharesEtf_Low_volatility,Direxion Daily Emerging Markets Bull 3X SharesEtf_Low_change,Direxion Daily Emerging Markets Bull 3X SharesEtf_Close_average,Direxion Daily Emerging Markets Bull 3X SharesEtf_Close_max,Direxion Daily Emerging Markets Bull 3X SharesEtf_Close_min,Direxion Daily Emerging Markets Bull 3X SharesEtf_Close_volatility,Direxion Daily Emerging Markets Bull 3X SharesEtf_Close_change
2016-01-03,37.12,37.12,37.12,0.0,0.0,37.5,37.5,37.5,0.0,0.0,35.16,35.16,35.16,0.0,0.0,35.24,35.24,35.24,0.0,0.0
2016-01-10,31.44,31.44,31.44,0.0,0.0,32.04,32.04,32.04,0.0,0.0,30.04,30.04,30.04,0.0,0.0,31.36,31.36,31.36,0.0,0.0
2016-01-17,33.92,33.92,33.92,0.0,0.0,34.2,34.2,34.2,0.0,0.0,33.24,33.24,33.24,0.0,0.0,34.16,34.16,34.16,0.0,0.0
2016-01-24,36.64,36.64,36.64,0.0,0.0,38.48,38.48,38.48,0.0,0.0,36.58,36.58,36.58,0.0,0.0,38.32,38.32,38.32,0.0,0.0
2016-01-31,36.92,36.92,36.92,0.0,0.0,37.28,37.28,37.28,0.0,0.0,35.68,35.68,35.68,0.0,0.0,36.04,36.04,36.04,0.0,0.0
2016-02-07,32.76,32.76,32.76,0.0,0.0,33.56,33.56,33.56,0.0,0.0,32.24,32.24,32.24,0.0,0.0,33.52,33.52,33.52,0.0,0.0
2016-02-14,36.48,36.48,36.48,0.0,0.0,37.2,37.2,37.2,0.0,0.0,36.12,36.12,36.12,0.0,0.0,36.64,36.64,36.64,0.0,0.0
2016-02-21,37.76,37.76,37.76,0.0,0.0,37.8,37.8,37.8,0.0,0.0,35.84,35.84,35.84,0.0,0.0,35.88,35.88,35.88,0.0,0.0
2016-02-28,45.12,45.12,45.12,0.0,0.0,47.0,47.0,47.0,0.0,0.0,44.76,44.76,44.76,0.0,0.0,46.32,46.32,46.32,0.0,0.0
2016-03-06,46.84,46.84,46.84,0.0,0.0,47.96,47.96,47.96,0.0,0.0,46.76,46.76,46.76,0.0,0.0,47.68,47.68,47.68,0.0,0.0
2016-03-13,51.48,51.48,51.48,0.0,0.0,52.08,52.08,52.08,0.0,0.0,51.24,51.24,51.24,0.0,0.0,51.32,51.32,51.32,0.0,0.0
2016-03-20,47.14,47.14,47.14,0.0,0.0,48.47,48.47,48.47,0.0,0.0,46.84,46.84,46.84,0.0,0.0,48.4,48.4,48.4,0.0,0.0
2016-03-27,48.95,48.95,48.95,0.0,0.0,52.08,52.08,52.08,0.0,0.0,48.52,48.52,48.52,0.0,0.0,51.89,51.89,51.89,0.0,0.0
2016-04-03,48.79,48.79,48.79,0.0,0.0,49.01,49.01,49.01,0.0,0.0,47.72,47.72,47.72,0.0,0.0,48.16,48.16,48.16,0.0,0.0
2016-04-10,54.11,54.11,54.11,0.0,0.0,54.38,54.38,54.38,0.0,0.0,53.41,53.41,53.41,0.0,0.0,53.56,53.56,53.56,0.0,0.0
2016-04-17,53.49,53.49,53.49,0.0,0.0,54.64,54.64,54.64,0.0,0.0,53.06,53.06,53.06,0.0,0.0,53.3,53.3,53.3,0.0,0.0
2016-04-24,52.63,52.63,52.63,0.0,0.0,53.27,53.27,53.27,0.0,0.0,51.15,51.15,51.15,0.0,0.0,52.44,52.44,52.44,0.0,0.0
2016-05-01,44.76,44.76,44.76,0.0,0.0,46.02,46.02,46.02,0.0,0.0,44.68,44.68,44.68,0.0,0.0,45.4,45.4,45.4,0.0,0.0
2016-05-08,44.29,44.29,44.29,0.0,0.0,44.89,44.89,44.89,0.0,0.0,42.75,42.75,42.75,0.0,0.0,43.05,43.05,43.05,0.0,0.0
2016-05-15,42.58,42.58,42.58,0.0,0.0,43.06,43.06,43.06,0.0,0.0,42.49,42.49,42.49,0.0,0.0,42.69,42.69,42.69,0.0,0.0
2016-05-22,46.71,46.71,46.71,0.0,0.0,46.97,46.97,46.97,0.0,0.0,45.77,45.77,45.77,0.0,0.0,46.1,46.1,46.1,0.0,0.0
2016-05-29,49.09,49.09,49.09,0.0,0.0,49.59,49.59,49.59,0.0,0.0,48.02,48.02,48.02,0.0,0.0,49.5,49.5,49.5,0.0,0.0
2016-06-05,48.61,48.61,48.61,0.0,0.0,49.26,49.26,49.26,0.0,0.0,47.49,47.49,47.49,0.0,0.0,47.94,47.94,47.94,0.0,0.0
2016-06-12,46.51,46.51,46.51,0.0,0.0,46.74,46.74,46.74,0.0,0.0,45.64,45.64,45.64,0.0,0.0,46.57,46.57,46.57,0.0,0.0
2016-06-19,45.02,45.02,45.02,0.0,0.0,48.12,48.12,48.12,0.0,0.0,44.08,44.08,44.08,0.0,0.0,44.48,44.48,44.48,0.0,0.0
2016-06-26,52.43,52.43,52.43,0.0,0.0,53.19,53.19,53.19,0.0,0.0,52.29,52.29,52.29,0.0,0.0,52.89,52.89,52.89,0.0,0.0
2016-07-03,50.47,50.47,50.47,0.0,0.0,51.94,51.94,51.94,0.0,0.0,50.25,50.25,50.25,0.0,0.0,51.84,51.84,51.84,0.0,0.0
2016-07-10,57.65,57.65,57.65,0.0,0.0,57.72,57.72,57.72,0.0,0.0,56.71,56.71,56.71,0.0,0.0,57.36,57.36,57.36,0.0,0.0
2016-07-17,57.98,57.98,57.98,0.0,0.0,58.68,58.68,58.68,0.0,0.0,57.44,57.44,57.44,0.0,0.0,58.61,58.61,58.61,0.0,0.0
2016-07-24,58.8,58.8,58.8,0.0,0.0,59.96,59.96,59.96,0.0,0.0,58.1,58.1,58.1,0.0,0.0,59.77,59.77,59.77,0.0,0.0
2016-07-31,60.94,60.94,60.94,0.0,0.0,61.93,61.93,61.93,0.0,0.0,60.49,60.49,60.49,0.0,0.0,61.78,61.78,61.78,0.0,0.0
2016-08-07,66.3,66.3,66.3,0.0,0.0,66.74,66.74,66.74,0.0,0.0,65.35,65.35,65.35,0.0,0.0,66.16,66.16,66.16,0.0,0.0
2016-08-14,65.51,65.51,65.51,0.0,0.0,66.85,66.85,66.85,0.0,0.0,64.75,64.75,64.75,0.0,0.0,66.73,66.73,66.73,0.0,0.0
2016-08-21,64.25,64.25,64.25,0.0,0.0,66.29,66.29,66.29,0.0,0.0,60.7,60.7,60.7,0.0,0.0,62.22,62.22,62.22,0.0,0.0
2016-08-28,65.0,65.0,65.0,0.0,0.0,65.56,65.56,65.56,0.0,0.0,64.17,64.17,64.17,0.0,0.0,65.37,65.37,65.37,0.0,0.0
2016-09-04,65.2,65.2,65.2,0.0,0.0,65.23,65.23,65.23,0.0,0.0,61.5,61.5,61.5,0.0,0.0,61.59,61.59,61.59,0.0,0.0
2016-09-11,59.99,59.99,59.99,0.0,0.0,60.52,60.52,60.52,0.0,0.0,58.6,58.6,58.6,0.0,0.0,60.21,60.21,60.21,0.0,0.0
