Date,RLGTStock_Open_average,RLGTStock_Open_max,RLGTStock_Open_min,RLGTStock_Open_volatility,RLGTStock_Open_change,RLGTStock_High_average,RLGTStock_High_max,RLGTStock_High_min,RLGTStock_High_volatility,RLGTStock_High_change,RLGTStock_Low_average,RLGTStock_Low_max,RLGTStock_Low_min,RLGTStock_Low_volatility,RLGTStock_Low_change,RLGTStock_Close_average,RLGTStock_Close_max,RLGTStock_Close_min,RLGTStock_Close_volatility,RLGTStock_Close_change,RLGTStock_Volume_average,RLGTStock_Volume_max,RLGTStock_Volume_min,RLGTStock_Volume_volatility,RLGTStock_Volume_change
2016-01-03,3.3,3.37,3.25,0.1200000000000001,-0.03000000000000025,3.344,3.38,3.26,0.1200000000000001,-0.04999999999999982,3.2159999999999997,3.28,3.13,0.1499999999999999,-0.14000000000000012,3.264,3.37,3.13,0.2400000000000002,-0.2400000000000002,26293,35530,17829,17701,6104
2016-01-10,3.122,3.18,3.08,0.10000000000000009,-0.020000000000000018,3.176,3.24,3.12,0.1200000000000001,0.009999999999999787,3.052,3.1,3.01,0.0900000000000003,-0.040000000000000036,3.136,3.18,3.08,0.10000000000000009,0.029999999999999805,29660,38945,19886,19059,-5257
2016-01-17,3.1174999999999997,3.4,2.96,0.43999999999999995,0.29000000000000004,3.2199999999999998,3.42,3.06,0.3599999999999999,0.31000000000000005,3.0775,3.36,2.95,0.4099999999999997,0.3599999999999999,3.175,3.42,2.97,0.44999999999999973,0.3700000000000001,30797,49374,16769,32605,5920
2016-01-24,3.342,3.43,3.24,0.18999999999999995,-0.17999999999999972,3.392,3.53,3.25,0.2799999999999998,-0.08999999999999986,3.262,3.38,3.18,0.19999999999999973,-0.07999999999999963,3.298,3.43,3.18,0.25,-0.04999999999999982,15139,23695,5605,18090,12855
2016-01-31,3.264,3.32,3.22,0.09999999999999964,-0.09999999999999964,3.29,3.35,3.26,0.0900000000000003,-0.0900000000000003,3.208,3.27,3.17,0.10000000000000009,-0.06999999999999984,3.266,3.31,3.24,0.06999999999999984,-0.06000000000000005,16365,47299,4522,42777,36378
2016-02-07,3.084,3.2,3.01,0.1900000000000004,-0.13000000000000034,3.11,3.2,3.06,0.14000000000000012,-0.10000000000000009,3.02,3.1,2.99,0.10999999999999988,-0.10999999999999988,3.074,3.13,3.02,0.10999999999999988,-0.029999999999999805,10517,14213,4636,9577,5491
2016-02-14,3.2225,3.27,3.13,0.14000000000000012,0.14000000000000012,3.37,3.46,3.31,0.1499999999999999,-0.07000000000000028,3.2075,3.27,3.13,0.14000000000000012,0.14000000000000012,3.3,3.36,3.27,0.08999999999999986,-0.06999999999999984,20482,47171,8631,38540,-3376
2016-02-21,3.304,3.38,3.24,0.13999999999999968,-0.08999999999999986,3.33,3.4,3.24,0.1599999999999997,-0.1599999999999997,3.232,3.33,3.14,0.18999999999999995,-0.18000000000000016,3.274,3.39,3.18,0.20999999999999996,-0.20999999999999996,10886,14761,4632,10129,384
2016-02-28,3.198,3.27,3.16,0.10999999999999988,0.10999999999999988,3.244,3.32,3.2,0.11999999999999966,0.11999999999999966,3.162,3.2,3.11,0.0900000000000003,0.040000000000000036,3.21,3.25,3.17,0.08000000000000007,0.08000000000000007,9481,12202,4500,7702,-7316
2016-03-06,3.296,3.39,3.21,0.18000000000000016,0.13000000000000034,3.342,3.4,3.3,0.10000000000000009,0.10000000000000009,3.232,3.34,3.17,0.16999999999999993,0.11999999999999966,3.29,3.4,3.17,0.22999999999999998,0.10999999999999988,9104,12292,6096,6196,-3179
