Date,iShares MSCI Switzerland Capped_etf_Open_average,iShares MSCI Switzerland Capped_etf_Open_max,iShares MSCI Switzerland Capped_etf_Open_min,iShares MSCI Switzerland Capped_etf_Open_volatility,iShares MSCI Switzerland Capped_etf_Open_change,iShares MSCI Switzerland Capped_etf_High_average,iShares MSCI Switzerland Capped_etf_High_max,iShares MSCI Switzerland Capped_etf_High_min,iShares MSCI Switzerland Capped_etf_High_volatility,iShares MSCI Switzerland Capped_etf_High_change,iShares MSCI Switzerland Capped_etf_Low_average,iShares MSCI Switzerland Capped_etf_Low_max,iShares MSCI Switzerland Capped_etf_Low_min,iShares MSCI Switzerland Capped_etf_Low_volatility,iShares MSCI Switzerland Capped_etf_Low_change,iShares MSCI Switzerland Capped_etf_Close_average,iShares MSCI Switzerland Capped_etf_Close_max,iShares MSCI Switzerland Capped_etf_Close_min,iShares MSCI Switzerland Capped_etf_Close_volatility,iShares MSCI Switzerland Capped_etf_Close_change
2016-01-03,29.72,29.72,29.72,0.0,0.0,29.73,29.73,29.73,0.0,0.0,29.18,29.18,29.18,0.0,0.0,29.23,29.23,29.23,0.0,0.0
2016-01-10,28.7,28.7,28.7,0.0,0.0,28.99,28.99,28.99,0.0,0.0,28.5,28.5,28.5,0.0,0.0,28.6,28.6,28.6,0.0,0.0
2016-01-17,28.86,28.86,28.86,0.0,0.0,29.01,29.01,29.01,0.0,0.0,28.69,28.69,28.69,0.0,0.0,28.9,28.9,28.9,0.0,0.0
2016-01-24,28.79,28.79,28.79,0.0,0.0,29.16,29.16,29.16,0.0,0.0,28.79,28.79,28.79,0.0,0.0,29.16,29.16,29.16,0.0,0.0
2016-01-31,28.93,28.93,28.93,0.0,0.0,28.95,28.95,28.95,0.0,0.0,28.61,28.61,28.61,0.0,0.0,28.65,28.65,28.65,0.0,0.0
2016-02-07,27.84,27.84,27.84,0.0,0.0,28.17,28.17,28.17,0.0,0.0,27.78,27.78,27.78,0.0,0.0,28.17,28.17,28.17,0.0,0.0
2016-02-14,28.46,28.46,28.46,0.0,0.0,28.67,28.67,28.67,0.0,0.0,28.38,28.38,28.38,0.0,0.0,28.6,28.6,28.6,0.0,0.0
2016-02-21,28.62,28.62,28.62,0.0,0.0,28.7,28.7,28.7,0.0,0.0,28.49,28.49,28.49,0.0,0.0,28.54,28.54,28.54,0.0,0.0
2016-02-28,29.3,29.3,29.3,0.0,0.0,29.4,29.4,29.4,0.0,0.0,29.2,29.2,29.2,0.0,0.0,29.25,29.25,29.25,0.0,0.0
2016-03-06,29.53,29.53,29.53,0.0,0.0,29.8,29.8,29.8,0.0,0.0,29.52,29.52,29.52,0.0,0.0,29.78,29.78,29.78,0.0,0.0
2016-03-13,29.55,29.55,29.55,0.0,0.0,29.68,29.68,29.68,0.0,0.0,29.5,29.5,29.5,0.0,0.0,29.66,29.66,29.66,0.0,0.0
2016-03-20,29.12,29.12,29.12,0.0,0.0,29.2,29.2,29.2,0.0,0.0,29.02,29.02,29.02,0.0,0.0,29.16,29.16,29.16,0.0,0.0
2016-03-27,29.27,29.27,29.27,0.0,0.0,29.58,29.58,29.58,0.0,0.0,29.23,29.23,29.23,0.0,0.0,29.57,29.57,29.57,0.0,0.0
2016-04-03,30.0,30.0,30.0,0.0,0.0,30.13,30.13,30.13,0.0,0.0,29.92,29.92,29.92,0.0,0.0,30.05,30.05,30.05,0.0,0.0
2016-04-10,30.4,30.4,30.4,0.0,0.0,30.59,30.59,30.59,0.0,0.0,30.4,30.4,30.4,0.0,0.0,30.48,30.48,30.48,0.0,0.0
2016-04-17,30.54,30.54,30.54,0.0,0.0,30.65,30.65,30.65,0.0,0.0,30.51,30.51,30.51,0.0,0.0,30.59,30.59,30.59,0.0,0.0
