Date,First Trust Senior LoanEtf_Open_average,First Trust Senior LoanEtf_Open_max,First Trust Senior LoanEtf_Open_min,First Trust Senior LoanEtf_Open_volatility,First Trust Senior LoanEtf_Open_change,First Trust Senior LoanEtf_High_average,First Trust Senior LoanEtf_High_max,First Trust Senior LoanEtf_High_min,First Trust Senior LoanEtf_High_volatility,First Trust Senior LoanEtf_High_change,First Trust Senior LoanEtf_Low_average,First Trust Senior LoanEtf_Low_max,First Trust Senior LoanEtf_Low_min,First Trust Senior LoanEtf_Low_volatility,First Trust Senior LoanEtf_Low_change,First Trust Senior LoanEtf_Close_average,First Trust Senior LoanEtf_Close_max,First Trust Senior LoanEtf_Close_min,First Trust Senior LoanEtf_Close_volatility,First Trust Senior LoanEtf_Close_change
2016-01-03,46.89,46.89,46.89,0.0,0.0,47.03,47.03,47.03,0.0,0.0,46.88,46.88,46.88,0.0,0.0,46.97,46.97,46.97,0.0,0.0
2016-01-10,46.83,46.83,46.83,0.0,0.0,47.05,47.05,47.05,0.0,0.0,46.68,46.68,46.68,0.0,0.0,46.99,46.99,46.99,0.0,0.0
2016-01-17,46.51,46.51,46.51,0.0,0.0,46.71,46.71,46.71,0.0,0.0,46.51,46.51,46.51,0.0,0.0,46.57,46.57,46.57,0.0,0.0
2016-01-24,46.8,46.8,46.8,0.0,0.0,46.82,46.82,46.82,0.0,0.0,46.61,46.61,46.61,0.0,0.0,46.76,46.76,46.76,0.0,0.0
2016-01-31,46.72,46.72,46.72,0.0,0.0,46.8,46.8,46.8,0.0,0.0,46.63,46.63,46.63,0.0,0.0,46.67,46.67,46.67,0.0,0.0
2016-02-07,46.43,46.43,46.43,0.0,0.0,46.49,46.49,46.49,0.0,0.0,46.3,46.3,46.3,0.0,0.0,46.44,46.44,46.44,0.0,0.0
2016-02-14,46.36,46.36,46.36,0.0,0.0,46.58,46.58,46.58,0.0,0.0,46.32,46.32,46.32,0.0,0.0,46.33,46.33,46.33,0.0,0.0
2016-02-21,46.38,46.38,46.38,0.0,0.0,46.4,46.4,46.4,0.0,0.0,46.33,46.33,46.33,0.0,0.0,46.4,46.4,46.4,0.0,0.0
2016-02-28,46.96,46.96,46.96,0.0,0.0,47.02,47.02,47.02,0.0,0.0,46.9,46.9,46.9,0.0,0.0,47.0,47.0,47.0,0.0,0.0
2016-03-06,47.27,47.27,47.27,0.0,0.0,47.43,47.43,47.43,0.0,0.0,47.27,47.27,47.27,0.0,0.0,47.43,47.43,47.43,0.0,0.0
2016-03-13,47.62,47.62,47.62,0.0,0.0,47.64,47.64,47.64,0.0,0.0,47.47,47.47,47.47,0.0,0.0,47.59,47.59,47.59,0.0,0.0
2016-03-20,47.39,47.39,47.39,0.0,0.0,47.52,47.52,47.52,0.0,0.0,47.35,47.35,47.35,0.0,0.0,47.36,47.36,47.36,0.0,0.0
2016-03-27,47.56,47.56,47.56,0.0,0.0,47.66,47.66,47.66,0.0,0.0,47.5,47.5,47.5,0.0,0.0,47.58,47.58,47.58,0.0,0.0
2016-04-03,47.73,47.73,47.73,0.0,0.0,47.73,47.73,47.73,0.0,0.0,47.64,47.64,47.64,0.0,0.0,47.68,47.68,47.68,0.0,0.0
2016-04-10,47.87,47.87,47.87,0.0,0.0,47.87,47.87,47.87,0.0,0.0,47.77,47.77,47.77,0.0,0.0,47.77,47.77,47.77,0.0,0.0
2016-04-17,47.9,47.9,47.9,0.0,0.0,48.05,48.05,48.05,0.0,0.0,47.9,47.9,47.9,0.0,0.0,47.91,47.91,47.91,0.0,0.0
2016-04-24,48.1,48.1,48.1,0.0,0.0,48.12,48.12,48.12,0.0,0.0,47.97,47.97,47.97,0.0,0.0,48.0,48.0,48.0,0.0,0.0
2016-05-01,48.04,48.04,48.04,0.0,0.0,48.07,48.07,48.07,0.0,0.0,47.95,47.95,47.95,0.0,0.0,48.05,48.05,48.05,0.0,0.0
2016-05-08,48.02,48.02,48.02,0.0,0.0,48.14,48.14,48.14,0.0,0.0,48.02,48.02,48.02,0.0,0.0,48.02,48.02,48.02,0.0,0.0
2016-05-15,48.02,48.02,48.02,0.0,0.0,48.03,48.03,48.03,0.0,0.0,47.91,47.91,47.91,0.0,0.0,48.03,48.03,48.03,0.0,0.0
2016-05-22,48.11,48.11,48.11,0.0,0.0,48.15,48.15,48.15,0.0,0.0,47.99,47.99,47.99,0.0,0.0,48.06,48.06,48.06,0.0,0.0
2016-05-29,48.17,48.17,48.17,0.0,0.0,48.22,48.22,48.22,0.0,0.0,48.06,48.06,48.06,0.0,0.0,48.12,48.12,48.12,0.0,0.0
2016-06-05,48.19,48.19,48.19,0.0,0.0,48.24,48.24,48.24,0.0,0.0,48.15,48.15,48.15,0.0,0.0,48.15,48.15,48.15,0.0,0.0
2016-06-12,47.94,47.94,47.94,0.0,0.0,48.06,48.06,48.06,0.0,0.0,47.87,47.87,47.87,0.0,0.0,47.9,47.9,47.9,0.0,0.0
2016-06-19,48.16,48.16,48.16,0.0,0.0,48.16,48.16,48.16,0.0,0.0,47.55,47.55,47.55,0.0,0.0,47.97,47.97,47.97,0.0,0.0
2016-06-26,47.87,47.87,47.87,0.0,0.0,47.93,47.93,47.93,0.0,0.0,47.77,47.77,47.77,0.0,0.0,47.86,47.86,47.86,0.0,0.0
2016-07-03,48.0,48.0,48.0,0.0,0.0,48.07,48.07,48.07,0.0,0.0,47.87,47.87,47.87,0.0,0.0,48.07,48.07,48.07,0.0,0.0
2016-07-10,48.28,48.28,48.28,0.0,0.0,48.43,48.43,48.43,0.0,0.0,48.25,48.25,48.25,0.0,0.0,48.28,48.28,48.28,0.0,0.0
2016-07-17,48.31,48.31,48.31,0.0,0.0,48.44,48.44,48.44,0.0,0.0,48.28,48.28,48.28,0.0,0.0,48.34,48.34,48.34,0.0,0.0
2016-07-24,48.31,48.31,48.31,0.0,0.0,48.36,48.36,48.36,0.0,0.0,48.28,48.28,48.28,0.0,0.0,48.34,48.34,48.34,0.0,0.0
