Date,Rogers International Commodity Energy Total Return_etf_Open_average,Rogers International Commodity Energy Total Return_etf_Open_max,Rogers International Commodity Energy Total Return_etf_Open_min,Rogers International Commodity Energy Total Return_etf_Open_volatility,Rogers International Commodity Energy Total Return_etf_Open_change,Rogers International Commodity Energy Total Return_etf_High_average,Rogers International Commodity Energy Total Return_etf_High_max,Rogers International Commodity Energy Total Return_etf_High_min,Rogers International Commodity Energy Total Return_etf_High_volatility,Rogers International Commodity Energy Total Return_etf_High_change,Rogers International Commodity Energy Total Return_etf_Low_average,Rogers International Commodity Energy Total Return_etf_Low_max,Rogers International Commodity Energy Total Return_etf_Low_min,Rogers International Commodity Energy Total Return_etf_Low_volatility,Rogers International Commodity Energy Total Return_etf_Low_change,Rogers International Commodity Energy Total Return_etf_Close_average,Rogers International Commodity Energy Total Return_etf_Close_max,Rogers International Commodity Energy Total Return_etf_Close_min,Rogers International Commodity Energy Total Return_etf_Close_volatility,Rogers International Commodity Energy Total Return_etf_Close_change
2016-01-03,2.168,2.168,2.168,0.0,0.0,2.168,2.168,2.168,0.0,0.0,2.13,2.13,2.13,0.0,0.0,2.15,2.15,2.15,0.0,0.0
2016-01-10,1.92,1.92,1.92,0.0,0.0,1.92,1.92,1.92,0.0,0.0,1.88,1.88,1.88,0.0,0.0,1.88,1.88,1.88,0.0,0.0
2016-01-17,1.97,1.97,1.97,0.0,0.0,1.992,1.992,1.992,0.0,0.0,1.9509999999999998,1.9509999999999998,1.9509999999999998,0.0,0.0,1.992,1.992,1.992,0.0,0.0
2016-01-24,2.14,2.14,2.14,0.0,0.0,2.14,2.14,2.14,0.0,0.0,2.09,2.09,2.09,0.0,0.0,2.14,2.14,2.14,0.0,0.0
2016-01-31,1.983,1.983,1.983,0.0,0.0,2.02,2.02,2.02,0.0,0.0,1.97,1.97,1.97,0.0,0.0,1.984,1.984,1.984,0.0,0.0
2016-02-07,1.89,1.89,1.89,0.0,0.0,1.94,1.94,1.94,0.0,0.0,1.87,1.87,1.87,0.0,0.0,1.93,1.93,1.93,0.0,0.0
2016-02-14,1.9,1.9,1.9,0.0,0.0,1.92,1.92,1.92,0.0,0.0,1.9,1.9,1.9,0.0,0.0,1.92,1.92,1.92,0.0,0.0
2016-02-21,2.03,2.03,2.03,0.0,0.0,2.03,2.03,2.03,0.0,0.0,1.9669999999999999,1.9669999999999999,1.9669999999999999,0.0,0.0,1.99,1.99,1.99,0.0,0.0
2016-02-28,2.05,2.05,2.05,0.0,0.0,2.12,2.12,2.12,0.0,0.0,2.05,2.05,2.05,0.0,0.0,2.12,2.12,2.12,0.0,0.0
2016-03-06,2.23,2.23,2.23,0.0,0.0,2.249,2.249,2.249,0.0,0.0,2.21,2.21,2.21,0.0,0.0,2.22,2.22,2.22,0.0,0.0
2016-03-13,2.34,2.34,2.34,0.0,0.0,2.34,2.34,2.34,0.0,0.0,2.27,2.27,2.27,0.0,0.0,2.29,2.29,2.29,0.0,0.0
2016-03-20,2.17,2.17,2.17,0.0,0.0,2.21,2.21,2.21,0.0,0.0,2.17,2.17,2.17,0.0,0.0,2.21,2.21,2.21,0.0,0.0
2016-03-27,2.11,2.11,2.11,0.0,0.0,2.11,2.11,2.11,0.0,0.0,2.09,2.09,2.09,0.0,0.0,2.1,2.1,2.1,0.0,0.0
2016-04-03,2.2,2.2,2.2,0.0,0.0,2.2,2.2,2.2,0.0,0.0,2.2,2.2,2.2,0.0,0.0,2.2,2.2,2.2,0.0,0.0
2016-04-10,2.26,2.26,2.26,0.0,0.0,2.26,2.26,2.26,0.0,0.0,2.26,2.26,2.26,0.0,0.0,2.26,2.26,2.26,0.0,0.0
2016-04-17,2.36,2.36,2.36,0.0,0.0,2.411,2.411,2.411,0.0,0.0,2.36,2.36,2.36,0.0,0.0,2.39,2.39,2.39,0.0,0.0
2016-04-24,2.49,2.49,2.49,0.0,0.0,2.49,2.49,2.49,0.0,0.0,2.431,2.431,2.431,0.0,0.0,2.48,2.48,2.48,0.0,0.0
2016-05-01,2.39,2.39,2.39,0.0,0.0,2.39,2.39,2.39,0.0,0.0,2.36,2.36,2.36,0.0,0.0,2.36,2.36,2.36,0.0,0.0
2016-05-08,2.45,2.45,2.45,0.0,0.0,2.48,2.48,2.48,0.0,0.0,2.45,2.45,2.45,0.0,0.0,2.48,2.48,2.48,0.0,0.0
2016-05-15,2.52,2.52,2.52,0.0,0.0,2.54,2.54,2.54,0.0,0.0,2.52,2.52,2.52,0.0,0.0,2.52,2.52,2.52,0.0,0.0
2016-05-22,2.55,2.55,2.55,0.0,0.0,2.56,2.56,2.56,0.0,0.0,2.55,2.55,2.55,0.0,0.0,2.56,2.56,2.56,0.0,0.0
2016-05-29,2.56,2.56,2.56,0.0,0.0,2.56,2.56,2.56,0.0,0.0,2.56,2.56,2.56,0.0,0.0,2.56,2.56,2.56,0.0,0.0
2016-06-05,2.63,2.63,2.63,0.0,0.0,2.64,2.64,2.64,0.0,0.0,2.597,2.597,2.597,0.0,0.0,2.597,2.597,2.597,0.0,0.0
2016-06-12,2.55,2.55,2.55,0.0,0.0,2.5540000000000003,2.5540000000000003,2.5540000000000003,0.0,0.0,2.55,2.55,2.55,0.0,0.0,2.5540000000000003,2.5540000000000003,2.5540000000000003,0.0,0.0
2016-06-19,2.54,2.54,2.54,0.0,0.0,2.54,2.54,2.54,0.0,0.0,2.53,2.53,2.53,0.0,0.0,2.54,2.54,2.54,0.0,0.0
2016-06-26,2.59,2.59,2.59,0.0,0.0,2.64,2.64,2.64,0.0,0.0,2.589,2.589,2.589,0.0,0.0,2.6310000000000002,2.6310000000000002,2.6310000000000002,0.0,0.0
2016-07-03,2.4130000000000003,2.4130000000000003,2.4130000000000003,0.0,0.0,2.46,2.46,2.46,0.0,0.0,2.41,2.41,2.41,0.0,0.0,2.45,2.45,2.45,0.0,0.0
2016-07-10,2.472,2.472,2.472,0.0,0.0,2.472,2.472,2.472,0.0,0.0,2.45,2.45,2.45,0.0,0.0,2.458,2.458,2.458,0.0,0.0
2016-07-17,2.35,2.35,2.35,0.0,0.0,2.37,2.37,2.37,0.0,0.0,2.3409999999999997,2.3409999999999997,2.3409999999999997,0.0,0.0,2.35,2.35,2.35,0.0,0.0
2016-07-24,2.24,2.24,2.24,0.0,0.0,2.26,2.26,2.26,0.0,0.0,2.24,2.24,2.24,0.0,0.0,2.254,2.254,2.254,0.0,0.0
2016-07-31,2.28,2.28,2.28,0.0,0.0,2.28,2.28,2.28,0.0,0.0,2.24,2.24,2.24,0.0,0.0,2.262,2.262,2.262,0.0,0.0
2016-08-07,2.34,2.34,2.34,0.0,0.0,2.37,2.37,2.37,0.0,0.0,2.34,2.34,2.34,0.0,0.0,2.37,2.37,2.37,0.0,0.0
2016-08-14,2.53,2.53,2.53,0.0,0.0,2.54,2.54,2.54,0.0,0.0,2.52,2.52,2.52,0.0,0.0,2.53,2.53,2.53,0.0,0.0
