Date,SPDR MSCI ACWI Low Carbon TargetEtf_Open_average,SPDR MSCI ACWI Low Carbon TargetEtf_Open_max,SPDR MSCI ACWI Low Carbon TargetEtf_Open_min,SPDR MSCI ACWI Low Carbon TargetEtf_Open_volatility,SPDR MSCI ACWI Low Carbon TargetEtf_Open_change,SPDR MSCI ACWI Low Carbon TargetEtf_High_average,SPDR MSCI ACWI Low Carbon TargetEtf_High_max,SPDR MSCI ACWI Low Carbon TargetEtf_High_min,SPDR MSCI ACWI Low Carbon TargetEtf_High_volatility,SPDR MSCI ACWI Low Carbon TargetEtf_High_change,SPDR MSCI ACWI Low Carbon TargetEtf_Low_average,SPDR MSCI ACWI Low Carbon TargetEtf_Low_max,SPDR MSCI ACWI Low Carbon TargetEtf_Low_min,SPDR MSCI ACWI Low Carbon TargetEtf_Low_volatility,SPDR MSCI ACWI Low Carbon TargetEtf_Low_change,SPDR MSCI ACWI Low Carbon TargetEtf_Close_average,SPDR MSCI ACWI Low Carbon TargetEtf_Close_max,SPDR MSCI ACWI Low Carbon TargetEtf_Close_min,SPDR MSCI ACWI Low Carbon TargetEtf_Close_volatility,SPDR MSCI ACWI Low Carbon TargetEtf_Close_change
2016-01-03,67.27,67.27,67.27,0.0,0.0,67.27,67.27,67.27,0.0,0.0,66.38,66.38,66.38,0.0,0.0,66.38,66.38,66.38,0.0,0.0
2016-01-10,64.15,64.15,64.15,0.0,0.0,64.41,64.41,64.41,0.0,0.0,64.15,64.15,64.15,0.0,0.0,64.39,64.39,64.39,0.0,0.0
2016-01-17,65.39,65.39,65.39,0.0,0.0,65.39,65.39,65.39,0.0,0.0,65.39,65.39,65.39,0.0,0.0,65.39,65.39,65.39,0.0,0.0
2016-01-24,65.22,65.22,65.22,0.0,0.0,65.34,65.34,65.34,0.0,0.0,65.22,65.22,65.22,0.0,0.0,65.34,65.34,65.34,0.0,0.0
2016-01-31,64.79,64.79,64.79,0.0,0.0,64.83,64.83,64.83,0.0,0.0,64.79,64.79,64.79,0.0,0.0,64.83,64.83,64.83,0.0,0.0
2016-02-07,62.89,62.89,62.89,0.0,0.0,63.49,63.49,63.49,0.0,0.0,62.87,62.87,62.87,0.0,0.0,63.49,63.49,63.49,0.0,0.0
2016-02-14,65.68,65.68,65.68,0.0,0.0,65.68,65.68,65.68,0.0,0.0,65.68,65.68,65.68,0.0,0.0,65.68,65.68,65.68,0.0,0.0
2016-02-21,65.98,65.98,65.98,0.0,0.0,66.36,66.36,66.36,0.0,0.0,65.98,65.98,65.98,0.0,0.0,66.36,66.36,66.36,0.0,0.0
2016-02-28,68.77,68.77,68.77,0.0,0.0,68.78,68.78,68.78,0.0,0.0,68.77,68.77,68.77,0.0,0.0,68.77,68.77,68.77,0.0,0.0
2016-03-06,69.4,69.4,69.4,0.0,0.0,69.44,69.44,69.44,0.0,0.0,69.4,69.4,69.4,0.0,0.0,69.43,69.43,69.43,0.0,0.0
2016-03-13,70.7,70.7,70.7,0.0,0.0,70.7,70.7,70.7,0.0,0.0,70.7,70.7,70.7,0.0,0.0,70.7,70.7,70.7,0.0,0.0
2016-03-20,70.29,70.29,70.29,0.0,0.0,70.29,70.29,70.29,0.0,0.0,70.29,70.29,70.29,0.0,0.0,70.29,70.29,70.29,0.0,0.0
2016-03-27,71.02,71.02,71.02,0.0,0.0,71.02,71.02,71.02,0.0,0.0,70.99,70.99,70.99,0.0,0.0,70.99,70.99,70.99,0.0,0.0
2016-04-03,70.08,70.08,70.08,0.0,0.0,70.08,70.08,70.08,0.0,0.0,69.99,69.99,69.99,0.0,0.0,69.99,69.99,69.99,0.0,0.0
2016-04-10,71.85,71.85,71.85,0.0,0.0,71.85,71.85,71.85,0.0,0.0,71.85,71.85,71.85,0.0,0.0,71.85,71.85,71.85,0.0,0.0
2016-04-17,72.59,72.59,72.59,0.0,0.0,72.6,72.6,72.6,0.0,0.0,72.5,72.5,72.5,0.0,0.0,72.51,72.51,72.51,0.0,0.0
