Date,PPG_stock_Open_average,PPG_stock_Open_max,PPG_stock_Open_min,PPG_stock_Open_volatility,PPG_stock_Open_change,PPG_stock_High_average,PPG_stock_High_max,PPG_stock_High_min,PPG_stock_High_volatility,PPG_stock_High_change,PPG_stock_Low_average,PPG_stock_Low_max,PPG_stock_Low_min,PPG_stock_Low_volatility,PPG_stock_Low_change,PPG_stock_Close_average,PPG_stock_Close_max,PPG_stock_Close_min,PPG_stock_Close_volatility,PPG_stock_Close_change,PPG_stock_Volume_average,PPG_stock_Volume_max,PPG_stock_Volume_min,PPG_stock_Volume_volatility,PPG_stock_Volume_change
2016-01-03,96.618,98.63,95.07,3.5600000000000023,-1.5899999999999892,97.658,99.32,96.64,2.6799999999999926,-1.3499999999999943,95.662,97.47,94.17,3.299999999999997,-1.8900000000000006,96.496,98.31,94.49,3.8200000000000074,-3.469999999999999,1884851,2597603,1401524,1196079,342930
2016-01-10,94.21600000000001,95.98,91.64,4.340000000000003,-3.200000000000003,94.798,96.24,92.35,3.8900000000000006,-3.3700000000000045,92.494,93.79,90.34,3.450000000000003,-3.3900000000000006,93.618,95.12,91.9,3.219999999999999,-2.549999999999997,1996140,2300175,1320681,979494,-134458
2016-01-17,92.26,93.0,90.45,2.549999999999997,-0.009999999999990905,94.355,94.81,93.25,1.5600000000000023,1.5600000000000023,90.715,92.33,89.9,2.4299999999999926,2.4299999999999926,92.55,93.52,91.6,1.9200000000000017,1.5600000000000023,3606133,4935210,1860686,3074524,-1457270
2016-01-24,92.546,93.29,91.48,1.8100000000000023,-0.09000000000000341,94.006,95.14,93.29,1.8499999999999943,1.8200000000000074,91.64,92.28,90.93,1.3499999999999943,1.3499999999999943,92.74,95.12,91.11,4.010000000000005,4.010000000000005,1892023,2365396,1236814,1128582,742190
2016-01-31,94.722,95.33,93.71,1.6200000000000045,1.6000000000000085,95.632,96.31,94.97,1.3400000000000034,-0.07000000000000739,93.018,94.6,91.87,2.7299999999999898,-0.5400000000000063,94.462,95.7,92.87,2.8299999999999983,-2.719999999999999,1643590,1831786,1457465,374321,-204013
2016-02-07,90.382,92.21,88.62,3.589999999999989,-2.1499999999999915,92.008,93.21,90.73,2.4799999999999898,-0.14000000000000057,89.272,91.04,88.37,2.6700000000000017,0.7600000000000051,90.606,91.78,89.27,2.510000000000005,2.1299999999999955,1593876,1926814,1240182,686632,-488098
2016-02-14,94.3075,95.2,93.06,2.1400000000000006,1.5999999999999943,95.13499999999999,95.74,93.77,1.9699999999999989,1.9699999999999989,93.1525,94.14,91.78,2.3599999999999994,1.9000000000000057,94.735,95.63,93.62,2.009999999999991,2.009999999999991,1536969,1850168,1198946,651222,393383
2016-02-21,96.172,97.73,93.61,4.1200000000000045,0.8599999999999994,97.196,98.45,95.81,2.6400000000000006,0.45000000000000284,95.086,97.36,92.95,4.409999999999997,1.5,96.488,98.16,94.87,3.289999999999992,1.4399999999999977,1096581,1291571,815227,476344,-212572
2016-02-28,98.874,100.67,97.55,3.1200000000000045,2.700000000000003,100.55,102.93,98.84,4.090000000000003,4.090000000000003,98.07600000000001,100.31,96.49,3.8200000000000074,3.8200000000000074,99.646,102.49,96.53,5.959999999999994,5.959999999999994,1574996,2073315,945054,1128261,642395
2016-03-06,102.634,104.15,101.84,2.3100000000000023,2.3100000000000023,103.65,105.23,102.65,2.5799999999999983,1.7800000000000011,101.998,103.78,101.35,2.430000000000007,2.1400000000000006,103.016,105.01,101.51,3.5,1.6400000000000006,1291636,1649018,902020,746998,-169436
