Date,Direxion Daily Financial Bear 3X SharesEtf_Open_average,Direxion Daily Financial Bear 3X SharesEtf_Open_max,Direxion Daily Financial Bear 3X SharesEtf_Open_min,Direxion Daily Financial Bear 3X SharesEtf_Open_volatility,Direxion Daily Financial Bear 3X SharesEtf_Open_change,Direxion Daily Financial Bear 3X SharesEtf_High_average,Direxion Daily Financial Bear 3X SharesEtf_High_max,Direxion Daily Financial Bear 3X SharesEtf_High_min,Direxion Daily Financial Bear 3X SharesEtf_High_volatility,Direxion Daily Financial Bear 3X SharesEtf_High_change,Direxion Daily Financial Bear 3X SharesEtf_Low_average,Direxion Daily Financial Bear 3X SharesEtf_Low_max,Direxion Daily Financial Bear 3X SharesEtf_Low_min,Direxion Daily Financial Bear 3X SharesEtf_Low_volatility,Direxion Daily Financial Bear 3X SharesEtf_Low_change,Direxion Daily Financial Bear 3X SharesEtf_Close_average,Direxion Daily Financial Bear 3X SharesEtf_Close_max,Direxion Daily Financial Bear 3X SharesEtf_Close_min,Direxion Daily Financial Bear 3X SharesEtf_Close_volatility,Direxion Daily Financial Bear 3X SharesEtf_Close_change
2016-01-03,234.35,234.35,234.35,0.0,0.0,254.15,254.15,254.15,0.0,0.0,233.1,233.1,233.1,0.0,0.0,253.0,253.0,253.0,0.0,0.0
2016-01-10,277.4,277.4,277.4,0.0,0.0,283.75,283.75,283.75,0.0,0.0,271.2,271.2,271.2,0.0,0.0,275.1,275.1,275.1,0.0,0.0
2016-01-17,279.3,279.3,279.3,0.0,0.0,282.3,282.3,282.3,0.0,0.0,272.95,272.95,272.95,0.0,0.0,276.05,276.05,276.05,0.0,0.0
2016-01-24,279.15,279.15,279.15,0.0,0.0,279.9,279.9,279.9,0.0,0.0,257.65,257.65,257.65,0.0,0.0,258.05,258.05,258.05,0.0,0.0
2016-01-31,272.0,272.0,272.0,0.0,0.0,286.0,286.0,286.0,0.0,0.0,268.15,268.15,268.15,0.0,0.0,283.05,283.05,283.05,0.0,0.0
2016-02-07,317.4,317.4,317.4,0.0,0.0,319.21,319.21,319.21,0.0,0.0,298.45,298.45,298.45,0.0,0.0,298.85,298.85,298.85,0.0,0.0
2016-02-14,279.9,279.9,279.9,0.0,0.0,282.8,282.8,282.8,0.0,0.0,272.4,272.4,272.4,0.0,0.0,274.0,274.0,274.0,0.0,0.0
2016-02-21,257.6,257.6,257.6,0.0,0.0,262.85,262.85,262.85,0.0,0.0,253.65,253.65,253.65,0.0,0.0,260.1,260.1,260.1,0.0,0.0
2016-02-28,227.15,227.15,227.15,0.0,0.0,232.45,232.45,232.45,0.0,0.0,224.65,224.65,224.65,0.0,0.0,227.7,227.7,227.7,0.0,0.0
2016-03-06,232.65,232.65,232.65,0.0,0.0,233.1,233.1,233.1,0.0,0.0,221.15,221.15,221.15,0.0,0.0,221.8,221.8,221.8,0.0,0.0
2016-03-13,213.15,213.15,213.15,0.0,0.0,214.05,214.05,214.05,0.0,0.0,208.55,208.55,208.55,0.0,0.0,210.9,210.9,210.9,0.0,0.0
2016-03-20,222.75,222.75,222.75,0.0,0.0,226.6,226.6,226.6,0.0,0.0,221.05,221.05,221.05,0.0,0.0,221.05,221.05,221.05,0.0,0.0
2016-03-27,216.3,216.3,216.3,0.0,0.0,218.15,218.15,218.15,0.0,0.0,206.6,206.6,206.6,0.0,0.0,207.5,207.5,207.5,0.0,0.0
2016-04-03,220.8,220.8,220.8,0.0,0.0,224.25,224.25,224.25,0.0,0.0,216.95,216.95,216.95,0.0,0.0,222.65,222.65,222.65,0.0,0.0
2016-04-10,198.15,198.15,198.15,0.0,0.0,201.25,201.25,201.25,0.0,0.0,197.25,197.25,197.25,0.0,0.0,199.85,199.85,199.85,0.0,0.0
2016-04-17,191.8,191.8,191.8,0.0,0.0,191.95,191.95,191.95,0.0,0.0,186.4,186.4,186.4,0.0,0.0,187.25,187.25,187.25,0.0,0.0
2016-04-24,191.65,191.65,191.65,0.0,0.0,197.15,197.15,197.15,0.0,0.0,190.45,190.45,190.45,0.0,0.0,193.15,193.15,193.15,0.0,0.0
2016-05-01,201.3,201.3,201.3,0.0,0.0,201.4,201.4,201.4,0.0,0.0,193.95,193.95,193.95,0.0,0.0,194.2,194.2,194.2,0.0,0.0
