Date,iShares MSCI Pacific ex JapanEtf_Open_average,iShares MSCI Pacific ex JapanEtf_Open_max,iShares MSCI Pacific ex JapanEtf_Open_min,iShares MSCI Pacific ex JapanEtf_Open_volatility,iShares MSCI Pacific ex JapanEtf_Open_change,iShares MSCI Pacific ex JapanEtf_High_average,iShares MSCI Pacific ex JapanEtf_High_max,iShares MSCI Pacific ex JapanEtf_High_min,iShares MSCI Pacific ex JapanEtf_High_volatility,iShares MSCI Pacific ex JapanEtf_High_change,iShares MSCI Pacific ex JapanEtf_Low_average,iShares MSCI Pacific ex JapanEtf_Low_max,iShares MSCI Pacific ex JapanEtf_Low_min,iShares MSCI Pacific ex JapanEtf_Low_volatility,iShares MSCI Pacific ex JapanEtf_Low_change,iShares MSCI Pacific ex JapanEtf_Close_average,iShares MSCI Pacific ex JapanEtf_Close_max,iShares MSCI Pacific ex JapanEtf_Close_min,iShares MSCI Pacific ex JapanEtf_Close_volatility,iShares MSCI Pacific ex JapanEtf_Close_change
2016-01-03,35.35,35.35,35.35,0.0,0.0,35.39,35.39,35.39,0.0,0.0,34.78,34.78,34.78,0.0,0.0,34.81,34.81,34.81,0.0,0.0
2016-01-10,33.57,33.57,33.57,0.0,0.0,33.82,33.82,33.82,0.0,0.0,33.2,33.2,33.2,0.0,0.0,33.51,33.51,33.51,0.0,0.0
2016-01-17,34.58,34.58,34.58,0.0,0.0,34.75,34.75,34.75,0.0,0.0,34.41,34.41,34.41,0.0,0.0,34.54,34.54,34.54,0.0,0.0
2016-01-24,35.23,35.23,35.23,0.0,0.0,35.41,35.41,35.41,0.0,0.0,35.12,35.12,35.12,0.0,0.0,35.38,35.38,35.38,0.0,0.0
2016-01-31,35.02,35.02,35.02,0.0,0.0,35.12,35.12,35.12,0.0,0.0,34.41,34.41,34.41,0.0,0.0,34.51,34.51,34.51,0.0,0.0
2016-02-07,33.8,33.8,33.8,0.0,0.0,34.23,34.23,34.23,0.0,0.0,33.67,33.67,33.67,0.0,0.0,34.23,34.23,34.23,0.0,0.0
2016-02-14,35.06,35.06,35.06,0.0,0.0,35.43,35.43,35.43,0.0,0.0,34.99,34.99,34.99,0.0,0.0,35.38,35.38,35.38,0.0,0.0
2016-02-21,35.64,35.64,35.64,0.0,0.0,35.64,35.64,35.64,0.0,0.0,35.11,35.11,35.11,0.0,0.0,35.15,35.15,35.15,0.0,0.0
2016-02-28,37.93,37.93,37.93,0.0,0.0,38.42,38.42,38.42,0.0,0.0,37.89,37.89,37.89,0.0,0.0,38.31,38.31,38.31,0.0,0.0
2016-03-06,38.77,38.77,38.77,0.0,0.0,39.15,39.15,39.15,0.0,0.0,38.71,38.71,38.71,0.0,0.0,39.15,39.15,39.15,0.0,0.0
