Date,iShares MSCI Thailand Capped_etf_Open_average,iShares MSCI Thailand Capped_etf_Open_max,iShares MSCI Thailand Capped_etf_Open_min,iShares MSCI Thailand Capped_etf_Open_volatility,iShares MSCI Thailand Capped_etf_Open_change,iShares MSCI Thailand Capped_etf_High_average,iShares MSCI Thailand Capped_etf_High_max,iShares MSCI Thailand Capped_etf_High_min,iShares MSCI Thailand Capped_etf_High_volatility,iShares MSCI Thailand Capped_etf_High_change,iShares MSCI Thailand Capped_etf_Low_average,iShares MSCI Thailand Capped_etf_Low_max,iShares MSCI Thailand Capped_etf_Low_min,iShares MSCI Thailand Capped_etf_Low_volatility,iShares MSCI Thailand Capped_etf_Low_change,iShares MSCI Thailand Capped_etf_Close_average,iShares MSCI Thailand Capped_etf_Close_max,iShares MSCI Thailand Capped_etf_Close_min,iShares MSCI Thailand Capped_etf_Close_volatility,iShares MSCI Thailand Capped_etf_Close_change
2016-01-03,56.05,56.05,56.05,0.0,0.0,56.25,56.25,56.25,0.0,0.0,55.21,55.21,55.21,0.0,0.0,55.37,55.37,55.37,0.0,0.0
2016-01-10,55.71,55.71,55.71,0.0,0.0,56.15,56.15,56.15,0.0,0.0,55.18,55.18,55.18,0.0,0.0,55.88,55.88,55.88,0.0,0.0
2016-01-17,58.41,58.41,58.41,0.0,0.0,58.65,58.65,58.65,0.0,0.0,58.14,58.14,58.14,0.0,0.0,58.63,58.63,58.63,0.0,0.0
2016-01-24,60.31,60.31,60.31,0.0,0.0,61.4,61.4,61.4,0.0,0.0,60.3,60.3,60.3,0.0,0.0,61.3,61.3,61.3,0.0,0.0
2016-01-31,61.02,61.02,61.02,0.0,0.0,61.02,61.02,61.02,0.0,0.0,60.11,60.11,60.11,0.0,0.0,60.33,60.33,60.33,0.0,0.0
2016-02-07,59.43,59.43,59.43,0.0,0.0,59.71,59.71,59.71,0.0,0.0,59.09,59.09,59.09,0.0,0.0,59.68,59.68,59.68,0.0,0.0
2016-02-14,61.55,61.55,61.55,0.0,0.0,62.08,62.08,62.08,0.0,0.0,61.48,61.48,61.48,0.0,0.0,61.89,61.89,61.89,0.0,0.0
2016-02-21,63.55,63.55,63.55,0.0,0.0,63.83,63.83,63.83,0.0,0.0,62.82,62.82,62.82,0.0,0.0,62.93,62.93,62.93,0.0,0.0
2016-02-28,66.24,66.24,66.24,0.0,0.0,67.0,67.0,67.0,0.0,0.0,66.22,66.22,66.22,0.0,0.0,66.68,66.68,66.68,0.0,0.0
2016-03-06,67.36,67.36,67.36,0.0,0.0,68.12,68.12,68.12,0.0,0.0,67.36,67.36,67.36,0.0,0.0,67.91,67.91,67.91,0.0,0.0
2016-03-13,67.5,67.5,67.5,0.0,0.0,67.61,67.61,67.61,0.0,0.0,67.13,67.13,67.13,0.0,0.0,67.28,67.28,67.28,0.0,0.0
2016-03-20,67.08,67.08,67.08,0.0,0.0,67.38,67.38,67.38,0.0,0.0,66.68,66.68,66.68,0.0,0.0,67.31,67.31,67.31,0.0,0.0
2016-03-27,66.65,66.65,66.65,0.0,0.0,67.54,67.54,67.54,0.0,0.0,66.27,66.27,66.27,0.0,0.0,67.46,67.46,67.46,0.0,0.0
2016-04-03,65.68,65.68,65.68,0.0,0.0,65.93,65.93,65.93,0.0,0.0,65.09,65.09,65.09,0.0,0.0,65.33,65.33,65.33,0.0,0.0
2016-04-10,67.46,67.46,67.46,0.0,0.0,67.56,67.56,67.56,0.0,0.0,67.17,67.17,67.17,0.0,0.0,67.25,67.25,67.25,0.0,0.0
2016-04-17,68.19,68.19,68.19,0.0,0.0,68.51,68.51,68.51,0.0,0.0,67.86,67.86,67.86,0.0,0.0,67.9,67.9,67.9,0.0,0.0
2016-04-24,67.87,67.87,67.87,0.0,0.0,68.1,68.1,68.1,0.0,0.0,67.27,67.27,67.27,0.0,0.0,67.95,67.95,67.95,0.0,0.0
2016-05-01,65.72,65.72,65.72,0.0,0.0,66.43,66.43,66.43,0.0,0.0,65.68,65.68,65.68,0.0,0.0,66.04,66.04,66.04,0.0,0.0
