Date,UBS ETRACS Monthly Pay 2X_etf_Open_average,UBS ETRACS Monthly Pay 2X_etf_Open_max,UBS ETRACS Monthly Pay 2X_etf_Open_min,UBS ETRACS Monthly Pay 2X_etf_Open_volatility,UBS ETRACS Monthly Pay 2X_etf_Open_change,UBS ETRACS Monthly Pay 2X_etf_High_average,UBS ETRACS Monthly Pay 2X_etf_High_max,UBS ETRACS Monthly Pay 2X_etf_High_min,UBS ETRACS Monthly Pay 2X_etf_High_volatility,UBS ETRACS Monthly Pay 2X_etf_High_change,UBS ETRACS Monthly Pay 2X_etf_Low_average,UBS ETRACS Monthly Pay 2X_etf_Low_max,UBS ETRACS Monthly Pay 2X_etf_Low_min,UBS ETRACS Monthly Pay 2X_etf_Low_volatility,UBS ETRACS Monthly Pay 2X_etf_Low_change,UBS ETRACS Monthly Pay 2X_etf_Close_average,UBS ETRACS Monthly Pay 2X_etf_Close_max,UBS ETRACS Monthly Pay 2X_etf_Close_min,UBS ETRACS Monthly Pay 2X_etf_Close_volatility,UBS ETRACS Monthly Pay 2X_etf_Close_change
2016-08-14,18.48,18.48,18.48,0.0,0.0,18.5,18.5,18.5,0.0,0.0,18.33,18.33,18.33,0.0,0.0,18.5,18.5,18.5,0.0,0.0
2016-08-21,18.21,18.21,18.21,0.0,0.0,18.45,18.45,18.45,0.0,0.0,18.21,18.21,18.21,0.0,0.0,18.35,18.35,18.35,0.0,0.0
2016-08-28,18.4,18.4,18.4,0.0,0.0,18.41,18.41,18.41,0.0,0.0,18.3,18.3,18.3,0.0,0.0,18.4,18.4,18.4,0.0,0.0
2016-09-04,18.41,18.41,18.41,0.0,0.0,18.41,18.41,18.41,0.0,0.0,17.7,17.7,17.7,0.0,0.0,17.84,17.84,17.84,0.0,0.0
2016-09-11,17.42,17.42,17.42,0.0,0.0,17.42,17.42,17.42,0.0,0.0,17.27,17.27,17.27,0.0,0.0,17.34,17.34,17.34,0.0,0.0
2016-09-18,18.17,18.17,18.17,0.0,0.0,18.19,18.19,18.19,0.0,0.0,17.98,17.98,17.98,0.0,0.0,18.09,18.09,18.09,0.0,0.0
2016-09-25,18.05,18.05,18.05,0.0,0.0,18.25,18.25,18.25,0.0,0.0,18.03,18.03,18.03,0.0,0.0,18.13,18.13,18.13,0.0,0.0
2016-10-02,18.04,18.04,18.04,0.0,0.0,18.1,18.1,18.1,0.0,0.0,17.71,17.71,17.71,0.0,0.0,17.92,17.92,17.92,0.0,0.0
2016-10-09,17.27,17.27,17.27,0.0,0.0,17.4,17.4,17.4,0.0,0.0,17.14,17.14,17.14,0.0,0.0,17.14,17.14,17.14,0.0,0.0
2016-10-16,17.13,17.13,17.13,0.0,0.0,17.29,17.29,17.29,0.0,0.0,17.07,17.07,17.07,0.0,0.0,17.2,17.2,17.2,0.0,0.0
2016-10-23,17.19,17.19,17.19,0.0,0.0,17.19,17.19,17.19,0.0,0.0,16.9,16.9,16.9,0.0,0.0,16.92,16.92,16.92,0.0,0.0
2016-10-30,15.96,15.96,15.96,0.0,0.0,16.12,16.12,16.12,0.0,0.0,15.95,15.95,15.95,0.0,0.0,16.04,16.04,16.04,0.0,0.0
2016-11-06,15.68,15.68,15.68,0.0,0.0,15.68,15.68,15.68,0.0,0.0,15.23,15.23,15.23,0.0,0.0,15.24,15.24,15.24,0.0,0.0
2016-11-13,15.96,15.96,15.96,0.0,0.0,15.96,15.96,15.96,0.0,0.0,15.66,15.66,15.66,0.0,0.0,15.79,15.79,15.79,0.0,0.0
2016-11-20,16.31,16.31,16.31,0.0,0.0,16.45,16.45,16.45,0.0,0.0,16.26,16.26,16.26,0.0,0.0,16.31,16.31,16.31,0.0,0.0
2016-11-27,15.93,15.93,15.93,0.0,0.0,16.18,16.18,16.18,0.0,0.0,15.93,15.93,15.93,0.0,0.0,16.11,16.11,16.11,0.0,0.0
2016-12-04,16.5,16.5,16.5,0.0,0.0,16.58,16.58,16.58,0.0,0.0,16.4,16.4,16.4,0.0,0.0,16.41,16.41,16.41,0.0,0.0
2016-12-11,16.35,16.35,16.35,0.0,0.0,16.6,16.6,16.6,0.0,0.0,16.35,16.35,16.35,0.0,0.0,16.48,16.48,16.48,0.0,0.0
2016-12-18,16.45,16.45,16.45,0.0,0.0,16.51,16.51,16.51,0.0,0.0,16.42,16.42,16.42,0.0,0.0,16.49,16.49,16.49,0.0,0.0
2016-12-25,16.76,16.76,16.76,0.0,0.0,16.81,16.81,16.81,0.0,0.0,16.67,16.67,16.67,0.0,0.0,16.75,16.75,16.75,0.0,0.0
2017-01-01,16.95,16.95,16.95,0.0,0.0,17.0,17.0,17.0,0.0,0.0,16.88,16.88,16.88,0.0,0.0,16.98,16.98,16.98,0.0,0.0
2017-01-08,16.8,16.8,16.8,0.0,0.0,16.87,16.87,16.87,0.0,0.0,16.73,16.73,16.73,0.0,0.0,16.87,16.87,16.87,0.0,0.0
2017-01-15,16.64,16.64,16.64,0.0,0.0,16.73,16.73,16.73,0.0,0.0,16.6,16.6,16.6,0.0,0.0,16.73,16.73,16.73,0.0,0.0
2017-01-22,17.1,17.1,17.1,0.0,0.0,17.13,17.13,17.13,0.0,0.0,17.04,17.04,17.04,0.0,0.0,17.08,17.08,17.08,0.0,0.0
2017-01-29,17.18,17.18,17.18,0.0,0.0,17.32,17.32,17.32,0.0,0.0,17.16,17.16,17.16,0.0,0.0,17.3,17.3,17.3,0.0,0.0
2017-02-05,17.32,17.32,17.32,0.0,0.0,17.32,17.32,17.32,0.0,0.0,17.22,17.22,17.22,0.0,0.0,17.28,17.28,17.28,0.0,0.0
2017-02-12,17.25,17.25,17.25,0.0,0.0,17.31,17.31,17.31,0.0,0.0,17.21,17.21,17.21,0.0,0.0,17.3,17.3,17.3,0.0,0.0
2017-02-19,17.54,17.54,17.54,0.0,0.0,17.74,17.74,17.74,0.0,0.0,17.51,17.51,17.51,0.0,0.0,17.73,17.73,17.73,0.0,0.0
2017-02-26,17.69,17.69,17.69,0.0,0.0,17.82,17.82,17.82,0.0,0.0,17.65,17.65,17.65,0.0,0.0,17.72,17.72,17.72,0.0,0.0
2017-03-05,16.64,16.64,16.64,0.0,0.0,16.84,16.84,16.84,0.0,0.0,16.56,16.56,16.56,0.0,0.0,16.72,16.72,16.72,0.0,0.0
2017-03-12,17.05,17.05,17.05,0.0,0.0,17.17,17.17,17.17,0.0,0.0,16.92,16.92,16.92,0.0,0.0,17.16,17.16,17.16,0.0,0.0
2017-03-19,17.09,17.09,17.09,0.0,0.0,17.16,17.16,17.16,0.0,0.0,17.01,17.01,17.01,0.0,0.0,17.01,17.01,17.01,0.0,0.0
2017-03-26,17.45,17.45,17.45,0.0,0.0,17.5,17.5,17.5,0.0,0.0,17.41,17.41,17.41,0.0,0.0,17.44,17.44,17.44,0.0,0.0
2017-04-02,17.58,17.58,17.58,0.0,0.0,17.69,17.69,17.69,0.0,0.0,17.5,17.5,17.5,0.0,0.0,17.62,17.62,17.62,0.0,0.0
