Date,DDD_stock_Open_average,DDD_stock_Open_max,DDD_stock_Open_min,DDD_stock_Open_volatility,DDD_stock_Open_change,DDD_stock_High_average,DDD_stock_High_max,DDD_stock_High_min,DDD_stock_High_volatility,DDD_stock_High_change,DDD_stock_Low_average,DDD_stock_Low_max,DDD_stock_Low_min,DDD_stock_Low_volatility,DDD_stock_Low_change,DDD_stock_Close_average,DDD_stock_Close_max,DDD_stock_Close_min,DDD_stock_Close_volatility,DDD_stock_Close_change,DDD_stock_Volume_average,DDD_stock_Volume_max,DDD_stock_Volume_min,DDD_stock_Volume_volatility,DDD_stock_Volume_change
2016-01-03,9.094000000000001,9.83,8.47,1.3599999999999994,0.33000000000000007,9.684000000000001,10.24,9.16,1.08,-0.9900000000000002,8.714,9.29,8.3,0.9899999999999984,-0.16000000000000014,9.113999999999999,9.83,8.37,1.4600000000000009,-1.4600000000000009,4717418,7613660,3292779,4320881,-4012035
2016-01-10,7.776,8.39,7.18,1.2100000000000009,-1.2100000000000009,7.974,8.55,7.27,1.2800000000000011,-1.2800000000000011,7.348,7.8,6.66,1.1399999999999997,-1.1399999999999997,7.5440000000000005,8.01,7.01,1.0,-1.0,3418059,4117256,2770910,1346346,-528437
2016-01-17,6.7925,7.3,6.29,1.0099999999999998,-0.21999999999999975,7.23,7.75,6.64,1.1100000000000003,0.4500000000000002,6.5075,7.07,6.0,1.0700000000000003,0.5300000000000002,6.84,7.42,6.42,1.0,0.79,3988880,4717702,3003814,1713888,1713888
2016-01-24,7.388,7.72,6.96,0.7599999999999998,0.40000000000000036,7.79,8.2,7.46,0.7399999999999993,0.7399999999999993,7.212,7.7,6.69,1.0099999999999998,0.7300000000000004,7.534,8.01,6.98,1.0299999999999994,1.0299999999999994,2545486,3137577,1759825,1377752,-448837
2016-01-31,8.092,8.98,7.54,1.4400000000000004,1.0500000000000007,8.584,9.4,7.68,1.7200000000000006,1.46,7.882,8.5,7.4,1.0999999999999996,0.9699999999999998,8.338,9.13,7.45,1.6800000000000006,1.2399999999999993,3055776,4496904,1531451,2965453,1002231
2016-02-07,8.7,9.03,8.27,0.7599999999999998,0.07000000000000028,8.918,9.2,8.68,0.5199999999999996,0.14000000000000057,8.192,8.49,7.78,0.71,0.07000000000000028,8.506,8.76,8.07,0.6899999999999995,0.02999999999999936,3006056,4871207,2127736,2743471,369780
2016-02-14,9.195,9.5,8.64,0.8599999999999994,0.8599999999999994,9.61,9.88,9.24,0.6400000000000006,0.39000000000000057,8.94,9.17,8.36,0.8100000000000005,0.7800000000000011,9.42,9.6,9.24,0.35999999999999943,0.23000000000000043,2902086,3446485,2696359,750126,-64250
2016-02-21,9.948,10.41,9.52,0.8900000000000006,0.33999999999999986,10.44,10.61,10.2,0.41000000000000014,-0.08999999999999986,9.678,9.88,9.43,0.45000000000000107,0.3200000000000003,10.209999999999999,10.48,9.98,0.5,-0.11000000000000121,3131124,4737091,2287518,2449573,-1576686
2016-02-28,11.498,12.7,10.62,2.08,2.08,12.188,13.83,10.96,2.869999999999999,2.869999999999999,11.276,12.4,10.26,2.1400000000000006,2.1400000000000006,11.778,12.6,10.67,1.9299999999999997,1.9299999999999997,4663488,7718059,2887510,4830549,4830549
2016-03-06,12.104,12.69,11.47,1.2199999999999989,-1.0299999999999994,12.362,12.91,11.65,1.2599999999999998,-1.2599999999999998,11.478,12.01,11.01,1.0,-1.0,11.866,12.76,11.35,1.4100000000000001,-1.209999999999999,3884347,4929811,2798910,2130901,955773
2016-03-13,13.41,13.96,12.78,1.1800000000000015,0.6300000000000008,14.228,14.97,13.43,1.540000000000001,-0.08000000000000007,13.008000000000001,13.96,12.22,1.7400000000000002,1.1600000000000001,13.76,14.49,12.63,1.8599999999999994,0.040000000000000924,7664144,17232372,2939867,14292505,-12306033
2016-03-20,14.73,15.15,14.14,1.0099999999999998,-0.3699999999999992,15.265,15.45,14.81,0.6399999999999988,-0.6399999999999988,14.3325,14.92,13.6,1.3200000000000003,-0.9100000000000001,14.8825,15.21,14.44,0.7700000000000014,-0.35999999999999943,3717986,5514319,2718805,2795514,-2256357
2016-03-27,15.142,15.55,14.76,0.7900000000000009,0.5500000000000007,15.554,15.9,15.3,0.5999999999999996,0.1399999999999988,14.736,15.02,14.23,0.7899999999999991,0.11000000000000121,15.27,15.47,15.08,0.39000000000000057,0.03999999999999915,3619188,4180853,2800422,1380431,733659
2016-04-03,15.719999999999999,16.08,15.12,0.9599999999999991,0.9599999999999991,16.162,16.28,15.92,0.3600000000000012,0.29999999999999893,15.44,15.77,14.93,0.8399999999999999,0.46000000000000085,15.884,16.06,15.74,0.3199999999999985,-0.040000000000000924,3614914,4976452,2669721,2306731,-1610217
2016-04-10,16.992,18.25,15.73,2.5199999999999996,1.9899999999999984,17.624,19.76,16.65,3.110000000000003,1.4599999999999973,16.598,18.06,15.71,2.349999999999998,1.2899999999999991,17.03,18.28,16.49,1.7900000000000027,0.6600000000000001,6557521,14490254,3044229,11446025,4610151
2016-04-17,17.7,18.36,17.0,1.3599999999999994,1.3599999999999994,18.368,18.99,17.64,1.3499999999999979,1.3499999999999979,17.566,18.33,16.81,1.5199999999999996,1.5199999999999996,17.884,18.56,17.31,1.25,1.25,3530909,3957802,3114102,843700,-843700
2016-04-24,18.076,18.5,17.71,0.7899999999999991,-0.5800000000000018,18.54,18.91,18.17,0.7399999999999984,-0.5199999999999996,17.654,18.1,17.01,1.0899999999999999,-0.6000000000000014,18.11,18.55,17.69,0.8599999999999994,-0.6499999999999986,3338766,4357588,2767015,1590573,230451
