Date,VanEck Vectors Unconventional Oil & GasEtf_Open_average,VanEck Vectors Unconventional Oil & GasEtf_Open_max,VanEck Vectors Unconventional Oil & GasEtf_Open_min,VanEck Vectors Unconventional Oil & GasEtf_Open_volatility,VanEck Vectors Unconventional Oil & GasEtf_Open_change,VanEck Vectors Unconventional Oil & GasEtf_High_average,VanEck Vectors Unconventional Oil & GasEtf_High_max,VanEck Vectors Unconventional Oil & GasEtf_High_min,VanEck Vectors Unconventional Oil & GasEtf_High_volatility,VanEck Vectors Unconventional Oil & GasEtf_High_change,VanEck Vectors Unconventional Oil & GasEtf_Low_average,VanEck Vectors Unconventional Oil & GasEtf_Low_max,VanEck Vectors Unconventional Oil & GasEtf_Low_min,VanEck Vectors Unconventional Oil & GasEtf_Low_volatility,VanEck Vectors Unconventional Oil & GasEtf_Low_change,VanEck Vectors Unconventional Oil & GasEtf_Close_average,VanEck Vectors Unconventional Oil & GasEtf_Close_max,VanEck Vectors Unconventional Oil & GasEtf_Close_min,VanEck Vectors Unconventional Oil & GasEtf_Close_volatility,VanEck Vectors Unconventional Oil & GasEtf_Close_change
2016-01-03,12.01,12.01,12.01,0.0,0.0,12.19,12.19,12.19,0.0,0.0,11.83,11.83,11.83,0.0,0.0,12.03,12.03,12.03,0.0,0.0
2016-01-10,11.14,11.14,11.14,0.0,0.0,11.14,11.14,11.14,0.0,0.0,10.78,10.78,10.78,0.0,0.0,11.02,11.02,11.02,0.0,0.0
2016-01-17,11.86,11.86,11.86,0.0,0.0,11.94,11.94,11.94,0.0,0.0,11.63,11.63,11.63,0.0,0.0,11.81,11.81,11.81,0.0,0.0
2016-01-24,12.62,12.62,12.62,0.0,0.0,12.89,12.89,12.89,0.0,0.0,12.49,12.49,12.49,0.0,0.0,12.88,12.88,12.88,0.0,0.0
2016-01-31,12.5,12.5,12.5,0.0,0.0,12.5,12.5,12.5,0.0,0.0,12.05,12.05,12.05,0.0,0.0,12.19,12.19,12.19,0.0,0.0
2016-02-07,11.38,11.38,11.38,0.0,0.0,11.61,11.61,11.61,0.0,0.0,11.22,11.22,11.22,0.0,0.0,11.55,11.55,11.55,0.0,0.0
2016-02-14,11.68,11.68,11.68,0.0,0.0,11.68,11.68,11.68,0.0,0.0,11.41,11.41,11.41,0.0,0.0,11.63,11.63,11.63,0.0,0.0
2016-02-21,11.76,11.76,11.76,0.0,0.0,12.01,12.01,12.01,0.0,0.0,11.76,11.76,11.76,0.0,0.0,11.91,11.91,11.91,0.0,0.0
2016-02-28,13.13,13.13,13.13,0.0,0.0,13.84,13.84,13.84,0.0,0.0,13.05,13.05,13.05,0.0,0.0,13.46,13.46,13.46,0.0,0.0
2016-03-06,13.46,13.46,13.46,0.0,0.0,14.0,14.0,14.0,0.0,0.0,13.46,13.46,13.46,0.0,0.0,13.95,13.95,13.95,0.0,0.0
