Date,PowerShares DWA SmallCap Momentum Portfolio_etf_Open_average,PowerShares DWA SmallCap Momentum Portfolio_etf_Open_max,PowerShares DWA SmallCap Momentum Portfolio_etf_Open_min,PowerShares DWA SmallCap Momentum Portfolio_etf_Open_volatility,PowerShares DWA SmallCap Momentum Portfolio_etf_Open_change,PowerShares DWA SmallCap Momentum Portfolio_etf_High_average,PowerShares DWA SmallCap Momentum Portfolio_etf_High_max,PowerShares DWA SmallCap Momentum Portfolio_etf_High_min,PowerShares DWA SmallCap Momentum Portfolio_etf_High_volatility,PowerShares DWA SmallCap Momentum Portfolio_etf_High_change,PowerShares DWA SmallCap Momentum Portfolio_etf_Low_average,PowerShares DWA SmallCap Momentum Portfolio_etf_Low_max,PowerShares DWA SmallCap Momentum Portfolio_etf_Low_min,PowerShares DWA SmallCap Momentum Portfolio_etf_Low_volatility,PowerShares DWA SmallCap Momentum Portfolio_etf_Low_change,PowerShares DWA SmallCap Momentum Portfolio_etf_Close_average,PowerShares DWA SmallCap Momentum Portfolio_etf_Close_max,PowerShares DWA SmallCap Momentum Portfolio_etf_Close_min,PowerShares DWA SmallCap Momentum Portfolio_etf_Close_volatility,PowerShares DWA SmallCap Momentum Portfolio_etf_Close_change
2016-01-03,34.97,34.97,34.97,0.0,0.0,35.13,35.13,35.13,0.0,0.0,34.04,34.04,34.04,0.0,0.0,34.15,34.15,34.15,0.0,0.0
2016-01-10,32.38,32.38,32.38,0.0,0.0,32.88,32.88,32.88,0.0,0.0,31.89,31.89,31.89,0.0,0.0,32.83,32.83,32.83,0.0,0.0
2016-01-17,32.86,32.86,32.86,0.0,0.0,33.13,33.13,33.13,0.0,0.0,32.69,32.69,32.69,0.0,0.0,33.09,33.09,33.09,0.0,0.0
2016-01-24,32.37,32.37,32.37,0.0,0.0,33.35,33.35,33.35,0.0,0.0,32.37,32.37,32.37,0.0,0.0,33.35,33.35,33.35,0.0,0.0
2016-01-31,32.1,32.1,32.1,0.0,0.0,32.1,32.1,32.1,0.0,0.0,30.99,30.99,30.99,0.0,0.0,31.03,31.03,31.03,0.0,0.0
2016-02-07,30.44,30.44,30.44,0.0,0.0,30.72,30.72,30.72,0.0,0.0,30.28,30.28,30.28,0.0,0.0,30.62,30.62,30.62,0.0,0.0
2016-02-14,31.5,31.5,31.5,0.0,0.0,31.91,31.91,31.91,0.0,0.0,31.46,31.46,31.46,0.0,0.0,31.87,31.87,31.87,0.0,0.0
2016-02-21,32.94,32.94,32.94,0.0,0.0,32.95,32.95,32.95,0.0,0.0,32.77,32.77,32.77,0.0,0.0,32.92,32.92,32.92,0.0,0.0
2016-02-28,33.65,33.65,33.65,0.0,0.0,34.01,34.01,34.01,0.0,0.0,33.63,33.63,33.63,0.0,0.0,33.76,33.76,33.76,0.0,0.0
2016-03-06,33.29,33.29,33.29,0.0,0.0,33.73,33.73,33.73,0.0,0.0,33.18,33.18,33.18,0.0,0.0,33.71,33.71,33.71,0.0,0.0
