Date,LSIStock_Open_average,LSIStock_Open_max,LSIStock_Open_min,LSIStock_Open_volatility,LSIStock_Open_change,LSIStock_High_average,LSIStock_High_max,LSIStock_High_min,LSIStock_High_volatility,LSIStock_High_change,LSIStock_Low_average,LSIStock_Low_max,LSIStock_Low_min,LSIStock_Low_volatility,LSIStock_Low_change,LSIStock_Close_average,LSIStock_Close_max,LSIStock_Close_min,LSIStock_Close_volatility,LSIStock_Close_change,LSIStock_Volume_average,LSIStock_Volume_max,LSIStock_Volume_min,LSIStock_Volume_volatility,LSIStock_Volume_change
2016-01-03,107.532,108.15,106.23,1.9200000000000017,0.5300000000000011,109.354,109.93,108.65,1.2800000000000011,0.5100000000000051,107.072,108.02,105.46,2.5600000000000023,2.5600000000000023,108.048,108.95,106.35,2.6000000000000085,1.7000000000000028,339801,384837,256296,128541,44160
2016-01-10,109.134,110.29,106.65,3.6400000000000006,-1.809999999999988,110.498,112.11,109.51,2.5999999999999943,-0.4899999999999949,108.162,109.19,106.64,2.549999999999997,-1.6200000000000045,109.446,109.79,108.92,0.8700000000000045,-0.5799999999999983,472286,553274,336103,217171,201266
2016-01-17,106.8075,109.92,105.66,4.260000000000005,-4.010000000000005,108.22749999999999,111.22,106.17,5.049999999999997,-2.1400000000000006,105.8025,109.22,104.31,4.909999999999997,-4.090000000000003,107.1975,109.79,104.9,4.890000000000001,-0.8900000000000006,1199829,3258893,294357,2964536,305627
2016-01-24,109.926,111.5,108.88,2.6200000000000045,0.060000000000002274,111.446,112.73,110.21,2.5200000000000102,2.5200000000000102,108.678,109.28,108.21,1.0700000000000074,1.0700000000000074,110.156,112.68,108.6,4.0800000000000125,4.0800000000000125,402320,648962,300560,348402,348402
2016-01-31,111.41199999999999,113.16,108.71,4.450000000000003,-3.5400000000000063,112.1,113.99,108.71,5.280000000000001,-5.280000000000001,109.066,111.66,103.66,8.0,-8.0,109.95,112.88,103.81,9.069999999999993,-9.069999999999993,417061,679156,275751,403405,254320
2016-02-07,101.962,103.3,100.38,2.9200000000000017,-0.5099999999999909,103.262,103.69,102.41,1.2800000000000011,-0.8100000000000023,100.178,102.08,98.8,3.280000000000001,1.210000000000008,101.78,102.15,101.17,0.980000000000004,0.4399999999999977,356523,523587,230342,293245,-251821
2016-02-14,103.94,105.66,103.16,2.5,0.4300000000000068,105.3625,107.02,103.69,3.3299999999999983,3.3299999999999983,102.7925,103.08,102.19,0.8900000000000006,0.7400000000000091,104.4275,106.57,102.94,3.6299999999999955,3.6299999999999955,444688,573732,349819,223913,143399
2016-02-21,107.18,109.01,105.86,3.1500000000000057,1.0200000000000102,108.482,109.33,107.44,1.8900000000000006,1.0600000000000023,106.208,108.43,104.49,3.940000000000012,2.6000000000000085,107.24,109.06,105.68,3.3799999999999955,2.069999999999993,311158,346667,267485,79182,911
2016-02-28,108.282,109.25,107.27,1.980000000000004,1.5,109.278,110.2,108.89,1.3100000000000023,1.2000000000000028,107.008,107.8,106.25,1.5499999999999972,1.3199999999999932,108.06400000000001,109.06,106.44,2.6200000000000045,1.8100000000000023,460385,808425,315037,493388,-422244
2016-03-06,108.63,109.79,107.82,1.970000000000013,1.970000000000013,109.718,111.44,108.59,2.8499999999999943,2.8499999999999943,108.05199999999999,109.7,107.33,2.3700000000000045,2.180000000000007,109.126,111.34,108.02,3.3200000000000074,2.7700000000000102,255030,293404,202422,90982,-10401
