Date,ProShares Ultra Bloomberg Natural Gas_etf_Open_average,ProShares Ultra Bloomberg Natural Gas_etf_Open_max,ProShares Ultra Bloomberg Natural Gas_etf_Open_min,ProShares Ultra Bloomberg Natural Gas_etf_Open_volatility,ProShares Ultra Bloomberg Natural Gas_etf_Open_change,ProShares Ultra Bloomberg Natural Gas_etf_High_average,ProShares Ultra Bloomberg Natural Gas_etf_High_max,ProShares Ultra Bloomberg Natural Gas_etf_High_min,ProShares Ultra Bloomberg Natural Gas_etf_High_volatility,ProShares Ultra Bloomberg Natural Gas_etf_High_change,ProShares Ultra Bloomberg Natural Gas_etf_Low_average,ProShares Ultra Bloomberg Natural Gas_etf_Low_max,ProShares Ultra Bloomberg Natural Gas_etf_Low_min,ProShares Ultra Bloomberg Natural Gas_etf_Low_volatility,ProShares Ultra Bloomberg Natural Gas_etf_Low_change,ProShares Ultra Bloomberg Natural Gas_etf_Close_average,ProShares Ultra Bloomberg Natural Gas_etf_Close_max,ProShares Ultra Bloomberg Natural Gas_etf_Close_min,ProShares Ultra Bloomberg Natural Gas_etf_Close_volatility,ProShares Ultra Bloomberg Natural Gas_etf_Close_change
2016-01-03,96.0,96.0,96.0,0.0,0.0,102.65,102.65,102.65,0.0,0.0,95.42,95.42,95.42,0.0,0.0,101.15,101.15,101.15,0.0,0.0
2016-01-10,76.5,76.5,76.5,0.0,0.0,76.8,76.8,76.8,0.0,0.0,73.3,73.3,73.3,0.0,0.0,74.8,74.8,74.8,0.0,0.0
2016-01-17,74.85,74.85,74.85,0.0,0.0,77.25,77.25,77.25,0.0,0.0,74.2,74.2,74.2,0.0,0.0,76.5,76.5,76.5,0.0,0.0
2016-01-24,84.95,84.95,84.95,0.0,0.0,87.6,87.6,87.6,0.0,0.0,83.8,83.8,83.8,0.0,0.0,87.6,87.6,87.6,0.0,0.0
2016-01-31,66.05,66.05,66.05,0.0,0.0,69.1,69.1,69.1,0.0,0.0,66.05,66.05,66.05,0.0,0.0,68.25,68.25,68.25,0.0,0.0
2016-02-07,64.2,64.2,64.2,0.0,0.0,64.7,64.7,64.7,0.0,0.0,62.3,62.3,62.3,0.0,0.0,63.2,63.2,63.2,0.0,0.0
2016-02-14,56.6,56.6,56.6,0.0,0.0,56.6,56.6,56.6,0.0,0.0,53.9,53.9,53.9,0.0,0.0,54.1,54.1,54.1,0.0,0.0
2016-02-21,49.95,49.95,49.95,0.0,0.0,50.4,50.4,50.4,0.0,0.0,46.75,46.75,46.75,0.0,0.0,50.3,50.3,50.3,0.0,0.0
2016-02-28,44.8,44.8,44.8,0.0,0.0,45.9,45.9,45.9,0.0,0.0,44.0,44.0,44.0,0.0,0.0,45.6,45.6,45.6,0.0,0.0
2016-03-06,52.6,52.6,52.6,0.0,0.0,53.75,53.75,53.75,0.0,0.0,51.0,51.0,51.0,0.0,0.0,52.05,52.05,52.05,0.0,0.0
2016-03-13,57.05,57.05,57.05,0.0,0.0,57.6,57.6,57.6,0.0,0.0,54.7,54.7,54.7,0.0,0.0,55.3,55.3,55.3,0.0,0.0
2016-03-20,48.55,48.55,48.55,0.0,0.0,51.0,51.0,51.0,0.0,0.0,48.4,48.4,48.4,0.0,0.0,50.3,50.3,50.3,0.0,0.0
2016-03-27,53.85,53.85,53.85,0.0,0.0,54.2,54.2,54.2,0.0,0.0,52.25,52.25,52.25,0.0,0.0,53.65,53.65,53.65,0.0,0.0
2016-04-03,57.4,57.4,57.4,0.0,0.0,57.4,57.4,57.4,0.0,0.0,55.2,55.2,55.2,0.0,0.0,55.4,55.4,55.4,0.0,0.0
2016-04-10,52.35,52.35,52.35,0.0,0.0,53.2,53.2,53.2,0.0,0.0,51.9,51.9,51.9,0.0,0.0,52.35,52.35,52.35,0.0,0.0
2016-04-17,63.55,63.55,63.55,0.0,0.0,67.4,67.4,67.4,0.0,0.0,62.7,62.7,62.7,0.0,0.0,65.2,65.2,65.2,0.0,0.0
2016-04-24,59.75,59.75,59.75,0.0,0.0,63.6,63.6,63.6,0.0,0.0,58.75,58.75,58.75,0.0,0.0,61.3,61.3,61.3,0.0,0.0
2016-05-01,57.45,57.45,57.45,0.0,0.0,59.62,59.62,59.62,0.0,0.0,57.0,57.0,57.0,0.0,0.0,58.15,58.15,58.15,0.0,0.0
2016-05-08,59.0,59.0,59.0,0.0,0.0,61.2,61.2,61.2,0.0,0.0,58.05,58.05,58.05,0.0,0.0,58.3,58.3,58.3,0.0,0.0
2016-05-15,56.5,56.5,56.5,0.0,0.0,57.15,57.15,57.15,0.0,0.0,55.8,55.8,55.8,0.0,0.0,55.8,55.8,55.8,0.0,0.0
2016-05-22,53.75,53.75,53.75,0.0,0.0,55.35,55.35,55.35,0.0,0.0,53.4,53.4,53.4,0.0,0.0,54.1,54.1,54.1,0.0,0.0
2016-05-29,67.5,67.5,67.5,0.0,0.0,68.5,68.5,68.5,0.0,0.0,65.3,65.3,65.3,0.0,0.0,66.2,66.2,66.2,0.0,0.0
2016-06-05,75.5,75.5,75.5,0.0,0.0,76.6,76.6,76.6,0.0,0.0,73.2,73.2,73.2,0.0,0.0,74.8,74.8,74.8,0.0,0.0
2016-06-12,74.7,74.7,74.7,0.0,0.0,76.9,76.9,76.9,0.0,0.0,74.68,74.68,74.68,0.0,0.0,76.9,76.9,76.9,0.0,0.0
2016-06-19,76.95,76.95,76.95,0.0,0.0,77.95,77.95,77.95,0.0,0.0,76.0,76.0,76.0,0.0,0.0,76.15,76.15,76.15,0.0,0.0
2016-06-26,87.45,87.45,87.45,0.0,0.0,93.15,93.15,93.15,0.0,0.0,86.6,86.6,86.6,0.0,0.0,92.7,92.7,92.7,0.0,0.0
2016-07-03,79.8,79.8,79.8,0.0,0.0,81.02,81.02,81.02,0.0,0.0,79.3,79.3,79.3,0.0,0.0,81.02,81.02,81.02,0.0,0.0
2016-07-10,73.5,73.5,73.5,0.0,0.0,77.95,77.95,77.95,0.0,0.0,72.7,72.7,72.7,0.0,0.0,76.5,76.5,76.5,0.0,0.0
2016-07-17,75.15,75.15,75.15,0.0,0.0,78.77,78.77,78.77,0.0,0.0,75.15,75.15,75.15,0.0,0.0,77.3,77.3,77.3,0.0,0.0
2016-07-24,84.95,84.95,84.95,0.0,0.0,86.3,86.3,86.3,0.0,0.0,83.8,83.8,83.8,0.0,0.0,83.8,83.8,83.8,0.0,0.0
2016-07-31,79.55,79.55,79.55,0.0,0.0,80.15,80.15,80.15,0.0,0.0,77.6,77.6,77.6,0.0,0.0,77.7,77.7,77.7,0.0,0.0
2016-08-07,69.85,69.85,69.85,0.0,0.0,70.44,70.44,70.44,0.0,0.0,68.0,68.0,68.0,0.0,0.0,68.42,68.42,68.42,0.0,0.0
