Date,Rogers International Commodity Total ReturnEtf_Open_average,Rogers International Commodity Total ReturnEtf_Open_max,Rogers International Commodity Total ReturnEtf_Open_min,Rogers International Commodity Total ReturnEtf_Open_volatility,Rogers International Commodity Total ReturnEtf_Open_change,Rogers International Commodity Total ReturnEtf_High_average,Rogers International Commodity Total ReturnEtf_High_max,Rogers International Commodity Total ReturnEtf_High_min,Rogers International Commodity Total ReturnEtf_High_volatility,Rogers International Commodity Total ReturnEtf_High_change,Rogers International Commodity Total ReturnEtf_Low_average,Rogers International Commodity Total ReturnEtf_Low_max,Rogers International Commodity Total ReturnEtf_Low_min,Rogers International Commodity Total ReturnEtf_Low_volatility,Rogers International Commodity Total ReturnEtf_Low_change,Rogers International Commodity Total ReturnEtf_Close_average,Rogers International Commodity Total ReturnEtf_Close_max,Rogers International Commodity Total ReturnEtf_Close_min,Rogers International Commodity Total ReturnEtf_Close_volatility,Rogers International Commodity Total ReturnEtf_Close_change
2016-01-03,4.45,4.45,4.45,0.0,0.0,4.45,4.45,4.45,0.0,0.0,4.4,4.4,4.4,0.0,0.0,4.42,4.42,4.42,0.0,0.0
2016-01-10,4.23,4.23,4.23,0.0,0.0,4.23,4.23,4.23,0.0,0.0,4.17,4.17,4.17,0.0,0.0,4.2,4.2,4.2,0.0,0.0
2016-01-17,4.25,4.25,4.25,0.0,0.0,4.31,4.31,4.31,0.0,0.0,4.25,4.25,4.25,0.0,0.0,4.3,4.3,4.3,0.0,0.0
2016-01-24,4.4,4.4,4.4,0.0,0.0,4.44,4.44,4.44,0.0,0.0,4.39,4.39,4.39,0.0,0.0,4.44,4.44,4.44,0.0,0.0
2016-01-31,4.35,4.35,4.35,0.0,0.0,4.37,4.37,4.37,0.0,0.0,4.31,4.31,4.31,0.0,0.0,4.34,4.34,4.34,0.0,0.0
2016-02-07,4.23,4.23,4.23,0.0,0.0,4.31,4.31,4.31,0.0,0.0,4.22,4.22,4.22,0.0,0.0,4.28,4.28,4.28,0.0,0.0
2016-02-14,4.3,4.3,4.3,0.0,0.0,4.3,4.3,4.3,0.0,0.0,4.27,4.27,4.27,0.0,0.0,4.29,4.29,4.29,0.0,0.0
2016-02-21,4.39,4.39,4.39,0.0,0.0,4.4,4.4,4.4,0.0,0.0,4.3,4.3,4.3,0.0,0.0,4.32,4.32,4.32,0.0,0.0
2016-02-28,4.44,4.44,4.44,0.0,0.0,4.52,4.52,4.52,0.0,0.0,4.42,4.42,4.42,0.0,0.0,4.52,4.52,4.52,0.0,0.0
2016-03-06,4.64,4.64,4.64,0.0,0.0,4.65,4.65,4.65,0.0,0.0,4.61,4.61,4.61,0.0,0.0,4.62,4.62,4.62,0.0,0.0
