Date,First Trust NASDAQ-100 Tech Sector_etf_Open_average,First Trust NASDAQ-100 Tech Sector_etf_Open_max,First Trust NASDAQ-100 Tech Sector_etf_Open_min,First Trust NASDAQ-100 Tech Sector_etf_Open_volatility,First Trust NASDAQ-100 Tech Sector_etf_Open_change,First Trust NASDAQ-100 Tech Sector_etf_High_average,First Trust NASDAQ-100 Tech Sector_etf_High_max,First Trust NASDAQ-100 Tech Sector_etf_High_min,First Trust NASDAQ-100 Tech Sector_etf_High_volatility,First Trust NASDAQ-100 Tech Sector_etf_High_change,First Trust NASDAQ-100 Tech Sector_etf_Low_average,First Trust NASDAQ-100 Tech Sector_etf_Low_max,First Trust NASDAQ-100 Tech Sector_etf_Low_min,First Trust NASDAQ-100 Tech Sector_etf_Low_volatility,First Trust NASDAQ-100 Tech Sector_etf_Low_change,First Trust NASDAQ-100 Tech Sector_etf_Close_average,First Trust NASDAQ-100 Tech Sector_etf_Close_max,First Trust NASDAQ-100 Tech Sector_etf_Close_min,First Trust NASDAQ-100 Tech Sector_etf_Close_volatility,First Trust NASDAQ-100 Tech Sector_etf_Close_change
2016-01-03,40.0,40.0,40.0,0.0,0.0,40.04,40.04,40.04,0.0,0.0,39.12,39.12,39.12,0.0,0.0,39.12,39.12,39.12,0.0,0.0
2016-01-10,37.74,37.74,37.74,0.0,0.0,37.98,37.98,37.98,0.0,0.0,37.05,37.05,37.05,0.0,0.0,37.59,37.59,37.59,0.0,0.0
2016-01-17,38.3,38.3,38.3,0.0,0.0,38.5,38.5,38.5,0.0,0.0,38.14,38.14,38.14,0.0,0.0,38.41,38.41,38.41,0.0,0.0
2016-01-24,38.21,38.21,38.21,0.0,0.0,39.37,39.37,39.37,0.0,0.0,38.21,38.21,38.21,0.0,0.0,39.33,39.33,39.33,0.0,0.0
2016-01-31,38.84,38.84,38.84,0.0,0.0,38.84,38.84,38.84,0.0,0.0,37.46,37.46,37.46,0.0,0.0,37.5,37.5,37.5,0.0,0.0
2016-02-07,36.68,36.68,36.68,0.0,0.0,37.15,37.15,37.15,0.0,0.0,36.38,36.38,36.38,0.0,0.0,37.15,37.15,37.15,0.0,0.0
2016-02-14,38.92,38.92,38.92,0.0,0.0,39.26,39.26,39.26,0.0,0.0,38.78,38.78,38.78,0.0,0.0,39.2,39.2,39.2,0.0,0.0
2016-02-21,40.21,40.21,40.21,0.0,0.0,40.3,40.3,40.3,0.0,0.0,39.92,39.92,39.92,0.0,0.0,40.02,40.02,40.02,0.0,0.0
2016-02-28,41.2,41.2,41.2,0.0,0.0,41.71,41.71,41.71,0.0,0.0,41.03,41.03,41.03,0.0,0.0,41.44,41.44,41.44,0.0,0.0
2016-03-06,41.65,41.65,41.65,0.0,0.0,42.1,42.1,42.1,0.0,0.0,41.65,41.65,41.65,0.0,0.0,42.1,42.1,42.1,0.0,0.0
