Date,BAS_stock_Open_average,BAS_stock_Open_max,BAS_stock_Open_min,BAS_stock_Open_volatility,BAS_stock_Open_change,BAS_stock_High_average,BAS_stock_High_max,BAS_stock_High_min,BAS_stock_High_volatility,BAS_stock_High_change,BAS_stock_Low_average,BAS_stock_Low_max,BAS_stock_Low_min,BAS_stock_Low_volatility,BAS_stock_Low_change,BAS_stock_Close_average,BAS_stock_Close_max,BAS_stock_Close_min,BAS_stock_Close_volatility,BAS_stock_Close_change,BAS_stock_Volume_average,BAS_stock_Volume_max,BAS_stock_Volume_min,BAS_stock_Volume_volatility,BAS_stock_Volume_change
2016-01-03,2.3680000000000003,2.64,1.99,0.6500000000000001,-0.6100000000000001,2.434,2.72,2.01,0.7100000000000004,-0.6900000000000004,2.1719999999999997,2.46,1.79,0.6699999999999999,-0.6699999999999999,2.25,2.58,1.91,0.6700000000000002,-0.6700000000000002,2141159,3362274,1598267,1764007,125124
2016-01-10,1.84,1.95,1.68,0.27,-0.26,1.8800000000000001,1.98,1.73,0.25,-0.25,1.696,1.77,1.6,0.16999999999999993,-0.15999999999999992,1.796,1.85,1.73,0.1200000000000001,-0.050000000000000044,1862369,3052262,954526,2097736,-2039439
2016-01-17,1.97,2.32,1.78,0.5399999999999998,0.42999999999999994,2.1675,2.42,1.99,0.42999999999999994,0.3900000000000001,1.915,2.27,1.73,0.54,0.44999999999999996,2.0925,2.32,1.9,0.41999999999999993,0.3799999999999999,1733913,2551777,1213525,1338252,-279026
2016-01-24,2.132,2.21,2.04,0.16999999999999993,-0.08000000000000007,2.238,2.31,2.12,0.18999999999999995,0.0,2.018,2.11,1.9,0.20999999999999996,0.06000000000000005,2.11,2.3,2.01,0.29000000000000004,0.22999999999999998,1145639,1640646,727294,913352,563348
2016-01-31,2.1,2.12,2.08,0.040000000000000036,0.0,2.2359999999999998,2.32,2.13,0.18999999999999995,-0.06000000000000005,2.0,2.05,1.85,0.19999999999999973,-0.009999999999999787,2.118,2.25,2.06,0.18999999999999995,-0.18999999999999995,771270,1161167,382501,778666,-22745
2016-02-07,1.768,2.01,1.64,0.3699999999999999,-0.3699999999999999,1.8639999999999999,2.03,1.67,0.3599999999999999,-0.06999999999999984,1.656,1.8,1.52,0.28,-0.16000000000000014,1.722,1.86,1.63,0.2300000000000002,-0.1100000000000001,872693,1352356,544976,807380,521389
2016-02-14,1.8575,2.03,1.77,0.2599999999999998,-0.08000000000000007,1.9925,2.07,1.88,0.18999999999999995,0.10000000000000009,1.7650000000000001,1.79,1.72,0.07000000000000006,0.050000000000000044,1.8625,1.99,1.78,0.20999999999999996,0.08000000000000007,701410,871537,456940,414597,174113
2016-02-21,1.87,1.94,1.84,0.09999999999999987,-0.029999999999999805,1.946,2.02,1.88,0.14000000000000012,-0.08000000000000007,1.814,1.88,1.76,0.11999999999999988,-0.05999999999999983,1.88,1.98,1.8,0.17999999999999994,-0.11999999999999988,694267,825117,626776,198341,-170200
2016-02-28,1.958,2.39,1.77,0.6200000000000001,0.52,2.188,2.83,1.91,0.9200000000000002,0.9200000000000002,1.8780000000000001,2.22,1.73,0.4900000000000002,0.4900000000000002,2.086,2.62,1.75,0.8700000000000001,0.8700000000000001,2263017,4655178,798140,3857038,3857038
2016-03-06,3.0,3.36,2.7,0.6599999999999997,0.3599999999999999,3.306,3.74,3.1,0.6400000000000001,-0.5100000000000002,2.71,2.97,2.58,0.3900000000000001,0.3400000000000003,3.072,3.59,2.7,0.8899999999999997,-0.4299999999999997,3262334,6440581,1594091,4846490,-4840646
2016-03-13,3.078,3.31,2.93,0.3799999999999999,0.30000000000000027,3.202,3.47,3.0,0.4700000000000002,0.3600000000000003,2.93,3.12,2.75,0.3700000000000001,0.3700000000000001,3.132,3.46,2.92,0.54,0.43000000000000016,1882647,2652126,875695,1776431,1380102
2016-03-20,3.0275,3.38,2.53,0.8500000000000001,-0.8500000000000001,3.105,3.42,2.75,0.6699999999999999,-0.6699999999999999,2.7925,3.11,2.38,0.73,-0.73,2.945,3.26,2.67,0.5899999999999999,-0.5299999999999998,1297244,1722362,910557,811805,-630681
2016-03-27,2.67,2.8,2.6,0.19999999999999973,-0.06999999999999984,2.768,2.84,2.7,0.13999999999999968,-0.009999999999999787,2.504,2.6,2.41,0.18999999999999995,0.06999999999999984,2.67,2.76,2.52,0.23999999999999977,-0.18000000000000016,1026298,1216664,780402,436262,-250443
2016-04-03,2.402,2.5,2.32,0.18000000000000016,-0.18000000000000016,2.484,2.58,2.4,0.18000000000000016,-0.10999999999999988,2.262,2.4,2.16,0.23999999999999977,-0.10999999999999988,2.358,2.45,2.2,0.25,-0.07000000000000028,1257073,1720125,784669,935456,179723
2016-04-10,2.488,2.68,2.38,0.30000000000000027,0.30000000000000027,2.63,2.81,2.52,0.29000000000000004,0.0900000000000003,2.352,2.51,2.24,0.2699999999999996,0.050000000000000266,2.512,2.72,2.4,0.3200000000000003,0.14000000000000012,2135482,3304701,1372553,1932148,-862669
2016-04-17,2.59,2.8,2.36,0.43999999999999995,0.43999999999999995,2.804,3.0,2.59,0.41000000000000014,0.3700000000000001,2.5,2.72,2.34,0.38000000000000034,0.38000000000000034,2.62,2.86,2.48,0.3799999999999999,0.3799999999999999,1971551,3093529,1161731,1931798,1508326
2016-04-24,2.832,2.97,2.72,0.25,0.10000000000000009,3.012,3.25,2.83,0.41999999999999993,0.25,2.7520000000000002,2.97,2.6,0.3700000000000001,0.3700000000000001,2.858,3.2,2.7,0.5,0.5,2491092,3974122,1186742,2787380,1836211
2016-05-01,2.946,3.22,2.73,0.4900000000000002,-0.4900000000000002,3.098,3.24,2.94,0.30000000000000027,-0.30000000000000027,2.77,2.88,2.65,0.22999999999999998,-0.22999999999999998,2.864,3.0,2.7,0.2999999999999998,-0.2999999999999998,1788046,2434299,1071739,1362560,-660924
2016-05-08,2.568,2.66,2.42,0.2400000000000002,-0.2400000000000002,2.66,2.75,2.5,0.25,-0.18999999999999995,2.404,2.5,2.29,0.20999999999999996,-0.14000000000000012,2.48,2.56,2.37,0.18999999999999995,-0.16999999999999993,1604133,2274035,751467,1522568,449399
2016-05-15,2.304,2.46,2.06,0.3999999999999999,-0.3999999999999999,2.368,2.55,2.14,0.4099999999999997,-0.4099999999999997,2.176,2.36,1.98,0.3799999999999999,-0.3599999999999999,2.2319999999999998,2.39,2.06,0.33000000000000007,-0.33000000000000007,1573102,2506356,736496,1769860,-728044
2016-05-22,2.058,2.19,1.9,0.29000000000000004,0.14000000000000012,2.124,2.25,1.99,0.26,0.1200000000000001,1.958,2.09,1.85,0.23999999999999977,0.09999999999999987,2.016,2.17,1.87,0.2999999999999998,0.1299999999999999,1458062,2015730,945907,1069823,-721838
2016-05-29,1.9224999999999999,2.01,1.82,0.18999999999999972,-0.07999999999999985,1.9842499999999998,2.09,1.9369999999999998,0.15300000000000002,-0.11999999999999988,1.83,1.94,1.76,0.17999999999999994,-0.10999999999999988,1.895,1.96,1.83,0.1299999999999999,-0.10999999999999988,1308017,2146640,809369,1337271,-339608
2016-06-05,2.052,2.2,1.9,0.30000000000000027,0.10000000000000009,2.191,2.41,2.065,0.3450000000000002,-0.10499999999999998,1.968,2.05,1.89,0.15999999999999992,0.040000000000000036,2.054,2.16,1.94,0.2200000000000002,-0.20000000000000018,1786034,3233644,815548,2418096,-905570
2016-06-12,1.934,2.0,1.85,0.1499999999999999,-0.07999999999999985,1.991,2.055,1.89,0.16500000000000026,-0.1100000000000001,1.832,1.91,1.71,0.19999999999999996,-0.030000000000000027,1.914,1.98,1.79,0.18999999999999995,-0.040000000000000036,1123270,1584238,542618,1041620,359044
2016-06-19,1.8719999999999999,1.98,1.7,0.28,-0.28,1.902,2.02,1.73,0.29000000000000004,-0.29000000000000004,1.75,1.85,1.6,0.25,-0.25,1.782,1.89,1.63,0.26,-0.2300000000000002,2344125,5973671,910194,5063477,4771160
2016-06-26,1.588,1.73,1.49,0.24,0.1299999999999999,1.684,1.8,1.54,0.26,0.17000000000000015,1.51,1.65,1.44,0.20999999999999996,0.20999999999999996,1.578,1.68,1.46,0.21999999999999997,0.20999999999999996,1892660,2382790,1291067,1091723,434600
2016-07-03,1.53,1.64,1.48,0.15999999999999992,-0.15999999999999992,1.56425,1.64,1.4969999999999999,0.14300000000000002,-0.09999999999999987,1.46,1.49,1.44,0.050000000000000044,-0.030000000000000027,1.4725,1.51,1.45,0.06000000000000005,-0.040000000000000036,1186588,1364026,967347,396679,-71233
2016-07-10,1.42,1.48,1.36,0.11999999999999988,-0.08000000000000007,1.446,1.51,1.4,0.1100000000000001,-0.1100000000000001,1.338,1.39,1.31,0.07999999999999985,0.020000000000000018,1.37,1.41,1.34,0.06999999999999984,-0.010000000000000009,1622885,2180426,838000,1342426,-902702
2016-07-17,1.332,1.41,1.25,0.15999999999999992,-0.1100000000000001,1.354,1.44,1.28,0.15999999999999992,-0.15999999999999992,1.186,1.33,0.84,0.4900000000000001,-0.4700000000000001,1.234,1.41,0.89,0.5199999999999999,-0.5199999999999999,2146558,7107133,648601,6458532,6126392
2016-07-24,0.8596,0.91,0.8,0.10999999999999999,-0.07999999999999996,0.8804000000000001,0.9390000000000001,0.8,0.139,-0.139,0.8014,0.85,0.7,0.15000000000000002,-0.15000000000000002,0.8201999999999999,0.91,0.7,0.21000000000000008,-0.21000000000000008,1759123,2143027,1225223,917804,-103851
2016-07-31,0.6984,0.8059999999999999,0.65,0.15599999999999992,0.11599999999999999,0.7536,0.83,0.7,0.13,0.11099999999999988,0.655,0.723,0.61,0.11299999999999999,0.11299999999999999,0.6956,0.75,0.65,0.09999999999999998,0.052000000000000046,1898817,3364218,934621,2429597,-450429
2016-08-07,0.758,0.8,0.7,0.10000000000000009,0.008000000000000118,0.78,0.81,0.7440000000000001,0.06599999999999995,-0.04799999999999993,0.715,0.754,0.68,0.07399999999999995,-0.06099999999999994,0.7302,0.77,0.7,0.07000000000000006,-0.05800000000000005,1277631,1491094,1037471,453623,146640
2016-08-14,0.677,0.7,0.66,0.039999999999999925,0.039999999999999925,0.7172,0.738,0.71,0.028000000000000025,-0.028000000000000025,0.6566,0.6759999999999999,0.645,0.030999999999999917,0.0020000000000000018,0.6794,0.693,0.657,0.03599999999999992,-0.008000000000000007,1701367,2421727,1104996,1316731,-1316731
2016-08-21,0.586,0.65,0.5,0.15000000000000002,-0.15000000000000002,0.6008,0.67,0.534,0.136,-0.13,0.5334,0.64,0.43,0.21000000000000002,-0.18700000000000006,0.5614,0.65,0.47700000000000004,0.173,-0.173,2466924,4925728,1557939,3367789,361608
2016-08-28,0.43639999999999995,0.47,0.37,0.09999999999999998,0.006000000000000005,0.4878,0.565,0.44799999999999995,0.11699999999999999,0.08899999999999991,0.4142,0.45,0.37,0.08000000000000002,0.0,0.436,0.47,0.371,0.09899999999999998,0.009999999999999953,2732960,5046124,1028966,4017158,4017158
2016-09-04,0.499,0.67,0.42,0.25000000000000006,0.19000000000000006,0.6075,0.76,0.44,0.32,0.23599999999999993,0.44775,0.551,0.41,0.14100000000000007,0.14100000000000007,0.5325,0.75,0.41,0.34,0.15000000000000008,6439522,13023338,1306256,11717082,6190573
2016-09-11,0.586,0.63,0.55,0.07999999999999996,0.019999999999999907,0.6364000000000001,0.674,0.5720000000000001,0.10199999999999998,-0.10199999999999998,0.5322,0.5529999999999999,0.51,0.04299999999999993,0.0020000000000000018,0.5780000000000001,0.613,0.545,0.06799999999999995,-0.06799999999999995,2968309,4535950,2397485,2138465,-2065539
2016-09-18,0.578,0.625,0.54,0.08499999999999996,0.010000000000000009,0.5956,0.629,0.5529999999999999,0.07600000000000007,-0.05700000000000005,0.5336000000000001,0.562,0.5,0.062000000000000055,-0.030000000000000027,0.5598,0.607,0.507,0.09999999999999998,-0.09999999999999998,1605221,2151047,1311064,839983,-839983
2016-09-25,0.606,0.85,0.5,0.35,0.35,0.7162000000000001,0.93,0.546,0.384,0.3470000000000001,0.5744,0.762,0.46799999999999997,0.29400000000000004,0.29400000000000004,0.6662,0.8290000000000001,0.525,0.30400000000000005,0.29900000000000004,6919164,15104708,650551,14454157,9024237
2016-10-02,0.8152,0.863,0.743,0.12,-0.06299999999999994,0.8466,0.898,0.8,0.09799999999999998,-0.09799999999999998,0.7316,0.8,0.65,0.15000000000000002,-0.15000000000000002,0.762,0.8290000000000001,0.703,0.1260000000000001,-0.1260000000000001,5810956,9237937,3466649,5771288,-5147994
2016-10-09,0.6896,0.74,0.6,0.14,-0.128,0.7074,0.77,0.637,0.133,-0.133,0.6418,0.713,0.55,0.16299999999999992,-0.11299999999999999,0.6668,0.74,0.595,0.14500000000000002,-0.123,1736244,2484363,1002715,1481648,-818952
