Date,EDUC_stock_Open_average,EDUC_stock_Open_max,EDUC_stock_Open_min,EDUC_stock_Open_volatility,EDUC_stock_Open_change,EDUC_stock_High_average,EDUC_stock_High_max,EDUC_stock_High_min,EDUC_stock_High_volatility,EDUC_stock_High_change,EDUC_stock_Low_average,EDUC_stock_Low_max,EDUC_stock_Low_min,EDUC_stock_Low_volatility,EDUC_stock_Low_change,EDUC_stock_Close_average,EDUC_stock_Close_max,EDUC_stock_Close_min,EDUC_stock_Close_volatility,EDUC_stock_Close_change,EDUC_stock_Volume_average,EDUC_stock_Volume_max,EDUC_stock_Volume_min,EDUC_stock_Volume_volatility,EDUC_stock_Volume_change
2016-01-03,10.418,10.93,9.39,1.5399999999999991,-1.299999999999999,10.722,11.27,9.86,1.4100000000000001,-1.4100000000000001,10.008,10.93,9.02,1.9100000000000001,-1.4499999999999993,10.252,11.02,9.26,1.7599999999999998,-1.299999999999999,36028,54500,19352,35148,-32358
2016-01-10,9.873999999999999,11.29,8.95,2.34,-1.3099999999999987,10.408,11.29,9.74,1.549999999999999,-1.3099999999999987,9.028,9.45,8.63,0.8199999999999985,-0.22000000000000064,9.306000000000001,9.56,8.98,0.5800000000000001,-0.25,29727,39590,12825,26765,10379
2016-01-17,9.7175,10.1,9.3,0.7999999999999989,0.7999999999999989,10.5775,11.41,10.11,1.3000000000000007,1.3000000000000007,9.030000000000001,9.3,8.73,0.5700000000000003,-0.010000000000001563,10.030000000000001,10.81,9.73,1.08,1.0500000000000007,40756,48285,32927,15358,736
2016-01-24,11.254,11.73,10.8,0.9299999999999997,-0.7400000000000002,11.52,11.8,11.25,0.5500000000000007,-0.5500000000000007,10.6,10.97,9.98,0.9900000000000002,-0.7799999999999994,10.98,11.49,10.53,0.9600000000000009,-0.8500000000000014,28544,49082,18289,30793,-22756
2016-01-31,10.506,10.9,10.1,0.8000000000000007,-0.41999999999999993,10.784,10.93,10.47,0.4599999999999991,-0.20999999999999908,9.978,10.37,9.66,0.7099999999999991,-0.379999999999999,10.426,10.9,10.03,0.870000000000001,-0.870000000000001,24470,30244,19326,10918,5161
2016-02-07,9.95,10.28,9.62,0.6600000000000001,0.34000000000000163,10.282,10.65,9.99,0.6600000000000001,-0.41999999999999993,9.59,9.98,9.1,0.8800000000000008,0.17999999999999972,10.084,10.42,9.85,0.5700000000000003,-0.47000000000000064,16953,23044,8906,14138,4429
2016-02-14,10.24,10.41,10.04,0.370000000000001,0.370000000000001,10.7325,11.17,10.39,0.7799999999999994,0.7799999999999994,10.122499999999999,10.33,9.76,0.5700000000000003,0.5700000000000003,10.4575,10.89,10.23,0.6600000000000001,0.6600000000000001,20674,37314,10698,26616,26616
2016-02-21,11.74,13.06,11.07,1.9900000000000002,0.25,12.331666666666667,13.4,11.45,1.950000000000001,-1.5700000000000003,11.203333333333333,11.6,10.81,0.7899999999999991,0.33999999999999986,11.821666666666667,12.62,11.28,1.3399999999999999,-1.17,31129,56307,19433,36874,-36874
2016-02-28,11.549999999999999,11.85,11.02,0.8300000000000001,0.7300000000000004,12.002,12.35,11.61,0.7400000000000002,0.3800000000000008,11.408,11.75,11.02,0.7300000000000004,0.33999999999999986,11.662,11.86,11.34,0.5199999999999996,0.21000000000000085,20127,26923,10614,16309,-1169
2016-03-06,11.8,12.36,10.91,1.4499999999999993,0.14999999999999858,12.336,12.89,11.8,1.0899999999999999,0.41000000000000014,11.418,11.87,10.9,0.9699999999999989,0.4800000000000004,11.786,12.28,11.18,1.0999999999999996,0.33000000000000007,20808,42979,6557,36422,8735
2016-03-13,12.232,12.49,11.7,0.7900000000000009,0.5899999999999999,12.57,12.75,12.28,0.47000000000000064,0.47000000000000064,12.068,12.25,11.56,0.6899999999999995,0.6899999999999995,12.378,12.45,12.23,0.21999999999999886,0.20999999999999908,27512,49821,15385,34436,-23122
2016-03-20,11.95,12.4,11.62,0.7800000000000011,-0.7699999999999996,12.3825,12.8,11.99,0.8100000000000005,-0.3600000000000012,11.4675,12.03,11.24,0.7899999999999991,-0.7099999999999991,12.0325,12.38,11.64,0.7400000000000002,0.0600000000000005,20290,33747,10653,23094,-3407
2016-03-27,12.858,14.07,12.23,1.8399999999999999,1.8399999999999999,13.404,14.39,12.61,1.7800000000000011,1.7599999999999998,12.554,13.82,11.33,2.49,2.49,13.128,14.03,12.2,1.83,1.7400000000000002,28093,63202,9324,53878,-44953
2016-04-03,13.842,14.05,13.77,0.28000000000000114,-0.23000000000000043,13.992,14.1,13.82,0.27999999999999936,-0.23000000000000043,13.284,13.77,12.81,0.9599999999999991,-0.5099999999999998,13.764,13.9,13.62,0.28000000000000114,-0.20000000000000107,16580,18897,10879,8018,6606
2016-04-10,13.646,13.74,13.49,0.25,0.05000000000000071,13.974,14.75,13.72,1.0299999999999994,-0.8800000000000008,13.136,13.54,12.04,1.5,-0.019999999999999574,13.578,13.7,13.45,0.25,0.0600000000000005,17253,30414,9304,21110,4141
2016-04-17,13.927999999999999,14.65,13.65,1.0,1.0,14.25,15.03,13.8,1.2299999999999986,1.2299999999999986,13.748,14.1,13.51,0.5899999999999999,0.5899999999999999,13.97,14.6,13.56,1.0399999999999991,0.5599999999999987,14081,23837,7386,16451,12591
2016-04-24,14.294,14.34,14.27,0.07000000000000028,0.05000000000000071,14.328,14.34,14.3,0.03999999999999915,0.019999999999999574,14.094,14.13,14.01,0.120000000000001,0.09999999999999964,14.27,14.34,14.12,0.22000000000000064,-0.16000000000000014,9886,13607,3491,10116,-10116
2016-05-01,12.796,14.18,11.85,2.33,-1.5600000000000005,13.326,14.59,12.2,2.3900000000000006,-1.0999999999999996,12.156,13.26,11.52,1.7400000000000002,-0.7300000000000004,12.628,13.47,11.78,1.6900000000000013,0.0600000000000005,18504,33848,13212,20636,-2083
2016-05-08,13.134,13.64,12.71,0.9299999999999997,-0.9100000000000001,13.332,13.69,13.14,0.5499999999999989,-0.5499999999999989,12.725999999999999,13.1,12.53,0.5700000000000003,-0.5700000000000003,13.12,13.54,12.85,0.6899999999999995,-0.4499999999999993,14918,26836,4061,22775,-8669
2016-05-15,12.888,12.96,12.71,0.25,0.030000000000001137,13.024000000000001,13.13,12.96,0.16999999999999993,-0.16999999999999993,12.702,12.93,12.53,0.40000000000000036,-0.33000000000000007,12.884,13.05,12.64,0.41000000000000014,-0.41000000000000014,5791,10485,3280,7205,-5550
