Date,OPOF_stock_Open_average,OPOF_stock_Open_max,OPOF_stock_Open_min,OPOF_stock_Open_volatility,OPOF_stock_Open_change,OPOF_stock_High_average,OPOF_stock_High_max,OPOF_stock_High_min,OPOF_stock_High_volatility,OPOF_stock_High_change,OPOF_stock_Low_average,OPOF_stock_Low_max,OPOF_stock_Low_min,OPOF_stock_Low_volatility,OPOF_stock_Low_change,OPOF_stock_Close_average,OPOF_stock_Close_max,OPOF_stock_Close_min,OPOF_stock_Close_volatility,OPOF_stock_Close_change,OPOF_stock_Volume_average,OPOF_stock_Volume_max,OPOF_stock_Volume_min,OPOF_stock_Volume_volatility,OPOF_stock_Volume_change
2016-01-03,18.358,19.24,17.38,1.8599999999999994,1.120000000000001,19.086,19.38,18.5,0.879999999999999,-0.879999999999999,18.136,18.6,17.38,1.2200000000000024,0.9700000000000024,18.572,18.92,18.35,0.5700000000000003,-0.14999999999999858,6246,16918,3061,13857,-13797
2016-01-10,18.266000000000002,18.35,18.2,0.15000000000000213,-0.10000000000000142,18.474,18.75,18.3,0.4499999999999993,-0.030000000000001137,18.23,18.3,18.15,0.15000000000000213,-0.10000000000000142,18.314,18.47,18.2,0.2699999999999996,0.16999999999999815,3633,9258,831,8427,-2452
2016-01-17,18.112499999999997,18.4,17.9,0.5,0.14999999999999858,18.115,18.4,17.9,0.5,0.13999999999999702,17.9,17.9,17.9,0.0,0.0,17.9,17.9,17.9,0.0,0.0,2960,9128,442,8686,-8106
2016-01-24,18.3375,18.45,18.25,0.1999999999999993,0.14999999999999858,18.715,19.0,18.5,0.5,0.5,18.3275,18.45,18.25,0.1999999999999993,0.18999999999999773,18.5225,18.75,18.31,0.4400000000000013,0.2900000000000027,4865,7694,1887,5807,-3187
2016-01-31,18.706,19.11,18.45,0.6600000000000001,0.6600000000000001,18.716,19.11,18.45,0.6600000000000001,0.6099999999999994,18.544,18.87,18.45,0.4200000000000017,0.05000000000000071,18.544,18.87,18.45,0.4200000000000017,0.05000000000000071,1425,3295,683,2612,2489
2016-02-07,18.3,18.5,18.01,0.48999999999999844,-0.48999999999999844,18.562,19.09,18.2,0.8900000000000006,0.5899999999999999,18.086000000000002,18.49,17.55,0.9399999999999977,-0.4799999999999969,18.376,18.5,18.05,0.4499999999999993,-0.010000000000001563,1600,2782,69,2713,-2431
2016-02-14,18.815,20.25,18.1,2.1499999999999986,0.5599999999999987,19.405,20.25,18.81,1.4400000000000013,-0.8399999999999999,18.3375,18.66,17.88,0.7800000000000011,0.7800000000000011,18.982499999999998,19.65,18.68,0.9699999999999989,-0.9699999999999989,3086,8948,691,8257,-38
2016-02-21,18.598,18.81,18.24,0.5700000000000003,-0.029999999999997584,18.878,19.7,18.38,1.3200000000000003,-0.9199999999999982,18.54,18.75,18.24,0.5100000000000016,-0.1700000000000017,18.654,18.81,18.38,0.4299999999999997,-0.23000000000000043,1094,2141,0,2141,-1207
2016-02-28,18.484,18.78,18.0,0.7800000000000011,0.0,18.724,18.78,18.53,0.25,0.0,18.226,18.78,18.0,0.7800000000000011,0.7800000000000011,18.516000000000002,18.78,18.26,0.5199999999999996,0.5,3150,8882,304,8578,-8578
2016-03-06,19.2375,19.59,18.5,1.0899999999999999,0.8099999999999987,19.5975,19.9,19.35,0.5499999999999972,-0.5499999999999972,18.7775,19.1,18.5,0.6000000000000014,0.3000000000000007,19.0725,19.48,18.71,0.7699999999999996,-0.5199999999999996,3444,7487,410,7077,2516
