Date,SEII_stock_Open_average,SEII_stock_Open_max,SEII_stock_Open_min,SEII_stock_Open_volatility,SEII_stock_Open_change,SEII_stock_High_average,SEII_stock_High_max,SEII_stock_High_min,SEII_stock_High_volatility,SEII_stock_High_change,SEII_stock_Low_average,SEII_stock_Low_max,SEII_stock_Low_min,SEII_stock_Low_volatility,SEII_stock_Low_change,SEII_stock_Close_average,SEII_stock_Close_max,SEII_stock_Close_min,SEII_stock_Close_volatility,SEII_stock_Close_change,SEII_stock_Volume_average,SEII_stock_Volume_max,SEII_stock_Volume_min,SEII_stock_Volume_volatility,SEII_stock_Volume_change
2016-01-03,5.719,5.92,5.44,0.47999999999999954,0.40500000000000025,6.256,6.8,5.68,1.12,0.20000000000000018,5.5986,5.78,5.36,0.41999999999999993,0.27999999999999936,5.848,6.16,5.6,0.5600000000000005,0.040000000000000036,6822,18059,1380,16679,-591
2016-01-10,5.208,5.6,4.712,0.8879999999999999,-0.5199999999999996,5.3196,5.64,5.12,0.5199999999999996,-0.4499999999999993,4.896,5.36,4.68,0.6800000000000006,-0.6400000000000006,5.024,5.36,4.68,0.6800000000000006,-0.6000000000000005,3061,5941,582,5359,682
2016-01-17,4.984999999999999,5.1,4.84,0.2599999999999998,0.16000000000000014,5.075,5.2,5.0,0.20000000000000018,-0.20000000000000018,4.7395,4.838,4.64,0.1980000000000004,-0.11800000000000033,4.87,4.96,4.72,0.2400000000000002,-0.1200000000000001,3681,5319,2026,3293,2784
2016-01-24,4.56,4.72,4.44,0.27999999999999936,-0.1200000000000001,4.8389999999999995,5.16,4.6,0.5600000000000005,-0.5200000000000005,4.472,4.68,4.36,0.3199999999999994,-0.23999999999999932,4.5568,4.704,4.44,0.26399999999999935,-0.1999999999999993,3631,6924,1256,5668,-580
2016-01-31,4.5520000000000005,4.96,4.36,0.5999999999999996,0.27999999999999936,4.7392,4.96,4.6,0.3600000000000003,0.07600000000000051,4.376,4.56,4.24,0.3199999999999994,0.15999999999999925,4.536,4.68,4.36,0.3199999999999994,-0.08000000000000007,2137,4993,323,4670,393
2016-02-07,4.5584,4.68,4.4,0.27999999999999936,-0.0030000000000001137,4.721,5.0,4.56,0.4400000000000004,0.3200000000000003,4.456,4.64,4.4,0.23999999999999932,0.23999999999999932,4.5666,4.96,4.421,0.5389999999999997,0.5389999999999997,2911,9995,349,9646,9357
2016-02-14,5.324,5.72,4.936,0.7839999999999998,-0.02400000000000002,5.75,6.52,4.96,1.5599999999999996,-1.5599999999999996,4.84,5.68,4.36,1.3199999999999994,0.27999999999999936,5.43,5.72,4.76,0.96,-0.96,2606,7383,796,6587,-6208
2016-02-21,5.128,5.96,4.6,1.3600000000000003,1.3600000000000003,5.4146,5.96,5.08,0.8799999999999999,0.2870000000000008,4.8957999999999995,5.239,4.6,0.6390000000000002,0.6390000000000002,5.196,5.36,5.04,0.3200000000000003,0.0600000000000005,1391,2361,379,1982,-1461
2016-02-28,5.184,5.4,4.68,0.7200000000000006,-0.08000000000000007,5.496,5.96,5.28,0.6799999999999997,0.5599999999999996,4.772,5.0,4.6,0.40000000000000036,-0.35599999999999987,5.3594,5.6,5.2,0.39999999999999947,0.39999999999999947,3837,6698,909,5789,4496
2016-03-06,5.3768,5.64,5.084,0.556,-0.23999999999999932,5.68,5.88,5.52,0.3600000000000003,-0.3600000000000003,5.0888,5.36,4.8,0.5600000000000005,0.40000000000000036,5.3944,5.76,5.2,0.5599999999999996,-0.5599999999999996,3844,11832,473,11359,-11233
2016-03-13,5.032,5.16,4.92,0.2400000000000002,0.2400000000000002,5.2010000000000005,5.4,5.08,0.3200000000000003,-0.08000000000000007,5.0008,5.08,4.92,0.16000000000000014,0.08399999999999963,5.1302,5.24,5.006,0.23399999999999999,-0.23399999999999999,610,1274,40,1234,756
2016-03-20,5.107,5.2,5.0,0.20000000000000018,0.20000000000000018,5.45,5.6,5.24,0.35999999999999943,0.23999999999999932,4.932,5.048,4.8,0.24800000000000022,0.16000000000000014,5.27,5.6,5.0,0.5999999999999996,0.35999999999999943,6804,13233,161,13072,11220
2016-03-27,5.0872,5.6,4.64,0.96,-0.6799999999999997,5.244,5.6,4.96,0.6399999999999997,-0.6399999999999997,4.864,5.24,4.6,0.6400000000000006,-0.4400000000000004,5.089,5.48,4.8,0.6800000000000006,-0.6800000000000006,9146,33217,1197,32020,1291
2016-04-03,4.8652,5.086,4.64,0.4460000000000006,-0.20000000000000018,5.0332,5.16,4.92,0.2400000000000002,-0.08000000000000007,4.718999999999999,4.8,4.64,0.16000000000000014,-0.16000000000000014,4.942,5.046,4.864,0.18200000000000038,0.09600000000000009,3605,9423,875,8548,-661
2016-04-10,4.858,5.12,4.72,0.40000000000000036,-0.07000000000000028,4.952,5.12,4.88,0.2400000000000002,0.0,4.7459999999999996,4.81,4.72,0.08999999999999986,0.08999999999999986,4.808,4.92,4.72,0.20000000000000018,0.1200000000000001,2331,5776,786,4990,1014
2016-04-17,4.803599999999999,4.92,4.76,0.16000000000000014,-0.016000000000000014,4.9628000000000005,5.08,4.883,0.19700000000000006,0.16000000000000014,4.755199999999999,4.776,4.72,0.05600000000000005,-0.016000000000000014,4.8518,4.92,4.776,0.14400000000000013,-0.040000000000000036,2318,5759,143,5616,5616
2016-04-24,4.696,4.92,4.4,0.5199999999999996,-0.5199999999999996,4.848,4.92,4.64,0.28000000000000025,-0.28000000000000025,4.5088,4.624,4.4,0.2239999999999993,-0.1999999999999993,4.7008,4.84,4.496,0.3439999999999994,-0.23199999999999932,4464,6937,1694,5243,-4027
2016-05-01,4.704,5.56,4.2,1.3599999999999994,0.16000000000000014,5.056,5.72,4.52,1.2000000000000002,0.28000000000000025,4.3024,4.56,4.04,0.5199999999999996,-0.03199999999999914,4.7744,5.72,4.24,1.4799999999999995,0.16800000000000015,10164,30749,1172,29577,5001
2016-05-08,4.3864,4.64,4.08,0.5599999999999996,-0.40000000000000036,4.5408,4.68,4.343999999999999,0.3360000000000003,-0.23999999999999932,4.144,4.28,4.0,0.28000000000000025,-0.2400000000000002,4.2238,4.399,4.08,0.31899999999999995,-0.040000000000000036,5226,8846,2201,6645,1692
2016-05-15,3.96,4.2,3.8,0.40000000000000036,-0.40000000000000036,4.048,4.28,3.88,0.40000000000000036,-0.2400000000000002,3.796,4.12,3.64,0.48,-0.3600000000000003,3.9012000000000002,4.28,3.72,0.56,-0.40000000000000036,3959,10581,207,10374,2565
2016-05-22,3.8478,3.96,3.68,0.2799999999999998,0.19100000000000028,3.9992,4.16,3.9160000000000004,0.24399999999999977,-0.20000000000000018,3.7072,3.764,3.6519999999999997,0.1120000000000001,-0.0040000000000000036,3.8294,4.0,3.68,0.31999999999999984,-0.2270000000000003,2556,5667,804,4863,-319
2016-05-29,3.8099999999999996,3.84,3.76,0.08000000000000007,-0.040000000000000036,3.8499999999999996,3.88,3.84,0.040000000000000036,0.040000000000000036,3.76,3.84,3.68,0.1599999999999997,-0.07999999999999963,3.8249999999999997,3.84,3.8,0.040000000000000036,0.020000000000000018,1575,3615,76,3539,2172
2016-06-05,4.1622,4.571000000000001,3.8,0.7710000000000008,0.3600000000000003,4.5304,5.4,4.16,1.2400000000000002,-0.09199999999999964,3.9154,4.176,3.68,0.496,0.20100000000000007,4.1852,4.64,3.886,0.7539999999999996,-0.3540000000000001,46470,147808,2187,145621,-20019
2016-06-12,3.9122,4.12,3.68,0.43999999999999995,0.23899999999999988,4.024,4.12,3.84,0.28000000000000025,0.040000000000000036,3.7534,3.88,3.64,0.23999999999999977,-0.23999999999999977,3.8162,3.92,3.64,0.2799999999999998,-0.2799999999999998,8372,22997,3457,19540,-578
2016-06-19,4.008,4.6,3.68,0.9199999999999995,0.40000000000000036,4.24,5.48,3.68,1.8000000000000003,0.40000000000000036,3.8400000000000003,4.28,3.6,0.6800000000000002,0.31999999999999984,3.914,4.32,3.68,0.6400000000000001,0.44999999999999973,409081,1981028,601,1980427,60679
2016-06-26,4.04,4.2,3.84,0.3600000000000003,-0.08000000000000007,4.2056,4.32,4.053999999999999,0.2660000000000009,-0.09399999999999942,3.808,3.84,3.72,0.11999999999999966,0.11999999999999966,3.9518,4.0,3.84,0.16000000000000014,0.07899999999999974,34800,67992,17024,50968,-12430
