Date,iShares Core MSCI PacificEtf_Open_average,iShares Core MSCI PacificEtf_Open_max,iShares Core MSCI PacificEtf_Open_min,iShares Core MSCI PacificEtf_Open_volatility,iShares Core MSCI PacificEtf_Open_change,iShares Core MSCI PacificEtf_High_average,iShares Core MSCI PacificEtf_High_max,iShares Core MSCI PacificEtf_High_min,iShares Core MSCI PacificEtf_High_volatility,iShares Core MSCI PacificEtf_High_change,iShares Core MSCI PacificEtf_Low_average,iShares Core MSCI PacificEtf_Low_max,iShares Core MSCI PacificEtf_Low_min,iShares Core MSCI PacificEtf_Low_volatility,iShares Core MSCI PacificEtf_Low_change,iShares Core MSCI PacificEtf_Close_average,iShares Core MSCI PacificEtf_Close_max,iShares Core MSCI PacificEtf_Close_min,iShares Core MSCI PacificEtf_Close_volatility,iShares Core MSCI PacificEtf_Close_change
2016-01-03,45.39,45.39,45.39,0.0,0.0,45.44,45.44,45.44,0.0,0.0,44.53,44.53,44.53,0.0,0.0,44.65,44.65,44.65,0.0,0.0
2016-01-10,43.59,43.59,43.59,0.0,0.0,43.59,43.59,43.59,0.0,0.0,42.95,42.95,42.95,0.0,0.0,43.15,43.15,43.15,0.0,0.0
2016-01-17,43.5,43.5,43.5,0.0,0.0,43.9,43.9,43.9,0.0,0.0,43.34,43.34,43.34,0.0,0.0,43.71,43.71,43.71,0.0,0.0
2016-01-24,44.12,44.12,44.12,0.0,0.0,44.71,44.71,44.71,0.0,0.0,44.12,44.12,44.12,0.0,0.0,44.66,44.66,44.66,0.0,0.0
2016-01-31,43.47,43.47,43.47,0.0,0.0,43.68,43.68,43.68,0.0,0.0,42.88,42.88,42.88,0.0,0.0,43.05,43.05,43.05,0.0,0.0
2016-02-07,41.02,41.02,41.02,0.0,0.0,41.66,41.66,41.66,0.0,0.0,40.76,40.76,40.76,0.0,0.0,41.65,41.65,41.65,0.0,0.0
2016-02-14,43.0,43.0,43.0,0.0,0.0,43.2,43.2,43.2,0.0,0.0,42.91,42.91,42.91,0.0,0.0,43.18,43.18,43.18,0.0,0.0
2016-02-21,44.1,44.1,44.1,0.0,0.0,44.1,44.1,44.1,0.0,0.0,43.56,43.56,43.56,0.0,0.0,43.66,43.66,43.66,0.0,0.0
2016-02-28,46.07,46.07,46.07,0.0,0.0,46.33,46.33,46.33,0.0,0.0,45.84,45.84,45.84,0.0,0.0,46.14,46.14,46.14,0.0,0.0
2016-03-06,46.12,46.12,46.12,0.0,0.0,46.49,46.49,46.49,0.0,0.0,46.08,46.08,46.08,0.0,0.0,46.48,46.48,46.48,0.0,0.0
2016-03-13,46.5,46.5,46.5,0.0,0.0,46.65,46.65,46.65,0.0,0.0,46.4,46.4,46.4,0.0,0.0,46.47,46.47,46.47,0.0,0.0
2016-03-20,45.5,45.5,45.5,0.0,0.0,45.93,45.93,45.93,0.0,0.0,45.5,45.5,45.5,0.0,0.0,45.87,45.87,45.87,0.0,0.0
2016-03-27,45.15,45.15,45.15,0.0,0.0,45.53,45.53,45.53,0.0,0.0,44.97,44.97,44.97,0.0,0.0,45.41,45.41,45.41,0.0,0.0
