Date,Victory CEMP International High Dividend VolatilitEtf_Open_average,Victory CEMP International High Dividend VolatilitEtf_Open_max,Victory CEMP International High Dividend VolatilitEtf_Open_min,Victory CEMP International High Dividend VolatilitEtf_Open_volatility,Victory CEMP International High Dividend VolatilitEtf_Open_change,Victory CEMP International High Dividend VolatilitEtf_High_average,Victory CEMP International High Dividend VolatilitEtf_High_max,Victory CEMP International High Dividend VolatilitEtf_High_min,Victory CEMP International High Dividend VolatilitEtf_High_volatility,Victory CEMP International High Dividend VolatilitEtf_High_change,Victory CEMP International High Dividend VolatilitEtf_Low_average,Victory CEMP International High Dividend VolatilitEtf_Low_max,Victory CEMP International High Dividend VolatilitEtf_Low_min,Victory CEMP International High Dividend VolatilitEtf_Low_volatility,Victory CEMP International High Dividend VolatilitEtf_Low_change,Victory CEMP International High Dividend VolatilitEtf_Close_average,Victory CEMP International High Dividend VolatilitEtf_Close_max,Victory CEMP International High Dividend VolatilitEtf_Close_min,Victory CEMP International High Dividend VolatilitEtf_Close_volatility,Victory CEMP International High Dividend VolatilitEtf_Close_change
2016-01-03,30.6,30.6,30.6,0.0,0.0,30.6,30.6,30.6,0.0,0.0,30.39,30.39,30.39,0.0,0.0,30.43,30.43,30.43,0.0,0.0
2016-01-10,29.54,29.54,29.54,0.0,0.0,29.54,29.54,29.54,0.0,0.0,29.17,29.17,29.17,0.0,0.0,29.45,29.45,29.45,0.0,0.0
2016-01-17,29.75,29.75,29.75,0.0,0.0,30.26,30.26,30.26,0.0,0.0,29.75,29.75,29.75,0.0,0.0,30.19,30.19,30.19,0.0,0.0
2016-01-24,30.23,30.23,30.23,0.0,0.0,30.71,30.71,30.71,0.0,0.0,30.23,30.23,30.23,0.0,0.0,30.71,30.71,30.71,0.0,0.0
2016-01-31,30.47,30.47,30.47,0.0,0.0,30.47,30.47,30.47,0.0,0.0,30.47,30.47,30.47,0.0,0.0,30.47,30.47,30.47,0.0,0.0
2016-02-07,29.5,29.5,29.5,0.0,0.0,29.64,29.64,29.64,0.0,0.0,29.5,29.5,29.5,0.0,0.0,29.64,29.64,29.64,0.0,0.0
2016-02-14,30.47,30.47,30.47,0.0,0.0,30.48,30.48,30.48,0.0,0.0,30.47,30.47,30.47,0.0,0.0,30.48,30.48,30.48,0.0,0.0
2016-02-21,30.2,30.2,30.2,0.0,0.0,30.2,30.2,30.2,0.0,0.0,30.2,30.2,30.2,0.0,0.0,30.2,30.2,30.2,0.0,0.0
2016-02-28,31.47,31.47,31.47,0.0,0.0,31.7,31.7,31.7,0.0,0.0,31.46,31.46,31.46,0.0,0.0,31.69,31.69,31.69,0.0,0.0
2016-03-06,32.19,32.19,32.19,0.0,0.0,32.19,32.19,32.19,0.0,0.0,32.19,32.19,32.19,0.0,0.0,32.19,32.19,32.19,0.0,0.0
2016-03-13,32.99,32.99,32.99,0.0,0.0,32.99,32.99,32.99,0.0,0.0,32.87,32.87,32.87,0.0,0.0,32.87,32.87,32.87,0.0,0.0
2016-03-20,31.99,31.99,31.99,0.0,0.0,32.02,32.02,32.02,0.0,0.0,31.99,31.99,31.99,0.0,0.0,32.02,32.02,32.02,0.0,0.0
2016-03-27,32.27,32.27,32.27,0.0,0.0,32.27,32.27,32.27,0.0,0.0,32.19,32.19,32.19,0.0,0.0,32.19,32.19,32.19,0.0,0.0
2016-04-03,32.28,32.28,32.28,0.0,0.0,32.29,32.29,32.29,0.0,0.0,32.1,32.1,32.1,0.0,0.0,32.1,32.1,32.1,0.0,0.0
2016-04-10,33.01,33.01,33.01,0.0,0.0,33.02,33.02,33.02,0.0,0.0,33.0,33.0,33.0,0.0,0.0,33.01,33.01,33.01,0.0,0.0
2016-04-17,32.94,32.94,32.94,0.0,0.0,33.06,33.06,33.06,0.0,0.0,32.94,32.94,32.94,0.0,0.0,33.06,33.06,33.06,0.0,0.0
2016-04-24,33.04,33.04,33.04,0.0,0.0,33.04,33.04,33.04,0.0,0.0,32.79,32.79,32.79,0.0,0.0,32.79,32.79,32.79,0.0,0.0
2016-05-01,32.19,32.19,32.19,0.0,0.0,32.27,32.27,32.27,0.0,0.0,32.16,32.16,32.16,0.0,0.0,32.26,32.26,32.26,0.0,0.0
2016-05-08,31.88,31.88,31.88,0.0,0.0,31.89,31.89,31.89,0.0,0.0,31.88,31.88,31.88,0.0,0.0,31.89,31.89,31.89,0.0,0.0
2016-05-15,31.88,31.88,31.88,0.0,0.0,31.88,31.88,31.88,0.0,0.0,31.69,31.69,31.69,0.0,0.0,31.8,31.8,31.8,0.0,0.0
2016-05-22,32.69,32.69,32.69,0.0,0.0,32.69,32.69,32.69,0.0,0.0,32.39,32.39,32.39,0.0,0.0,32.39,32.39,32.39,0.0,0.0
