Date,WisdomTree Emerging Markets Corporate BondEtf_Open_average,WisdomTree Emerging Markets Corporate BondEtf_Open_max,WisdomTree Emerging Markets Corporate BondEtf_Open_min,WisdomTree Emerging Markets Corporate BondEtf_Open_volatility,WisdomTree Emerging Markets Corporate BondEtf_Open_change,WisdomTree Emerging Markets Corporate BondEtf_High_average,WisdomTree Emerging Markets Corporate BondEtf_High_max,WisdomTree Emerging Markets Corporate BondEtf_High_min,WisdomTree Emerging Markets Corporate BondEtf_High_volatility,WisdomTree Emerging Markets Corporate BondEtf_High_change,WisdomTree Emerging Markets Corporate BondEtf_Low_average,WisdomTree Emerging Markets Corporate BondEtf_Low_max,WisdomTree Emerging Markets Corporate BondEtf_Low_min,WisdomTree Emerging Markets Corporate BondEtf_Low_volatility,WisdomTree Emerging Markets Corporate BondEtf_Low_change,WisdomTree Emerging Markets Corporate BondEtf_Close_average,WisdomTree Emerging Markets Corporate BondEtf_Close_max,WisdomTree Emerging Markets Corporate BondEtf_Close_min,WisdomTree Emerging Markets Corporate BondEtf_Close_volatility,WisdomTree Emerging Markets Corporate BondEtf_Close_change
2016-01-03,65.35,65.35,65.35,0.0,0.0,65.76,65.76,65.76,0.0,0.0,65.34,65.34,65.34,0.0,0.0,65.76,65.76,65.76,0.0,0.0
2016-01-10,64.65,64.65,64.65,0.0,0.0,64.76,64.76,64.76,0.0,0.0,64.25,64.25,64.25,0.0,0.0,64.33,64.33,64.33,0.0,0.0
2016-01-17,64.33,64.33,64.33,0.0,0.0,64.33,64.33,64.33,0.0,0.0,63.77,63.77,63.77,0.0,0.0,64.0,64.0,64.0,0.0,0.0
2016-01-24,64.78,64.78,64.78,0.0,0.0,64.93,64.93,64.93,0.0,0.0,64.38,64.38,64.38,0.0,0.0,64.6,64.6,64.6,0.0,0.0
2016-01-31,64.4,64.4,64.4,0.0,0.0,65.08,65.08,65.08,0.0,0.0,64.4,64.4,64.4,0.0,0.0,64.41,64.41,64.41,0.0,0.0
2016-02-07,64.57,64.57,64.57,0.0,0.0,64.58,64.58,64.58,0.0,0.0,64.15,64.15,64.15,0.0,0.0,64.58,64.58,64.58,0.0,0.0
2016-02-14,64.7,64.7,64.7,0.0,0.0,65.14,65.14,65.14,0.0,0.0,64.7,64.7,64.7,0.0,0.0,65.03,65.03,65.03,0.0,0.0
2016-02-21,65.17,65.17,65.17,0.0,0.0,65.17,65.17,65.17,0.0,0.0,64.67,64.67,64.67,0.0,0.0,64.67,64.67,64.67,0.0,0.0
2016-02-28,65.83,65.83,65.83,0.0,0.0,66.01,66.01,66.01,0.0,0.0,65.37,65.37,65.37,0.0,0.0,65.83,65.83,65.83,0.0,0.0
2016-03-06,66.3,66.3,66.3,0.0,0.0,66.3,66.3,66.3,0.0,0.0,65.55,65.55,65.55,0.0,0.0,65.55,65.55,65.55,0.0,0.0
2016-03-13,66.76,66.76,66.76,0.0,0.0,67.11,67.11,67.11,0.0,0.0,66.67,66.67,66.67,0.0,0.0,66.78,66.78,66.78,0.0,0.0
2016-03-20,67.07,67.07,67.07,0.0,0.0,67.07,67.07,67.07,0.0,0.0,66.61,66.61,66.61,0.0,0.0,66.84,66.84,66.84,0.0,0.0
2016-03-27,67.25,67.25,67.25,0.0,0.0,67.27,67.27,67.27,0.0,0.0,67.22,67.22,67.22,0.0,0.0,67.27,67.27,67.27,0.0,0.0
2016-04-03,67.13,67.13,67.13,0.0,0.0,67.17,67.17,67.17,0.0,0.0,67.11,67.11,67.11,0.0,0.0,67.17,67.17,67.17,0.0,0.0
2016-04-10,67.86,67.86,67.86,0.0,0.0,68.03,68.03,68.03,0.0,0.0,67.86,67.86,67.86,0.0,0.0,68.03,68.03,68.03,0.0,0.0
2016-04-17,68.41,68.41,68.41,0.0,0.0,68.51,68.51,68.51,0.0,0.0,68.35,68.35,68.35,0.0,0.0,68.4,68.4,68.4,0.0,0.0
2016-04-24,68.27,68.27,68.27,0.0,0.0,68.71,68.71,68.71,0.0,0.0,68.07,68.07,68.07,0.0,0.0,68.44,68.44,68.44,0.0,0.0
2016-05-01,68.0,68.0,68.0,0.0,0.0,68.29,68.29,68.29,0.0,0.0,67.71,67.71,67.71,0.0,0.0,67.71,67.71,67.71,0.0,0.0
2016-05-08,68.57,68.57,68.57,0.0,0.0,68.76,68.76,68.76,0.0,0.0,68.45,68.45,68.45,0.0,0.0,68.76,68.76,68.76,0.0,0.0
2016-05-15,68.05,68.05,68.05,0.0,0.0,68.29,68.29,68.29,0.0,0.0,67.81,67.81,67.81,0.0,0.0,67.81,67.81,67.81,0.0,0.0
2016-05-22,68.08,68.08,68.08,0.0,0.0,68.58,68.58,68.58,0.0,0.0,67.63,67.63,67.63,0.0,0.0,68.58,68.58,68.58,0.0,0.0
2016-05-29,68.5,68.5,68.5,0.0,0.0,69.02,69.02,69.02,0.0,0.0,68.45,68.45,68.45,0.0,0.0,68.51,68.51,68.51,0.0,0.0
2016-06-05,68.92,68.92,68.92,0.0,0.0,69.47,69.47,69.47,0.0,0.0,68.92,68.92,68.92,0.0,0.0,69.22,69.22,69.22,0.0,0.0
