Date,COST_stock_Open_average,COST_stock_Open_max,COST_stock_Open_min,COST_stock_Open_volatility,COST_stock_Open_change,COST_stock_High_average,COST_stock_High_max,COST_stock_High_min,COST_stock_High_volatility,COST_stock_High_change,COST_stock_Low_average,COST_stock_Low_max,COST_stock_Low_min,COST_stock_Low_volatility,COST_stock_Low_change,COST_stock_Close_average,COST_stock_Close_max,COST_stock_Close_min,COST_stock_Close_volatility,COST_stock_Close_change,COST_stock_Volume_average,COST_stock_Volume_max,COST_stock_Volume_min,COST_stock_Volume_volatility,COST_stock_Volume_change
2016-01-03,157.694,160.17,154.85,5.319999999999993,-4.530000000000001,158.698,161.23,155.3,5.929999999999978,-4.799999999999983,156.062,159.45,151.81,7.639999999999986,-6.060000000000002,156.97,159.93,152.11,7.819999999999993,-7.429999999999978,2756819,3826032,2033414,1792618,515401
2016-01-10,153.046,155.97,149.29,6.680000000000007,-3.0100000000000193,154.818,156.43,151.52,4.909999999999997,-4.439999999999998,151.704,154.94,148.25,6.689999999999998,-3.8700000000000045,153.294,156.06,150.39,5.670000000000016,-4.3300000000000125,2358942,2975372,2157501,817871,810591
2016-01-17,150.35,152.18,148.46,3.719999999999999,0.3900000000000148,151.7375,153.71,150.0,3.710000000000008,1.710000000000008,148.5625,151.65,144.91,6.740000000000009,2.069999999999993,150.84,153.69,148.82,4.8700000000000045,3.219999999999999,2698975,3796826,2212441,1584385,301500
2016-01-24,150.438,154.07,148.55,5.519999999999982,-4.569999999999993,151.476,154.48,149.59,4.889999999999986,-2.859999999999985,148.058,150.55,146.72,3.8300000000000125,-3.640000000000015,149.544,151.12,147.73,3.390000000000015,0.3400000000000034,2427255,3221346,1820623,1400723,1400723
2016-01-31,147.67600000000002,150.84,143.27,7.569999999999993,-7.569999999999993,148.66,152.19,145.14,7.050000000000011,-6.990000000000009,145.588,150.19,141.79,8.400000000000006,-7.789999999999992,146.744,151.25,143.28,7.969999999999999,-7.259999999999991,3208068,5340490,1931427,3409063,1937300
2016-02-07,146.692,149.37,142.74,6.6299999999999955,5.239999999999981,149.02,150.17,147.55,2.619999999999976,1.7199999999999989,145.438,147.58,141.62,5.960000000000008,5.3799999999999955,147.662,148.65,146.65,2.0,1.6299999999999955,2669971,3782043,1951826,1830217,-1830217
2016-02-14,149.3075,149.75,149.0,0.75,-0.3499999999999943,150.39999999999998,151.98,149.14,2.8400000000000034,-1.5,147.57,148.91,146.82,2.0900000000000034,-0.8499999999999943,149.3425,150.91,148.65,2.259999999999991,-0.410000000000025,2431758,2894302,2174598,719704,285288
2016-02-21,151.16,154.69,149.63,5.060000000000002,0.0,152.37833333333333,154.88,149.63,5.25,-0.5500000000000114,149.75333333333333,152.86,148.49,4.3700000000000045,1.1399999999999864,151.38666666666666,154.72,149.63,5.090000000000003,-0.4300000000000068,2591199,3800789,1746889,2053900,1236250
2016-02-28,150.364,151.74,148.56,3.180000000000007,1.75,152.036,152.95,151.2,1.75,-0.5300000000000011,149.374,150.39,147.38,3.009999999999991,0.3400000000000034,151.168,152.79,150.03,2.759999999999991,0.8700000000000045,3292145,5552633,2155572,3397061,-967974
2016-03-06,151.206,153.85,147.66,6.189999999999998,3.8899999999999864,153.0,154.69,150.89,3.8000000000000114,3.1100000000000136,149.692,151.4,147.1,4.300000000000011,3.8000000000000114,151.55,153.05,148.17,4.880000000000024,4.5400000000000205,2392120,3165743,1413364,1752379,-1335807
