Date,CLH_stock_Open_average,CLH_stock_Open_max,CLH_stock_Open_min,CLH_stock_Open_volatility,CLH_stock_Open_change,CLH_stock_High_average,CLH_stock_High_max,CLH_stock_High_min,CLH_stock_High_volatility,CLH_stock_High_change,CLH_stock_Low_average,CLH_stock_Low_max,CLH_stock_Low_min,CLH_stock_Low_volatility,CLH_stock_Low_change,CLH_stock_Close_average,CLH_stock_Close_max,CLH_stock_Close_min,CLH_stock_Close_volatility,CLH_stock_Close_change,CLH_stock_Volume_average,CLH_stock_Volume_max,CLH_stock_Volume_min,CLH_stock_Volume_volatility,CLH_stock_Volume_change
2016-01-03,41.422,42.15,41.1,1.0499999999999972,0.01999999999999602,42.076,42.3,41.4,0.8999999999999986,-0.030000000000001137,41.016,41.53,39.92,1.6099999999999994,0.10999999999999943,41.8,42.3,40.96,1.3399999999999963,-0.3100000000000023,640750,957947,354035,603912,436513
2016-01-10,40.786,41.93,39.3,2.6300000000000026,-2.440000000000005,41.306,42.53,39.62,2.9100000000000037,-2.9100000000000037,39.758,41.32,38.67,2.6499999999999986,-2.6499999999999986,40.414,41.64,39.35,2.289999999999999,-2.0799999999999983,616191,963589,355870,607719,-607719
2016-01-17,40.295,41.64,38.83,2.8100000000000023,1.7000000000000028,41.295,42.53,40.27,2.259999999999998,2.259999999999998,39.6025,41.3,38.12,3.1799999999999997,2.039999999999999,40.9025,42.28,39.52,2.759999999999998,2.759999999999998,613929,954168,375977,578191,70494
2016-01-24,41.862,42.42,41.12,1.3000000000000043,0.490000000000002,42.778,44.35,42.16,2.190000000000005,2.190000000000005,41.382,42.42,40.73,1.6900000000000048,1.1600000000000037,42.49,44.31,41.63,2.6799999999999997,2.6799999999999997,569229,964118,376156,587962,144049
2016-01-31,43.644,44.06,43.09,0.9699999999999989,0.03999999999999915,44.142,44.5,43.83,0.6700000000000017,-0.29999999999999716,42.952,43.69,42.45,1.2399999999999949,-0.5300000000000011,43.496,44.06,42.66,1.4000000000000057,-0.8200000000000003,355177,450958,224140,226818,-204836
2016-02-07,42.134,43.04,40.52,2.519999999999996,-1.9799999999999969,43.184,43.67,41.71,1.9600000000000009,-0.240000000000002,41.3,42.48,39.0,3.479999999999997,-1.7899999999999991,42.336,43.58,40.2,3.3799999999999955,-1.0700000000000003,968236,1364023,476232,887791,-515522
2016-02-14,43.185,43.51,42.9,0.6099999999999994,-0.38000000000000256,43.6525,44.16,43.38,0.779999999999994,0.10999999999999943,42.71,43.05,42.34,0.7099999999999937,-0.22999999999999687,42.975,43.35,42.53,0.8200000000000003,-0.4099999999999966,485807,536126,371997,164129,29249
2016-02-21,41.3,42.96,37.64,5.32,-1.2000000000000028,42.74,43.82,41.83,1.990000000000002,0.45000000000000284,40.684,42.37,37.09,5.279999999999994,-0.6299999999999955,42.234,43.51,41.34,2.1699999999999946,0.8200000000000003,845459,1494584,648065,846519,-67799
2016-02-28,44.302,46.66,42.95,3.7099999999999937,3.1599999999999966,45.262,47.22,43.66,3.5600000000000023,3.5600000000000023,43.938,46.11,42.59,3.519999999999996,3.519999999999996,44.746,46.45,42.6,3.8500000000000014,3.6000000000000014,545446,659690,424630,235060,168034
2016-03-06,45.288,46.04,44.65,1.3900000000000006,-1.1199999999999974,45.628,46.57,44.7,1.8699999999999974,-0.7700000000000031,44.584,45.67,43.93,1.740000000000002,-1.2199999999999989,45.068,46.0,44.2,1.7999999999999972,-0.25,447731,599237,232055,367182,-367182
