Date,Vanguard Short-Term BondEtf_Open_average,Vanguard Short-Term BondEtf_Open_max,Vanguard Short-Term BondEtf_Open_min,Vanguard Short-Term BondEtf_Open_volatility,Vanguard Short-Term BondEtf_Open_change,Vanguard Short-Term BondEtf_High_average,Vanguard Short-Term BondEtf_High_max,Vanguard Short-Term BondEtf_High_min,Vanguard Short-Term BondEtf_High_volatility,Vanguard Short-Term BondEtf_High_change,Vanguard Short-Term BondEtf_Low_average,Vanguard Short-Term BondEtf_Low_max,Vanguard Short-Term BondEtf_Low_min,Vanguard Short-Term BondEtf_Low_volatility,Vanguard Short-Term BondEtf_Low_change,Vanguard Short-Term BondEtf_Close_average,Vanguard Short-Term BondEtf_Close_max,Vanguard Short-Term BondEtf_Close_min,Vanguard Short-Term BondEtf_Close_volatility,Vanguard Short-Term BondEtf_Close_change
2016-01-03,79.76,79.76,79.76,0.0,0.0,79.9,79.9,79.9,0.0,0.0,79.74,79.74,79.74,0.0,0.0,79.89,79.89,79.89,0.0,0.0
2016-01-10,80.06,80.06,80.06,0.0,0.0,80.09,80.09,80.09,0.0,0.0,80.01,80.01,80.01,0.0,0.0,80.04,80.04,80.04,0.0,0.0
2016-01-17,79.96,79.96,79.96,0.0,0.0,80.02,80.02,80.02,0.0,0.0,79.91,79.91,79.91,0.0,0.0,79.96,79.96,79.96,0.0,0.0
2016-01-24,80.16,80.16,80.16,0.0,0.0,80.21,80.21,80.21,0.0,0.0,80.12,80.12,80.12,0.0,0.0,80.2,80.2,80.2,0.0,0.0
2016-01-31,80.25,80.25,80.25,0.0,0.0,80.3,80.3,80.3,0.0,0.0,80.2,80.2,80.2,0.0,0.0,80.28,80.28,80.28,0.0,0.0
2016-02-07,80.46,80.46,80.46,0.0,0.0,80.46,80.46,80.46,0.0,0.0,80.3,80.3,80.3,0.0,0.0,80.33,80.33,80.33,0.0,0.0
2016-02-14,80.32,80.32,80.32,0.0,0.0,80.35,80.35,80.35,0.0,0.0,80.28,80.28,80.28,0.0,0.0,80.29,80.29,80.29,0.0,0.0
2016-02-21,80.4,80.4,80.4,0.0,0.0,80.4,80.4,80.4,0.0,0.0,80.27,80.27,80.27,0.0,0.0,80.31,80.31,80.31,0.0,0.0
2016-02-28,80.05,80.05,80.05,0.0,0.0,80.14,80.14,80.14,0.0,0.0,80.03,80.03,80.03,0.0,0.0,80.1,80.1,80.1,0.0,0.0
2016-03-06,80.02,80.02,80.02,0.0,0.0,80.02,80.02,80.02,0.0,0.0,79.95,79.95,79.95,0.0,0.0,79.98,79.98,79.98,0.0,0.0
2016-03-13,80.4,80.4,80.4,0.0,0.0,80.41,80.41,80.41,0.0,0.0,80.31,80.31,80.31,0.0,0.0,80.38,80.38,80.38,0.0,0.0
2016-03-20,80.29,80.29,80.29,0.0,0.0,80.29,80.29,80.29,0.0,0.0,80.19,80.19,80.19,0.0,0.0,80.22,80.22,80.22,0.0,0.0
2016-03-27,80.51,80.51,80.51,0.0,0.0,80.51,80.51,80.51,0.0,0.0,80.4,80.4,80.4,0.0,0.0,80.5,80.5,80.5,0.0,0.0
2016-04-03,80.68,80.68,80.68,0.0,0.0,80.7,80.7,80.7,0.0,0.0,80.64,80.64,80.64,0.0,0.0,80.7,80.7,80.7,0.0,0.0
2016-04-10,80.58,80.58,80.58,0.0,0.0,80.64,80.64,80.64,0.0,0.0,80.53,80.53,80.53,0.0,0.0,80.61,80.61,80.61,0.0,0.0
2016-04-17,80.49,80.49,80.49,0.0,0.0,80.56,80.56,80.56,0.0,0.0,80.44,80.44,80.44,0.0,0.0,80.46,80.46,80.46,0.0,0.0
2016-04-24,80.58,80.58,80.58,0.0,0.0,80.61,80.61,80.61,0.0,0.0,80.52,80.52,80.52,0.0,0.0,80.61,80.61,80.61,0.0,0.0
