Date,VanEck Vectors SteelEtf_Open_average,VanEck Vectors SteelEtf_Open_max,VanEck Vectors SteelEtf_Open_min,VanEck Vectors SteelEtf_Open_volatility,VanEck Vectors SteelEtf_Open_change,VanEck Vectors SteelEtf_High_average,VanEck Vectors SteelEtf_High_max,VanEck Vectors SteelEtf_High_min,VanEck Vectors SteelEtf_High_volatility,VanEck Vectors SteelEtf_High_change,VanEck Vectors SteelEtf_Low_average,VanEck Vectors SteelEtf_Low_max,VanEck Vectors SteelEtf_Low_min,VanEck Vectors SteelEtf_Low_volatility,VanEck Vectors SteelEtf_Low_change,VanEck Vectors SteelEtf_Close_average,VanEck Vectors SteelEtf_Close_max,VanEck Vectors SteelEtf_Close_min,VanEck Vectors SteelEtf_Close_volatility,VanEck Vectors SteelEtf_Close_change
2016-01-03,17.85,17.85,17.85,0.0,0.0,17.95,17.95,17.95,0.0,0.0,17.15,17.15,17.15,0.0,0.0,17.15,17.15,17.15,0.0,0.0
2016-01-10,15.95,15.95,15.95,0.0,0.0,16.1,16.1,16.1,0.0,0.0,15.75,15.75,15.75,0.0,0.0,16.04,16.04,16.04,0.0,0.0
2016-01-17,16.47,16.47,16.47,0.0,0.0,16.66,16.66,16.66,0.0,0.0,16.14,16.14,16.14,0.0,0.0,16.28,16.28,16.28,0.0,0.0
2016-01-24,16.8,16.8,16.8,0.0,0.0,17.57,17.57,17.57,0.0,0.0,16.8,16.8,16.8,0.0,0.0,17.57,17.57,17.57,0.0,0.0
2016-01-31,18.31,18.31,18.31,0.0,0.0,18.63,18.63,18.63,0.0,0.0,18.16,18.16,18.16,0.0,0.0,18.2,18.2,18.2,0.0,0.0
2016-02-07,17.46,17.46,17.46,0.0,0.0,17.89,17.89,17.89,0.0,0.0,17.39,17.39,17.39,0.0,0.0,17.85,17.85,17.85,0.0,0.0
2016-02-14,18.66,18.66,18.66,0.0,0.0,18.73,18.73,18.73,0.0,0.0,18.5,18.5,18.5,0.0,0.0,18.63,18.63,18.63,0.0,0.0
2016-02-21,19.06,19.06,19.06,0.0,0.0,19.19,19.19,19.19,0.0,0.0,18.81,18.81,18.81,0.0,0.0,18.83,18.83,18.83,0.0,0.0
2016-02-28,23.04,23.04,23.04,0.0,0.0,24.02,24.02,24.02,0.0,0.0,22.83,22.83,22.83,0.0,0.0,23.28,23.28,23.28,0.0,0.0
2016-03-06,23.61,23.61,23.61,0.0,0.0,23.79,23.79,23.79,0.0,0.0,23.27,23.27,23.27,0.0,0.0,23.62,23.62,23.62,0.0,0.0
