Date,ProShares UltraShort Dow30Etf_Open_average,ProShares UltraShort Dow30Etf_Open_max,ProShares UltraShort Dow30Etf_Open_min,ProShares UltraShort Dow30Etf_Open_volatility,ProShares UltraShort Dow30Etf_Open_change,ProShares UltraShort Dow30Etf_High_average,ProShares UltraShort Dow30Etf_High_max,ProShares UltraShort Dow30Etf_High_min,ProShares UltraShort Dow30Etf_High_volatility,ProShares UltraShort Dow30Etf_High_change,ProShares UltraShort Dow30Etf_Low_average,ProShares UltraShort Dow30Etf_Low_max,ProShares UltraShort Dow30Etf_Low_min,ProShares UltraShort Dow30Etf_Low_volatility,ProShares UltraShort Dow30Etf_Low_change,ProShares UltraShort Dow30Etf_Close_average,ProShares UltraShort Dow30Etf_Close_max,ProShares UltraShort Dow30Etf_Close_min,ProShares UltraShort Dow30Etf_Close_volatility,ProShares UltraShort Dow30Etf_Close_change
2016-01-03,88.4,88.4,88.4,0.0,0.0,91.6,91.6,91.6,0.0,0.0,87.92,87.92,87.92,0.0,0.0,91.36,91.36,91.36,0.0,0.0
2016-01-10,95.48,95.48,95.48,0.0,0.0,96.56,96.56,96.56,0.0,0.0,94.01,94.01,94.01,0.0,0.0,95.04,95.04,95.04,0.0,0.0
2016-01-17,93.4,93.4,93.4,0.0,0.0,94.94,94.94,94.94,0.0,0.0,93.0,93.0,93.0,0.0,0.0,93.52,93.52,93.52,0.0,0.0
2016-01-24,92.2,92.2,92.2,0.0,0.0,92.72,92.72,92.72,0.0,0.0,89.2,89.2,89.2,0.0,0.0,89.2,89.2,89.2,0.0,0.0
2016-01-31,89.56,89.56,89.56,0.0,0.0,92.4,92.4,92.4,0.0,0.0,89.48,89.48,89.48,0.0,0.0,91.68,91.68,91.68,0.0,0.0
2016-02-07,95.92,95.92,95.92,0.0,0.0,96.6,96.6,96.6,0.0,0.0,93.76,93.76,93.76,0.0,0.0,93.76,93.76,93.76,0.0,0.0
2016-02-14,89.36,89.36,89.36,0.0,0.0,89.92,89.92,89.92,0.0,0.0,88.6,88.6,88.6,0.0,0.0,88.64,88.64,88.64,0.0,0.0
2016-02-21,84.12,84.12,84.12,0.0,0.0,86.0,86.0,86.0,0.0,0.0,84.12,84.12,84.12,0.0,0.0,85.88,85.88,85.88,0.0,0.0
2016-02-28,82.32,82.32,82.32,0.0,0.0,83.04,83.04,83.04,0.0,0.0,81.48,81.48,81.48,0.0,0.0,82.0,82.0,82.0,0.0,0.0
2016-03-06,80.44,80.44,80.44,0.0,0.0,80.6,80.6,80.6,0.0,0.0,79.72,79.72,79.72,0.0,0.0,79.8,79.8,79.8,0.0,0.0
2016-03-13,76.8,76.8,76.8,0.0,0.0,76.89,76.89,76.89,0.0,0.0,76.09,76.09,76.09,0.0,0.0,76.36,76.36,76.36,0.0,0.0
2016-03-20,77.96,77.96,77.96,0.0,0.0,78.08,78.08,78.08,0.0,0.0,77.0,77.0,77.0,0.0,0.0,77.0,77.0,77.0,0.0,0.0
2016-03-27,76.36,76.36,76.36,0.0,0.0,76.52,76.52,76.52,0.0,0.0,74.47,74.47,74.47,0.0,0.0,74.6,74.6,74.6,0.0,0.0
2016-04-03,75.76,75.76,75.76,0.0,0.0,76.76,76.76,76.76,0.0,0.0,75.28,75.28,75.28,0.0,0.0,76.32,76.32,76.32,0.0,0.0
2016-04-10,73.28,73.28,73.28,0.0,0.0,73.8,73.8,73.8,0.0,0.0,73.24,73.24,73.24,0.0,0.0,73.52,73.52,73.52,0.0,0.0
2016-04-17,72.8,72.8,72.8,0.0,0.0,73.36,73.36,73.36,0.0,0.0,72.38,72.38,72.38,0.0,0.0,72.56,72.56,72.56,0.0,0.0
2016-04-24,74.6,74.6,74.6,0.0,0.0,75.45,75.45,75.45,0.0,0.0,74.12,74.12,74.12,0.0,0.0,74.32,74.32,74.32,0.0,0.0
2016-05-01,75.96,75.96,75.96,0.0,0.0,76.0,76.0,76.0,0.0,0.0,74.52,74.52,74.52,0.0,0.0,74.64,74.64,74.64,0.0,0.0
2016-05-08,74.72,74.72,74.72,0.0,0.0,76.24,76.24,76.24,0.0,0.0,74.36,74.36,74.36,0.0,0.0,76.0,76.0,76.0,0.0,0.0
2016-05-15,76.16,76.16,76.16,0.0,0.0,76.32,76.32,76.32,0.0,0.0,75.44,75.44,75.44,0.0,0.0,76.04,76.04,76.04,0.0,0.0
2016-05-22,73.04,73.04,73.04,0.0,0.0,73.24,73.24,73.24,0.0,0.0,72.84,72.84,72.84,0.0,0.0,72.88,72.88,72.88,0.0,0.0
2016-05-29,73.4,73.4,73.4,0.0,0.0,74.2,74.2,74.2,0.0,0.0,73.06,73.06,73.06,0.0,0.0,73.24,73.24,73.24,0.0,0.0
2016-06-05,72.76,72.76,72.76,0.0,0.0,73.16,73.16,73.16,0.0,0.0,72.28,72.28,72.28,0.0,0.0,72.71,72.71,72.71,0.0,0.0
2016-06-12,73.68,73.68,73.68,0.0,0.0,74.8,74.8,74.8,0.0,0.0,73.64,73.64,73.64,0.0,0.0,74.16,74.16,74.16,0.0,0.0
2016-06-19,75.76,75.76,75.76,0.0,0.0,76.56,76.56,76.56,0.0,0.0,73.92,73.92,73.92,0.0,0.0,76.2,76.2,76.2,0.0,0.0
2016-06-26,71.72,71.72,71.72,0.0,0.0,71.72,71.72,71.72,0.0,0.0,71.0,71.0,71.0,0.0,0.0,71.4,71.4,71.4,0.0,0.0
2016-07-03,70.8,70.8,70.8,0.0,0.0,70.8,70.8,70.8,0.0,0.0,69.58,69.58,69.58,0.0,0.0,69.72,69.72,69.72,0.0,0.0
2016-07-10,66.64,66.64,66.64,0.0,0.0,67.28,67.28,67.28,0.0,0.0,66.56,66.56,66.56,0.0,0.0,67.0,67.0,67.0,0.0,0.0
2016-07-17,66.8,66.8,66.8,0.0,0.0,67.08,67.08,67.08,0.0,0.0,66.48,66.48,66.48,0.0,0.0,66.48,66.48,66.48,0.0,0.0
2016-07-24,67.68,67.68,67.68,0.0,0.0,67.92,67.92,67.92,0.0,0.0,67.24,67.24,67.24,0.0,0.0,67.48,67.48,67.48,0.0,0.0
2016-07-31,67.24,67.24,67.24,0.0,0.0,67.32,67.32,67.32,0.0,0.0,66.64,66.64,66.64,0.0,0.0,66.64,66.64,66.64,0.0,0.0
2016-08-07,66.08,66.08,66.08,0.0,0.0,66.44,66.44,66.44,0.0,0.0,65.92,65.92,65.92,0.0,0.0,66.14,66.14,66.14,0.0,0.0
2016-08-14,66.24,66.24,66.24,0.0,0.0,66.56,66.56,66.56,0.0,0.0,65.9,65.9,65.9,0.0,0.0,66.12,66.12,66.12,0.0,0.0
2016-08-21,66.68,66.68,66.68,0.0,0.0,67.68,67.68,67.68,0.0,0.0,65.96,65.96,65.96,0.0,0.0,67.24,67.24,67.24,0.0,0.0
