Date,AMSWA_stock_Open_average,AMSWA_stock_Open_max,AMSWA_stock_Open_min,AMSWA_stock_Open_volatility,AMSWA_stock_Open_change,AMSWA_stock_High_average,AMSWA_stock_High_max,AMSWA_stock_High_min,AMSWA_stock_High_volatility,AMSWA_stock_High_change,AMSWA_stock_Low_average,AMSWA_stock_Low_max,AMSWA_stock_Low_min,AMSWA_stock_Low_volatility,AMSWA_stock_Low_change,AMSWA_stock_Close_average,AMSWA_stock_Close_max,AMSWA_stock_Close_min,AMSWA_stock_Close_volatility,AMSWA_stock_Close_change,AMSWA_stock_Volume_average,AMSWA_stock_Volume_max,AMSWA_stock_Volume_min,AMSWA_stock_Volume_volatility,AMSWA_stock_Volume_change
2016-01-03,9.958,10.09,9.78,0.3100000000000005,-0.129999999999999,10.106,10.2,9.99,0.20999999999999908,-0.009999999999999787,9.718,9.83,9.55,0.27999999999999936,0.23999999999999844,9.950000000000001,10.16,9.81,0.34999999999999964,-0.08999999999999986,62190,101334,40439,60895,-46416
2016-01-10,9.812,10.07,9.52,0.5500000000000007,-0.2599999999999998,9.91,10.08,9.62,0.46000000000000085,-0.3500000000000014,9.572000000000001,9.74,9.32,0.41999999999999993,-0.41999999999999993,9.746,9.96,9.45,0.5100000000000016,-0.5100000000000016,55688,91387,28700,62687,33258
2016-01-17,9.465,9.58,9.38,0.1999999999999993,-0.13000000000000078,9.58,9.66,9.53,0.13000000000000078,-0.09999999999999964,9.3275,9.37,9.26,0.10999999999999943,0.02999999999999936,9.43,9.52,9.38,0.1399999999999988,-0.09999999999999964,82472,102657,43942,58715,38962
2016-01-24,9.370000000000001,9.46,9.25,0.21000000000000085,0.0,9.59,9.75,9.43,0.3200000000000003,0.3200000000000003,9.182,9.28,9.11,0.16999999999999993,-0.019999999999999574,9.402000000000001,9.73,9.16,0.5700000000000003,0.34999999999999964,68531,91921,30911,61010,5629
2016-01-31,9.58,9.7,9.43,0.2699999999999996,-0.21000000000000085,9.666,9.76,9.43,0.33000000000000007,-0.3200000000000003,9.384,9.55,9.09,0.46000000000000085,-0.46000000000000085,9.464,9.67,9.09,0.5800000000000001,-0.5800000000000001,34033,69174,22775,46399,38968
2016-02-07,8.985999999999999,9.12,8.72,0.3999999999999986,-0.009999999999999787,9.22,9.33,9.13,0.1999999999999993,-0.14000000000000057,8.904,9.01,8.71,0.29999999999999893,-0.10999999999999943,9.054,9.28,8.92,0.35999999999999943,-0.17999999999999972,44630,57781,23986,33795,-33795
2016-02-14,9.2375,9.32,9.19,0.13000000000000078,0.040000000000000924,9.442499999999999,9.67,9.33,0.33999999999999986,0.33999999999999986,9.12,9.24,9.01,0.23000000000000043,0.23000000000000043,9.3025,9.6,9.1,0.5,0.5,72972,87299,50184,37115,-14256
2016-02-21,9.576,9.66,9.5,0.16000000000000014,-0.0600000000000005,9.75,9.83,9.68,0.15000000000000036,-0.0600000000000005,9.404,9.6,9.26,0.33999999999999986,-0.33999999999999986,9.53,9.73,9.29,0.4400000000000013,-0.33000000000000007,59556,113812,34481,79331,79318
2016-02-28,9.31,9.49,9.08,0.41000000000000014,-0.16000000000000014,9.436,9.51,9.17,0.33999999999999986,-0.33999999999999986,9.168,9.26,9.04,0.22000000000000064,-0.20000000000000107,9.27,9.44,9.1,0.33999999999999986,-0.3000000000000007,54408,84032,42002,42030,-41896
2016-03-06,8.984,9.12,8.81,0.3099999999999987,-0.22999999999999865,9.158,9.31,8.94,0.370000000000001,-0.23000000000000043,8.844,9.04,8.66,0.379999999999999,-0.379999999999999,8.906,9.15,8.7,0.45000000000000107,-0.45000000000000107,78142,95960,58679,37281,21845
