Date,iShares Edge MSCI Min Vol EAFEEtf_Open_average,iShares Edge MSCI Min Vol EAFEEtf_Open_max,iShares Edge MSCI Min Vol EAFEEtf_Open_min,iShares Edge MSCI Min Vol EAFEEtf_Open_volatility,iShares Edge MSCI Min Vol EAFEEtf_Open_change,iShares Edge MSCI Min Vol EAFEEtf_High_average,iShares Edge MSCI Min Vol EAFEEtf_High_max,iShares Edge MSCI Min Vol EAFEEtf_High_min,iShares Edge MSCI Min Vol EAFEEtf_High_volatility,iShares Edge MSCI Min Vol EAFEEtf_High_change,iShares Edge MSCI Min Vol EAFEEtf_Low_average,iShares Edge MSCI Min Vol EAFEEtf_Low_max,iShares Edge MSCI Min Vol EAFEEtf_Low_min,iShares Edge MSCI Min Vol EAFEEtf_Low_volatility,iShares Edge MSCI Min Vol EAFEEtf_Low_change,iShares Edge MSCI Min Vol EAFEEtf_Close_average,iShares Edge MSCI Min Vol EAFEEtf_Close_max,iShares Edge MSCI Min Vol EAFEEtf_Close_min,iShares Edge MSCI Min Vol EAFEEtf_Close_volatility,iShares Edge MSCI Min Vol EAFEEtf_Close_change
2016-01-03,62.9,62.9,62.9,0.0,0.0,62.95,62.95,62.95,0.0,0.0,62.02,62.02,62.02,0.0,0.0,62.06,62.06,62.06,0.0,0.0
2016-01-10,60.95,60.95,60.95,0.0,0.0,61.25,61.25,61.25,0.0,0.0,60.52,60.52,60.52,0.0,0.0,60.89,60.89,60.89,0.0,0.0
2016-01-17,61.3,61.3,61.3,0.0,0.0,61.73,61.73,61.73,0.0,0.0,61.2,61.2,61.2,0.0,0.0,61.64,61.64,61.64,0.0,0.0
2016-01-24,62.74,62.74,62.74,0.0,0.0,63.51,63.51,63.51,0.0,0.0,62.66,62.66,62.66,0.0,0.0,63.5,63.5,63.5,0.0,0.0
2016-01-31,63.38,63.38,63.38,0.0,0.0,63.39,63.39,63.39,0.0,0.0,62.52,62.52,62.52,0.0,0.0,62.69,62.69,62.69,0.0,0.0
2016-02-07,61.23,61.23,61.23,0.0,0.0,61.89,61.89,61.89,0.0,0.0,61.05,61.05,61.05,0.0,0.0,61.89,61.89,61.89,0.0,0.0
2016-02-14,63.06,63.06,63.06,0.0,0.0,63.41,63.41,63.41,0.0,0.0,62.89,62.89,62.89,0.0,0.0,63.39,63.39,63.39,0.0,0.0
2016-02-21,64.14,64.14,64.14,0.0,0.0,64.16,64.16,64.16,0.0,0.0,63.53,63.53,63.53,0.0,0.0,63.62,63.62,63.62,0.0,0.0
2016-02-28,65.05,65.05,65.05,0.0,0.0,65.21,65.21,65.21,0.0,0.0,64.85,64.85,64.85,0.0,0.0,65.05,65.05,65.05,0.0,0.0
2016-03-06,65.39,65.39,65.39,0.0,0.0,65.74,65.74,65.74,0.0,0.0,65.25,65.25,65.25,0.0,0.0,65.71,65.71,65.71,0.0,0.0
2016-03-13,66.29,66.29,66.29,0.0,0.0,66.4,66.4,66.4,0.0,0.0,66.1,66.1,66.1,0.0,0.0,66.23,66.23,66.23,0.0,0.0
2016-03-20,65.4,65.4,65.4,0.0,0.0,65.61,65.61,65.61,0.0,0.0,65.25,65.25,65.25,0.0,0.0,65.6,65.6,65.6,0.0,0.0
2016-03-27,65.24,65.24,65.24,0.0,0.0,65.84,65.84,65.84,0.0,0.0,65.02,65.02,65.02,0.0,0.0,65.75,65.75,65.75,0.0,0.0
2016-04-03,66.49,66.49,66.49,0.0,0.0,66.55,66.55,66.55,0.0,0.0,66.25,66.25,66.25,0.0,0.0,66.43,66.43,66.43,0.0,0.0
2016-04-10,67.64,67.64,67.64,0.0,0.0,67.71,67.71,67.71,0.0,0.0,67.51,67.51,67.51,0.0,0.0,67.51,67.51,67.51,0.0,0.0
2016-04-17,67.76,67.76,67.76,0.0,0.0,67.97,67.97,67.97,0.0,0.0,67.58,67.58,67.58,0.0,0.0,67.82,67.82,67.82,0.0,0.0
2016-04-24,67.32,67.32,67.32,0.0,0.0,67.53,67.53,67.53,0.0,0.0,66.94,66.94,66.94,0.0,0.0,67.22,67.22,67.22,0.0,0.0
2016-05-01,66.52,66.52,66.52,0.0,0.0,66.97,66.97,66.97,0.0,0.0,66.5,66.5,66.5,0.0,0.0,66.88,66.88,66.88,0.0,0.0
2016-05-08,66.67,66.67,66.67,0.0,0.0,66.79,66.79,66.79,0.0,0.0,66.46,66.46,66.46,0.0,0.0,66.54,66.54,66.54,0.0,0.0
2016-05-15,66.4,66.4,66.4,0.0,0.0,66.54,66.54,66.54,0.0,0.0,66.34,66.34,66.34,0.0,0.0,66.48,66.48,66.48,0.0,0.0
2016-05-22,67.32,67.32,67.32,0.0,0.0,67.43,67.43,67.43,0.0,0.0,67.21,67.21,67.21,0.0,0.0,67.28,67.28,67.28,0.0,0.0
2016-05-29,67.53,67.53,67.53,0.0,0.0,67.88,67.88,67.88,0.0,0.0,67.36,67.36,67.36,0.0,0.0,67.75,67.75,67.75,0.0,0.0
2016-06-05,67.06,67.06,67.06,0.0,0.0,67.07,67.07,67.07,0.0,0.0,66.42,66.42,66.42,0.0,0.0,66.61,66.61,66.61,0.0,0.0
2016-06-12,65.58,65.58,65.58,0.0,0.0,65.84,65.84,65.84,0.0,0.0,65.24,65.24,65.24,0.0,0.0,65.71,65.71,65.71,0.0,0.0
2016-06-19,63.72,63.72,63.72,0.0,0.0,64.84,64.84,64.84,0.0,0.0,63.62,63.62,63.62,0.0,0.0,63.65,63.65,63.65,0.0,0.0
2016-06-26,66.68,66.68,66.68,0.0,0.0,66.8,66.8,66.8,0.0,0.0,66.53,66.53,66.53,0.0,0.0,66.65,66.65,66.65,0.0,0.0
2016-07-03,66.23,66.23,66.23,0.0,0.0,66.51,66.51,66.51,0.0,0.0,66.08,66.08,66.08,0.0,0.0,66.44,66.44,66.44,0.0,0.0
2016-07-10,66.77,66.77,66.77,0.0,0.0,66.85,66.85,66.85,0.0,0.0,66.57,66.57,66.57,0.0,0.0,66.73,66.73,66.73,0.0,0.0
2016-07-17,66.88,66.88,66.88,0.0,0.0,66.91,66.91,66.91,0.0,0.0,66.71,66.71,66.71,0.0,0.0,66.83,66.83,66.83,0.0,0.0
2016-07-24,67.52,67.52,67.52,0.0,0.0,67.9,67.9,67.9,0.0,0.0,67.39,67.39,67.39,0.0,0.0,67.81,67.81,67.81,0.0,0.0
2016-07-31,67.13,67.13,67.13,0.0,0.0,67.3,67.3,67.3,0.0,0.0,67.01,67.01,67.01,0.0,0.0,67.27,67.27,67.27,0.0,0.0
2016-08-07,68.25,68.25,68.25,0.0,0.0,68.25,68.25,68.25,0.0,0.0,67.97,67.97,67.97,0.0,0.0,68.04,68.04,68.04,0.0,0.0
2016-08-14,67.52,67.52,67.52,0.0,0.0,67.64,67.64,67.64,0.0,0.0,67.34,67.34,67.34,0.0,0.0,67.6,67.6,67.6,0.0,0.0
2016-08-21,67.78,67.78,67.78,0.0,0.0,68.21,68.21,68.21,0.0,0.0,67.03,67.03,67.03,0.0,0.0,67.2,67.2,67.2,0.0,0.0
2016-08-28,67.61,67.61,67.61,0.0,0.0,67.79,67.79,67.79,0.0,0.0,67.46,67.46,67.46,0.0,0.0,67.7,67.7,67.7,0.0,0.0
2016-09-04,67.45,67.45,67.45,0.0,0.0,67.45,67.45,67.45,0.0,0.0,66.83,66.83,66.83,0.0,0.0,66.84,66.84,66.84,0.0,0.0
2016-09-11,66.44,66.44,66.44,0.0,0.0,66.44,66.44,66.44,0.0,0.0,66.11,66.11,66.11,0.0,0.0,66.27,66.27,66.27,0.0,0.0
2016-09-18,67.85,67.85,67.85,0.0,0.0,67.9,67.9,67.9,0.0,0.0,67.71,67.71,67.71,0.0,0.0,67.71,67.71,67.71,0.0,0.0
2016-09-25,67.45,67.45,67.45,0.0,0.0,67.8,67.8,67.8,0.0,0.0,67.34,67.34,67.34,0.0,0.0,67.64,67.64,67.64,0.0,0.0
2016-10-02,65.77,65.77,65.77,0.0,0.0,65.83,65.83,65.83,0.0,0.0,65.21,65.21,65.21,0.0,0.0,65.51,65.51,65.51,0.0,0.0
2016-10-09,65.05,65.05,65.05,0.0,0.0,65.12,65.12,65.12,0.0,0.0,64.71,64.71,64.71,0.0,0.0,64.71,64.71,64.71,0.0,0.0
2016-10-16,64.73,64.73,64.73,0.0,0.0,64.93,64.93,64.93,0.0,0.0,64.6,64.6,64.6,0.0,0.0,64.91,64.91,64.91,0.0,0.0
2016-10-23,64.24,64.24,64.24,0.0,0.0,64.32,64.32,64.32,0.0,0.0,64.11,64.11,64.11,0.0,0.0,64.21,64.21,64.21,0.0,0.0
2016-10-30,64.06,64.06,64.06,0.0,0.0,64.14,64.14,64.14,0.0,0.0,63.84,63.84,63.84,0.0,0.0,63.89,63.89,63.89,0.0,0.0
2016-11-06,62.73,62.73,62.73,0.0,0.0,62.86,62.86,62.86,0.0,0.0,62.38,62.38,62.38,0.0,0.0,62.56,62.56,62.56,0.0,0.0
2016-11-13,61.77,61.77,61.77,0.0,0.0,61.83,61.83,61.83,0.0,0.0,61.56,61.56,61.56,0.0,0.0,61.71,61.71,61.71,0.0,0.0
2016-11-20,61.83,61.83,61.83,0.0,0.0,61.9,61.9,61.9,0.0,0.0,61.73,61.73,61.73,0.0,0.0,61.88,61.88,61.88,0.0,0.0
2016-11-27,61.29,61.29,61.29,0.0,0.0,61.65,61.65,61.65,0.0,0.0,61.26,61.26,61.26,0.0,0.0,61.51,61.51,61.51,0.0,0.0
2016-12-04,62.1,62.1,62.1,0.0,0.0,62.32,62.32,62.32,0.0,0.0,62.08,62.08,62.08,0.0,0.0,62.3,62.3,62.3,0.0,0.0
2016-12-11,61.64,61.64,61.64,0.0,0.0,61.92,61.92,61.92,0.0,0.0,61.59,61.59,61.59,0.0,0.0,61.72,61.72,61.72,0.0,0.0
2016-12-18,60.78,60.78,60.78,0.0,0.0,60.91,60.91,60.91,0.0,0.0,60.78,60.78,60.78,0.0,0.0,60.89,60.89,60.89,0.0,0.0
2016-12-25,61.39,61.39,61.39,0.0,0.0,61.5,61.5,61.5,0.0,0.0,61.11,61.11,61.11,0.0,0.0,61.22,61.22,61.22,0.0,0.0
2017-01-01,62.44,62.44,62.44,0.0,0.0,62.57,62.57,62.57,0.0,0.0,62.4,62.4,62.4,0.0,0.0,62.48,62.48,62.48,0.0,0.0
2017-01-08,62.68,62.68,62.68,0.0,0.0,62.9,62.9,62.9,0.0,0.0,62.62,62.62,62.62,0.0,0.0,62.89,62.89,62.89,0.0,0.0
2017-01-15,62.61,62.61,62.61,0.0,0.0,62.73,62.73,62.73,0.0,0.0,62.55,62.55,62.55,0.0,0.0,62.72,62.72,62.72,0.0,0.0
2017-01-22,63.04,63.04,63.04,0.0,0.0,63.07,63.07,63.07,0.0,0.0,62.92,62.92,62.92,0.0,0.0,63.01,63.01,63.01,0.0,0.0
2017-01-29,63.61,63.61,63.61,0.0,0.0,63.78,63.78,63.78,0.0,0.0,63.53,63.53,63.53,0.0,0.0,63.68,63.68,63.68,0.0,0.0
2017-02-05,63.73,63.73,63.73,0.0,0.0,64.02,64.02,64.02,0.0,0.0,63.72,63.72,63.72,0.0,0.0,63.92,63.92,63.92,0.0,0.0
