Date,iShares Global Consumer DiscretionaryEtf_Open_average,iShares Global Consumer DiscretionaryEtf_Open_max,iShares Global Consumer DiscretionaryEtf_Open_min,iShares Global Consumer DiscretionaryEtf_Open_volatility,iShares Global Consumer DiscretionaryEtf_Open_change,iShares Global Consumer DiscretionaryEtf_High_average,iShares Global Consumer DiscretionaryEtf_High_max,iShares Global Consumer DiscretionaryEtf_High_min,iShares Global Consumer DiscretionaryEtf_High_volatility,iShares Global Consumer DiscretionaryEtf_High_change,iShares Global Consumer DiscretionaryEtf_Low_average,iShares Global Consumer DiscretionaryEtf_Low_max,iShares Global Consumer DiscretionaryEtf_Low_min,iShares Global Consumer DiscretionaryEtf_Low_volatility,iShares Global Consumer DiscretionaryEtf_Low_change,iShares Global Consumer DiscretionaryEtf_Close_average,iShares Global Consumer DiscretionaryEtf_Close_max,iShares Global Consumer DiscretionaryEtf_Close_min,iShares Global Consumer DiscretionaryEtf_Close_volatility,iShares Global Consumer DiscretionaryEtf_Close_change
2016-01-03,84.57,84.57,84.57,0.0,0.0,84.88,84.88,84.88,0.0,0.0,82.97,82.97,82.97,0.0,0.0,83.06,83.06,83.06,0.0,0.0
2016-01-10,80.71,80.71,80.71,0.0,0.0,81.3,81.3,81.3,0.0,0.0,80.14,80.14,80.14,0.0,0.0,80.84,80.84,80.84,0.0,0.0
2016-01-17,82.24,82.24,82.24,0.0,0.0,83.06,83.06,83.06,0.0,0.0,82.24,82.24,82.24,0.0,0.0,82.97,82.97,82.97,0.0,0.0
2016-01-24,82.46,82.46,82.46,0.0,0.0,83.97,83.97,83.97,0.0,0.0,82.46,82.46,82.46,0.0,0.0,83.97,83.97,83.97,0.0,0.0
2016-01-31,81.87,81.87,81.87,0.0,0.0,81.87,81.87,81.87,0.0,0.0,79.85,79.85,79.85,0.0,0.0,79.95,79.95,79.95,0.0,0.0
2016-02-07,77.92,77.92,77.92,0.0,0.0,78.64,78.64,78.64,0.0,0.0,77.75,77.75,77.75,0.0,0.0,78.64,78.64,78.64,0.0,0.0
2016-02-14,81.15,81.15,81.15,0.0,0.0,81.86,81.86,81.86,0.0,0.0,81.0,81.0,81.0,0.0,0.0,81.84,81.84,81.84,0.0,0.0
2016-02-21,83.59,83.59,83.59,0.0,0.0,83.59,83.59,83.59,0.0,0.0,83.11,83.11,83.11,0.0,0.0,83.15,83.15,83.15,0.0,0.0
2016-02-28,86.0,86.0,86.0,0.0,0.0,86.27,86.27,86.27,0.0,0.0,85.73,85.73,85.73,0.0,0.0,85.98,85.98,85.98,0.0,0.0
2016-03-06,85.88,85.88,85.88,0.0,0.0,86.65,86.65,86.65,0.0,0.0,85.88,85.88,85.88,0.0,0.0,86.58,86.58,86.58,0.0,0.0
2016-03-13,87.71,87.71,87.71,0.0,0.0,87.98,87.98,87.98,0.0,0.0,87.68,87.68,87.68,0.0,0.0,87.68,87.68,87.68,0.0,0.0
2016-03-20,86.38,86.38,86.38,0.0,0.0,86.6,86.6,86.6,0.0,0.0,86.19,86.19,86.19,0.0,0.0,86.57,86.57,86.57,0.0,0.0
2016-03-27,87.38,87.38,87.38,0.0,0.0,88.46,88.46,88.46,0.0,0.0,86.75,86.75,86.75,0.0,0.0,88.36,88.36,88.36,0.0,0.0
