Date,iShares Core Aggressive Allocation_etf_Open_average,iShares Core Aggressive Allocation_etf_Open_max,iShares Core Aggressive Allocation_etf_Open_min,iShares Core Aggressive Allocation_etf_Open_volatility,iShares Core Aggressive Allocation_etf_Open_change,iShares Core Aggressive Allocation_etf_High_average,iShares Core Aggressive Allocation_etf_High_max,iShares Core Aggressive Allocation_etf_High_min,iShares Core Aggressive Allocation_etf_High_volatility,iShares Core Aggressive Allocation_etf_High_change,iShares Core Aggressive Allocation_etf_Low_average,iShares Core Aggressive Allocation_etf_Low_max,iShares Core Aggressive Allocation_etf_Low_min,iShares Core Aggressive Allocation_etf_Low_volatility,iShares Core Aggressive Allocation_etf_Low_change,iShares Core Aggressive Allocation_etf_Close_average,iShares Core Aggressive Allocation_etf_Close_max,iShares Core Aggressive Allocation_etf_Close_min,iShares Core Aggressive Allocation_etf_Close_volatility,iShares Core Aggressive Allocation_etf_Close_change
2016-01-03,43.35,43.35,43.35,0.0,0.0,43.35,43.35,43.35,0.0,0.0,42.6,42.6,42.6,0.0,0.0,42.63,42.63,42.63,0.0,0.0
2016-01-10,41.7,41.7,41.7,0.0,0.0,41.92,41.92,41.92,0.0,0.0,41.48,41.48,41.48,0.0,0.0,41.72,41.72,41.72,0.0,0.0
2016-01-17,42.16,42.16,42.16,0.0,0.0,42.28,42.28,42.28,0.0,0.0,42.0,42.0,42.0,0.0,0.0,42.28,42.28,42.28,0.0,0.0
2016-01-24,42.4,42.4,42.4,0.0,0.0,42.98,42.98,42.98,0.0,0.0,42.36,42.36,42.36,0.0,0.0,42.98,42.98,42.98,0.0,0.0
2016-01-31,42.54,42.54,42.54,0.0,0.0,42.54,42.54,42.54,0.0,0.0,41.87,41.87,41.87,0.0,0.0,42.01,42.01,42.01,0.0,0.0
2016-02-07,41.25,41.25,41.25,0.0,0.0,41.45,41.45,41.45,0.0,0.0,41.01,41.01,41.01,0.0,0.0,41.44,41.44,41.44,0.0,0.0
2016-02-14,42.37,42.37,42.37,0.0,0.0,42.54,42.54,42.54,0.0,0.0,42.27,42.27,42.27,0.0,0.0,42.5,42.5,42.5,0.0,0.0
2016-02-21,43.18,43.18,43.18,0.0,0.0,43.18,43.18,43.18,0.0,0.0,42.79,42.79,42.79,0.0,0.0,42.85,42.85,42.85,0.0,0.0
2016-02-28,44.09,44.09,44.09,0.0,0.0,44.39,44.39,44.39,0.0,0.0,44.06,44.06,44.06,0.0,0.0,44.23,44.23,44.23,0.0,0.0
2016-03-06,44.35,44.35,44.35,0.0,0.0,44.73,44.73,44.73,0.0,0.0,44.35,44.35,44.35,0.0,0.0,44.73,44.73,44.73,0.0,0.0
