Date,iShares Mortgage Real Estate Capped_etf_Open_average,iShares Mortgage Real Estate Capped_etf_Open_max,iShares Mortgage Real Estate Capped_etf_Open_min,iShares Mortgage Real Estate Capped_etf_Open_volatility,iShares Mortgage Real Estate Capped_etf_Open_change,iShares Mortgage Real Estate Capped_etf_High_average,iShares Mortgage Real Estate Capped_etf_High_max,iShares Mortgage Real Estate Capped_etf_High_min,iShares Mortgage Real Estate Capped_etf_High_volatility,iShares Mortgage Real Estate Capped_etf_High_change,iShares Mortgage Real Estate Capped_etf_Low_average,iShares Mortgage Real Estate Capped_etf_Low_max,iShares Mortgage Real Estate Capped_etf_Low_min,iShares Mortgage Real Estate Capped_etf_Low_volatility,iShares Mortgage Real Estate Capped_etf_Low_change,iShares Mortgage Real Estate Capped_etf_Close_average,iShares Mortgage Real Estate Capped_etf_Close_max,iShares Mortgage Real Estate Capped_etf_Close_min,iShares Mortgage Real Estate Capped_etf_Close_volatility,iShares Mortgage Real Estate Capped_etf_Close_change
2016-01-03,38.44,38.44,38.44,0.0,0.0,38.44,38.44,38.44,0.0,0.0,37.84,37.84,37.84,0.0,0.0,37.88,37.88,37.88,0.0,0.0
2016-01-10,35.52,35.52,35.52,0.0,0.0,35.52,35.52,35.52,0.0,0.0,34.4,34.4,34.4,0.0,0.0,35.12,35.12,35.12,0.0,0.0
2016-01-17,33.88,33.88,33.88,0.0,0.0,34.88,34.88,34.88,0.0,0.0,33.84,33.84,33.84,0.0,0.0,34.76,34.76,34.76,0.0,0.0
2016-01-24,35.28,35.28,35.28,0.0,0.0,36.24,36.24,36.24,0.0,0.0,35.22,35.22,35.22,0.0,0.0,36.24,36.24,36.24,0.0,0.0
2016-01-31,36.16,36.16,36.16,0.0,0.0,36.32,36.32,36.32,0.0,0.0,35.84,35.84,35.84,0.0,0.0,35.96,35.96,35.96,0.0,0.0
2016-02-07,34.12,34.12,34.12,0.0,0.0,34.75,34.75,34.75,0.0,0.0,34.12,34.12,34.12,0.0,0.0,34.56,34.56,34.56,0.0,0.0
2016-02-14,36.08,36.08,36.08,0.0,0.0,36.2,36.2,36.2,0.0,0.0,35.84,35.84,35.84,0.0,0.0,36.04,36.04,36.04,0.0,0.0
2016-02-21,37.44,37.44,37.44,0.0,0.0,37.84,37.84,37.84,0.0,0.0,37.12,37.12,37.12,0.0,0.0,37.2,37.2,37.2,0.0,0.0
2016-02-28,38.12,38.12,38.12,0.0,0.0,38.52,38.52,38.52,0.0,0.0,38.06,38.06,38.06,0.0,0.0,38.24,38.24,38.24,0.0,0.0
2016-03-06,37.88,37.88,37.88,0.0,0.0,38.68,38.68,38.68,0.0,0.0,37.88,37.88,37.88,0.0,0.0,38.68,38.68,38.68,0.0,0.0
